year,year,total_consumption_gwh,total_consumption_diff1
2003,2003,52941,
2004,2004,55957,3016.0
2005,2005,56568,611.0
2006,2006,56784,216.0
2007,2007,59612,2828.0
2008,2008,60821,1209.0
2009,2009,61934,1113.0
2010,2010,67743,5809.0
2011,2011,69176,1433.0
2012,2012,72922,3746.0
2013,2013,75266,2344.0
2014,2014,77261,1995.0
2015,2015,82413,5152.0
2016,2016,90798,8385.0
2017,2017,94370,3572.0
2018,2018,99765,5395.0
2019,2019,106041,6276.0
2020,2020,101756,-4285.0
2021,2021,106115,4359.0
2022,2022,111516,5401.0
2023,2023,118004,6488.0
2024,2024,126941,8937.0
