"Electricity capacity statistics by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Electricity capacity statistics
"Philippines","Total renewable energy","OnGrid","2000",3474.80
"Philippines","Total renewable energy","OnGrid","2001",3556.80
"Philippines","Total renewable energy","OnGrid","2002",3764.50
"Philippines","Total renewable energy","OnGrid","2003",4199.50
"Philippines","Total renewable energy","OnGrid","2004",4500.50
"Philippines","Total renewable energy","OnGrid","2005",4533.50
"Philippines","Total renewable energy","OnGrid","2006",4533.50
"Philippines","Total renewable energy","OnGrid","2007",4533.50
"Philippines","Total renewable energy","OnGrid","2008",4536.00
"Philippines","Total renewable energy","OnGrid","2009",4575.15
"Philippines","Total renewable energy","OnGrid","2010",4844.05
"Philippines","Total renewable energy","OnGrid","2011",4847.95
"Philippines","Total renewable energy","OnGrid","2012",4880.65
"Philippines","Total renewable energy","OnGrid","2013",4883.25
"Philippines","Total renewable energy","OnGrid","2014",5309.20
"Philippines","Total renewable energy","OnGrid","2015",5655.35
"Philippines","Total renewable energy","OnGrid","2016",6298.20
"Philippines","Total renewable energy","OnGrid","2017",6458.85
"Philippines","Total renewable energy","OnGrid","2018",6626.07
"Philippines","Total renewable energy","OnGrid","2019",6772.43
"Philippines","Total renewable energy","OnGrid","2020",6990.86
"Philippines","Total renewable energy","OnGrid","2021",7322.32
"Philippines","Total renewable energy","OnGrid","2022",7685.15
"Philippines","Total renewable energy","OnGrid","2023",7881.38
"Philippines","Total renewable energy","OnGrid","2024",9229.27
"Philippines","Total renewable energy","OnGrid","2025",10343.35
"Philippines","Total renewable energy","OffGrid","2000",9.97
"Philippines","Total renewable energy","OffGrid","2001",10.05
"Philippines","Total renewable energy","OffGrid","2002",10.05
"Philippines","Total renewable energy","OffGrid","2003",10.05
"Philippines","Total renewable energy","OffGrid","2004",10.05
"Philippines","Total renewable energy","OffGrid","2005",10.77
"Philippines","Total renewable energy","OffGrid","2006",10.87
"Philippines","Total renewable energy","OffGrid","2007",12.62
"Philippines","Total renewable energy","OffGrid","2008",13.87
"Philippines","Total renewable energy","OffGrid","2009",15.64
"Philippines","Total renewable energy","OffGrid","2010",19.55
"Philippines","Total renewable energy","OffGrid","2011",23.52
"Philippines","Total renewable energy","OffGrid","2012",26.50
"Philippines","Total renewable energy","OffGrid","2013",31.52
"Philippines","Total renewable energy","OffGrid","2014",31.97
"Philippines","Total renewable energy","OffGrid","2015",35.92
"Philippines","Total renewable energy","OffGrid","2016",36.00
"Philippines","Total renewable energy","OffGrid","2017",36.32
"Philippines","Total renewable energy","OffGrid","2018",47.28
"Philippines","Total renewable energy","OffGrid","2019",84.39
"Philippines","Total renewable energy","OffGrid","2020",84.97
"Philippines","Total renewable energy","OffGrid","2021",85.79
"Philippines","Total renewable energy","OffGrid","2022",85.38
"Philippines","Total renewable energy","OffGrid","2023",88.16
"Philippines","Total renewable energy","OffGrid","2024",92.36
"Philippines","Total renewable energy","OffGrid","2025",92.36
"Philippines","Solar energy","OnGrid","2000",-
"Philippines","Solar energy","OnGrid","2001",-
"Philippines","Solar energy","OnGrid","2002",-
"Philippines","Solar energy","OnGrid","2003",-
"Philippines","Solar energy","OnGrid","2004",1.00
"Philippines","Solar energy","OnGrid","2005",1.00
"Philippines","Solar energy","OnGrid","2006",1.00
"Philippines","Solar energy","OnGrid","2007",1.00
"Philippines","Solar energy","OnGrid","2008",1.00
"Philippines","Solar energy","OnGrid","2009",1.00
"Philippines","Solar energy","OnGrid","2010",1.00
"Philippines","Solar energy","OnGrid","2011",1.10
"Philippines","Solar energy","OnGrid","2012",1.70
"Philippines","Solar energy","OnGrid","2013",2.80
"Philippines","Solar energy","OnGrid","2014",28.75
"Philippines","Solar energy","OnGrid","2015",174.10
"Philippines","Solar energy","OnGrid","2016",789.85
"Philippines","Solar energy","OnGrid","2017",914.50
"Philippines","Solar energy","OnGrid","2018",925.57
"Philippines","Solar energy","OnGrid","2019",987.83
"Philippines","Solar energy","OnGrid","2020",1067.86
"Philippines","Solar energy","OnGrid","2021",1389.92
"Philippines","Solar energy","OnGrid","2022",1642.35
"Philippines","Solar energy","OnGrid","2023",1782.55
"Philippines","Solar energy","OnGrid","2024",2970.57
"Philippines","Solar energy","OnGrid","2025",3869.15
"Philippines","Solar energy","OffGrid","2000",-
"Philippines","Solar energy","OffGrid","2001",-
"Philippines","Solar energy","OffGrid","2002",-
"Philippines","Solar energy","OffGrid","2003",-
"Philippines","Solar energy","OffGrid","2004",-
"Philippines","Solar energy","OffGrid","2005",0.02
"Philippines","Solar energy","OffGrid","2006",0.02
"Philippines","Solar energy","OffGrid","2007",0.02
"Philippines","Solar energy","OffGrid","2008",0.02
"Philippines","Solar energy","OffGrid","2009",0.02
"Philippines","Solar energy","OffGrid","2010",0.02
"Philippines","Solar energy","OffGrid","2011",0.02
"Philippines","Solar energy","OffGrid","2012",0.02
"Philippines","Solar energy","OffGrid","2013",0.05
"Philippines","Solar energy","OffGrid","2014",0.50
"Philippines","Solar energy","OffGrid","2015",0.74
"Philippines","Solar energy","OffGrid","2016",0.83
"Philippines","Solar energy","OffGrid","2017",1.15
"Philippines","Solar energy","OffGrid","2018",4.11
"Philippines","Solar energy","OffGrid","2019",14.65
"Philippines","Solar energy","OffGrid","2020",15.24
"Philippines","Solar energy","OffGrid","2021",16.06
"Philippines","Solar energy","OffGrid","2022",17.82
"Philippines","Solar energy","OffGrid","2023",18.42
"Philippines","Solar energy","OffGrid","2024",22.62
"Philippines","Solar energy","OffGrid","2025",22.62
"Philippines","Solar photovoltaic","OnGrid","2000",-
"Philippines","Solar photovoltaic","OnGrid","2001",-
"Philippines","Solar photovoltaic","OnGrid","2002",-
"Philippines","Solar photovoltaic","OnGrid","2003",-
"Philippines","Solar photovoltaic","OnGrid","2004",1.00
"Philippines","Solar photovoltaic","OnGrid","2005",1.00
"Philippines","Solar photovoltaic","OnGrid","2006",1.00
"Philippines","Solar photovoltaic","OnGrid","2007",1.00
"Philippines","Solar photovoltaic","OnGrid","2008",1.00
"Philippines","Solar photovoltaic","OnGrid","2009",1.00
"Philippines","Solar photovoltaic","OnGrid","2010",1.00
"Philippines","Solar photovoltaic","OnGrid","2011",1.10
"Philippines","Solar photovoltaic","OnGrid","2012",1.70
"Philippines","Solar photovoltaic","OnGrid","2013",2.80
"Philippines","Solar photovoltaic","OnGrid","2014",28.75
"Philippines","Solar photovoltaic","OnGrid","2015",174.10
"Philippines","Solar photovoltaic","OnGrid","2016",789.85
"Philippines","Solar photovoltaic","OnGrid","2017",914.50
"Philippines","Solar photovoltaic","OnGrid","2018",925.57
"Philippines","Solar photovoltaic","OnGrid","2019",987.83
"Philippines","Solar photovoltaic","OnGrid","2020",1067.86
"Philippines","Solar photovoltaic","OnGrid","2021",1389.92
"Philippines","Solar photovoltaic","OnGrid","2022",1642.35
"Philippines","Solar photovoltaic","OnGrid","2023",1782.55
"Philippines","Solar photovoltaic","OnGrid","2024",2970.57
"Philippines","Solar photovoltaic","OnGrid","2025",3869.15
"Philippines","Solar photovoltaic","OffGrid","2000",-
"Philippines","Solar photovoltaic","OffGrid","2001",-
"Philippines","Solar photovoltaic","OffGrid","2002",-
"Philippines","Solar photovoltaic","OffGrid","2003",-
"Philippines","Solar photovoltaic","OffGrid","2004",-
"Philippines","Solar photovoltaic","OffGrid","2005",0.02
"Philippines","Solar photovoltaic","OffGrid","2006",0.02
"Philippines","Solar photovoltaic","OffGrid","2007",0.02
"Philippines","Solar photovoltaic","OffGrid","2008",0.02
"Philippines","Solar photovoltaic","OffGrid","2009",0.02
"Philippines","Solar photovoltaic","OffGrid","2010",0.02
"Philippines","Solar photovoltaic","OffGrid","2011",0.02
"Philippines","Solar photovoltaic","OffGrid","2012",0.02
"Philippines","Solar photovoltaic","OffGrid","2013",0.05
"Philippines","Solar photovoltaic","OffGrid","2014",0.50
"Philippines","Solar photovoltaic","OffGrid","2015",0.74
"Philippines","Solar photovoltaic","OffGrid","2016",0.83
"Philippines","Solar photovoltaic","OffGrid","2017",1.15
"Philippines","Solar photovoltaic","OffGrid","2018",4.11
"Philippines","Solar photovoltaic","OffGrid","2019",14.65
"Philippines","Solar photovoltaic","OffGrid","2020",15.24
"Philippines","Solar photovoltaic","OffGrid","2021",16.06
"Philippines","Solar photovoltaic","OffGrid","2022",17.82
"Philippines","Solar photovoltaic","OffGrid","2023",18.42
"Philippines","Solar photovoltaic","OffGrid","2024",22.62
"Philippines","Solar photovoltaic","OffGrid","2025",22.62
"Philippines","Solar thermal energy","OnGrid","2000",-
"Philippines","Solar thermal energy","OnGrid","2001",-
"Philippines","Solar thermal energy","OnGrid","2002",-
"Philippines","Solar thermal energy","OnGrid","2003",-
"Philippines","Solar thermal energy","OnGrid","2004",-
"Philippines","Solar thermal energy","OnGrid","2005",-
"Philippines","Solar thermal energy","OnGrid","2006",-
