Luzon,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% Share - 2025
Residential,"11,795,920","12,114,757","12,037,503","11,801,709","12,129,245","12,235,803","12,801,337","13,865,105","13,558,194","14,262,257","15,055,561","15,304,067","16,527,747","18,650,032","19,626,457","20,557,265","22,207,228","24,992,520","25,358,808","25,691,925","26,782,632","29,656,835","29,764,066",33.09%
Commercial,"9,649,022","10,138,137","10,495,060","10,865,084","11,503,251","12,065,744","12,519,046","13,684,231","13,975,287","14,905,458","15,509,869","16,102,599","17,272,475","18,726,890","19,600,604","20,691,045","21,911,666","17,787,676","18,163,993","20,951,225","22,501,471","23,904,218","24,239,525",26.95%
Industrial,"10,476,442","10,148,988","10,669,917","10,562,722","11,033,946","11,522,202","11,745,017","13,030,042","13,393,636","14,085,532","14,378,824","14,939,121","15,875,875","17,094,048","18,028,994","19,352,877","19,443,904","17,161,923","19,002,657","19,285,187","19,471,728","20,305,933","20,582,181",22.88%
Others,"547,072","622,797","588,557","711,883","768,443","791,669","794,033","809,417","779,129","810,429","858,922","894,719","913,226","942,178","991,390","940,124","1,228,833","1,170,022","1,895,004","1,607,214","1,730,105","2,078,315","2,119,259",2.36%
Electricity Sales,"32,468,456","33,024,680","33,791,038","33,941,398","35,434,885","36,615,419","37,859,434","41,388,794","41,706,246","44,063,677","45,803,175","47,240,505","50,589,323","55,413,149","58,247,445","61,541,312","64,791,630","61,112,142","64,420,461","67,535,552","70,485,936","75,945,302","76,705,030",85.28%
Own-Use,"2,825,775","3,856,057","3,738,405","3,443,789","3,140,721","3,069,218","2,666,262","3,729,375","4,113,775","3,952,498","4,549,543","5,040,459","5,598,130","6,517,613","5,940,167","5,668,573","6,173,460","5,753,871","5,540,988","6,461,129","7,132,726","7,251,669","7,223,168",8.03%
System Loss,"5,190,782","5,508,907","5,033,287","5,039,235","5,764,135","5,632,154","5,109,530","5,203,908","5,144,668","5,706,961","5,383,067","5,207,774","4,911,892","5,289,833","5,436,991","6,293,025","6,721,866","6,638,437","6,791,545","6,871,606","6,670,647","8,072,843","6,020,193",6.69%
Electricity Consumption,"40,485,013","42,389,644","42,562,730","42,424,421","44,339,741","45,316,792","45,635,225","50,322,077","50,964,688","53,723,136","55,735,785","57,488,739","61,099,345","67,220,596","69,624,603","73,502,911","77,686,956","73,504,450","76,752,994","80,868,287","84,289,310","91,269,813","89,948,392",100.00%
Visayas,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% Share - 2025
Residential,"1,784,959","1,872,854","1,999,023","2,036,357","2,157,467","2,208,277","2,340,752","2,523,334","2,526,694","2,668,062","2,735,203","2,770,126","3,068,120","3,508,238","3,614,831","3,863,595","4,198,057","4,629,883","4,708,070","4,746,402","5,044,183","5,768,094","6,017,325",33.92%
