year,total_consumption_gwh,residential_consumption_gwh,commercial_consumption_gwh,industrial_consumption_gwh,others_consumption_gwh,electricity_sales_gwh,utilities_own_use_gwh,system_losses_gwh,luzon_peak_demand_mw,visayas_peak_demand_mw,mindanao_peak_demand_mw,total_peak_demand_mw,luzon_generation_gwh,visayas_generation_gwh,mindanao_generation_gwh,coal_generation_gwh,oil_based_generation_gwh,natural_gas_generation_gwh,renewable_generation_gwh,geothermal_generation_gwh,hydro_generation_gwh,biomass_generation_gwh,solar_generation_gwh,wind_generation_gwh,combined_cycle_generation_gwh,diesel_generation_gwh,gas_turbine_generation_gwh,oil_thermal_generation_gwh,total_installed_capacity_mw,total_dependable_capacity_mw,total_consumption_diff1,total_peak_demand_diff1,renewable_generation_diff1,years_since_2003,consumption_yoy_growth,peak_yoy_growth,renewable_share_pct,consumption_lag1,consumption_lag2,peak_lag1,consumption_roll3,consumption_roll5,capacity_margin_mw,capacity_margin_pct
2003,52941.0,15357.0,11106.0,15188.0,1069.0,42720.0,3410.0,6810.0,6149.0,995.0,1131.0,8275.0,37535.0,8842.0,6564.0,14939.0,7170.0,13139.0,17692.0,9822.0,7870.0,0.0,0.0,0.0,439.0,5509.0,42.0,1180.0,19923.0,17239.0,,,,0,,,33.41833361666761,,,,,,11648.0,140.76132930513597
2004,55957.0,15920.0,11785.0,15012.0,1359.0,44076.0,4654.0,7228.0,6323.0,1025.0,1177.0,8525.0,39854.0,9016.0,7087.0,16194.0,8504.0,12384.0,18874.0,10282.0,8593.0,0.0,0.0,0.0,738.0,6253.0,82.0,1431.0,20697.0,17971.0,3016.0,250.0,1182.0,1,5.696907878581814,3.0211480362537735,33.72947084368354,52941.0,,8275.0,,,12172.0,142.7800586510264
2005,56568.0,16031.0,12245.0,15705.0,1177.0,45159.0,4591.0,6817.0,6443.0,1037.0,1149.0,8629.0,40627.0,8698.0,7243.0,15257.0,6141.0,16861.0,18308.0,9902.0,8387.0,0.0,2.0,17.0,91.0,5717.0,25.0,309.0,20845.0,18011.0,611.0,104.0,-566.0,2,1.0919098593562993,1.2199413489736077,32.3645877527931,55957.0,52941.0,8525.0,55155.333333333336,,12216.0,141.5691273612238
2006,56784.0,15830.0,12679.0,15888.0,1275.0,45672.0,4227.0,6885.0,6466.0,1066.0,1228.0,8760.0,41241.0,8129.0,7414.0,15294.0,4665.0,16366.0,20459.0,10465.0,9939.0,0.0,1.0,53.0,239.0,4152.0,0.0,274.0,21064.0,18058.0,216.0,131.0,2151.0,3,0.38184132371659185,1.518136516398183,36.02951535643844,56568.0,55957.0,8629.0,56436.333333333336,,12304.0,140.45662100456622
2007,59612.0,16376.0,13470.0,16522.0,1641.0,48009.0,3994.0,7608.0,6643.0,1102.0,1241.0,8987.0,43620.0,8102.0,7890.0,16837.0,5148.0,18789.0,18837.0,10215.0,8563.0,0.0,1.0,58.0,653.0,4162.0,9.0,324.0,21217.0,18118.0,2828.0,227.0,-1622.0,4,4.980276134122286,2.5913242009132365,31.599342414279004,56784.0,56568.0,8760.0,57654.666666666664,56372.4,12230.0,136.08545677089128
2008,60821.0,16644.0,14136.0,17031.0,1395.0,49206.0,3935.0,7680.0,6674.0,1176.0,1204.0,9054.0,44200.0,8650.0,7972.0,15749.0,4868.0,19576.0,20628.0,10723.0,9843.0,0.0,1.0,61.0,513.0,3660.0,36.0,658.0,20964.0,17420.0,1209.0,67.0,1791.0,5,2.02811514460175,0.7455213085568069,33.915359573838415,59612.0,56784.0,8987.0,59072.333333333336,57948.4,11910.0,131.54406891981444
2009,61934.0,17504.0,14756.0,17084.0,1523.0,50868.0,3524.0,7542.0,6928.0,1241.0,1303.0,9472.0,44975.0,8724.0,8235.0,16476.0,5381.0,19887.0,20191.0,10324.0,9788.0,14.0,1.0,64.0,639.0,3771.0,62.0,909.0,20918.0,17598.0,1113.0,418.0,-437.0,6,1.829960046694401,4.616743980561089,32.60083314496077,60821.0,59612.0,9054.0,60789.0,59143.8,11446.0,120.84037162162163
2010,67743.0,18833.0,16261.0,18576.0,1596.0,55266.0,4677.0,7800.0,7656.0,1431.0,1288.0,10375.0,50265.0,9075.0,8403.0,23301.0,7101.0,19518.0,17823.0,9929.0,7803.0,27.0,1.0,62.0,1202.0,4532.0,3.0,1364.0,21796.0,18315.0,5809.0,903.0,-2368.0,7,9.379339296670652,9.533361486486491,26.309729418537707,61934.0,60821.0,9472.0,63499.333333333336,61378.8,11421.0,110.08192771084337
2011,69176.0,18694.0,16624.0,19334.0,1446.0,56098.0,5398.0,7680.0,7552.0,1481.0,1346.0,10379.0,50017.0,10456.0,8703.0,25342.0,3398.0,20591.0,19845.0,9942.0,9698.0,115.0,1.0,88.0,124.0,2762.0,0.0,512.0,21554.0,18954.0,1433.0,4.0,2022.0,8,2.115347711202631,0.03855421686747018,28.687695154388805,67743.0,61934.0,10375.0,66284.33333333333,63857.2,11175.0,107.6693323056171
2012,72922.0,19695.0,17777.0,20071.0,1668.0,59211.0,5351.0,8360.0,7889.0,1551.0,1321.0,10761.0,52312.0,11483.0,9127.0,28265.0,4254.0,19642.0,20762.0,10250.0,10252.0,183.0,1.0,75.0,227.0,3332.0,0.0,695.0,22547.0,19604.0,3746.0,382.0,917.0,9,5.415172892332598,3.680508719529829,28.47151751186199,69176.0,67743.0,10379.0,69947.0,66519.2,11786.0,109.52513706904563
2013,75266.0,20614.0,18304.0,20677.0,1971.0,61566.0,5959.0,7741.0,8305.0,1572.0,1428.0,11305.0,54820.0,11100.0,9347.0,32081.0,4491.0,18791.0,19903.0,9605.0,10019.0,212.0,1.0,66.0,247.0,3805.0,0.0,438.0,22866.0,19929.0,2344.0,544.0,-859.0,10,3.214393461506826,5.055292259083721,26.443195557149878,72922.0,69176.0,10761.0,72454.66666666667,69408.2,11561.0,102.26448474126492
2014,77261.0,20969.0,18761.0,21429.0,2186.0,63345.0,6461.0,7455.0,8717.0,1636.0,1469.0,11822.0,56766.0,11014.0,9481.0,33054.0,5708.0,18690.0,19810.0,10308.0,9137.0,196.0,17.0,152.0,515.0,4730.0,0.0,463.0,23842.0,20422.0,1995.0,517.0,-93.0,11,2.6505992081417906,4.573197700132692,25.64036189021628,75266.0,72922.0,11305.0,75149.66666666667,72473.6,12020.0,101.6748435120961
2015,82413.0,22747.0,20085.0,22514.0,2462.0,67808.0,7124.0,7481.0,8928.0,1768.0,1517.0,12213.0,60113.0,12170.0,10130.0,36686.0,5886.0,18878.0,20963.0,11044.0,8665.0,367.0,139.0,748.0,276.0,5521.0,10.0,80.0,25095.0,21755.0,5152.0,391.0,1153.0,12,6.66830613116578,3.30739299610896,25.436520937230778,77261.0,75266.0,11822.0,78313.33333333333,75407.6,12882.0,105.47776958978139
2016,90798.0,25631.0,21770.0,24117.0,2634.0,74153.0,8357.0,8288.0,9726.0,1893.0,1653.0,13272.0,66498.0,12955.0,11345.0,43303.0,5661.0,19854.0,21979.0,11070.0,8111.0,726.0,1097.0,975.0,694.0,4722.0,0.0,245.0,28383.0,25100.0,8385.0,1059.0,1016.0,13,10.174365694732623,8.6710881847212,24.206480318949758,82413.0,77261.0,12213.0,83490.66666666667,79732.0,15111.0,113.85623869801084
2017,94370.0,26782.0,22768.0,25573.0,2670.0,77793.0,8316.0,8262.0,10054.0,1975.0,1760.0,13789.0,68512.0,14054.0,11804.0,46847.0,3787.0,20547.0,23189.0,10270.0,9611.0,1013.0,1201.0,1094.0,405.0,3100.0,0.0,282.0,29807.0,26779.0,3572.0,517.0,1210.0,14,3.9340073569902323,3.895418927064487,24.572427678287593,90798.0,82413.0,13272.0,89193.66666666667,84021.6,16018.0,116.16505910508377
2018,99765.0,28261.0,24016.0,27587.0,2753.0,82617.0,8141.0,9007.0,10876.0,2053.0,1853.0,14782.0,72728.0,14266.0,12770.0,51932.0,3173.0,21334.0,23326.0,10435.0,9384.0,1105.0,1249.0,1153.0,522.0,2505.0,0.0,145.0,31042.0,27833.0,5395.0,993.0,137.0,15,5.716859171346833,7.201392414243246,23.38117958381781,94370.0,90798.0,13789.0,94977.66666666667,88921.4,16260.0,109.99864700311188
2019,106041.0,30552.0,25476.0,28194.0,2897.0,87118.0,8929.0,9994.0,11344.0,2224.0,2013.0,15581.0,76177.0,16060.0,13805.0,57890.0,3752.0,22354.0,22044.0,10691.0,8025.0,1040.0,1246.0,1042.0,728.0,2815.0,26.0,184.0,32930.0,29426.0,6276.0,799.0,-1282.0,16,6.290783340851003,5.405222567988099,20.787989664472565,99765.0,94370.0,14782.0,100058.66666666667,94677.4,17349.0,111.34715358449394
2020,101756.0,34292.0,20727.0,25566.0,2658.0,83243.0,8771.0,9742.0,11103.0,2201.0,1978.0,15282.0,72419.0,15485.0,13852.0,58176.0,2474.0,19497.0,21609.0,10757.0,7192.0,1261.0,1373.0,1026.0,495.0,1967.0,11.0,1.0,33940.0,30235.0,-4285.0,-299.0,-435.0,17,-4.040889844494111,-1.9190039150247085,21.23609418609222,106041.0,99765.0,15581.0,102520.66666666667,98546.0,18658.0,122.09134929982986
2021,106115.0,34981.0,21119.0,27623.0,3695.0,87417.0,8729.0,9968.0,11640.0,2252.0,2144.0,16036.0,75243.0,16268.0,14604.0,62052.0,1616.0,19060.0,23386.0,10016.0,9185.0,1445.0,1470.0,1270.0,417.0,1171.0,28.0,1.0,34796.0,30859.0,4359.0,754.0,1777.0,18,4.283776878021928,4.933909174191853,22.03835461527588,101756.0,106041.0,15282.0,104637.33333333333,101609.4,18760.0,116.98677974557245
2022,111516.0,35324.0,24294.0,28844.0,2871.0,91333.0,9490.0,10693.0,12113.0,2316.0,2167.0,16596.0,79821.0,16222.0,15473.0,66430.0,2519.0,17884.0,24684.0,10425.0,10085.0,1322.0,1822.0,1030.0,646.0,1782.0,3.0,88.0,36523.0,30747.0,5401.0,560.0,1298.0,19,5.089761108231627,3.49214267897231,22.134940277628324,106115.0,101756.0,16036.0,106462.33333333333,105038.6,19927.0,120.07110147023378
