region,sector,value_mwh,year
ARMM,Residential,364757.0,2025
CAR,Residential,469164.0,2025
NCR,Residential,9887610.0,2025
I,Residential,2059598.0,2025
II,Residential,1010967.0,2025
III,Residential,6648317.0,2025
IV-A,Residential,8529837.0,2025
IV-B,Residential,657279.0,2025
V,Residential,1328802.0,2025
ARMM,Commercial,45230.0,2025
CAR,Commercial,247365.0,2025
NCR,Commercial,9989164.0,2025
I,Commercial,851948.0,2025
II,Commercial,387988.0,2025
III,Commercial,4394378.0,2025
IV-A,Commercial,7810773.0,2025
IV-B,Commercial,353635.0,2025
V,Commercial,607251.0,2025
ARMM,Industrial,12036.0,2025
CAR,Industrial,17906.0,2025
NCR,Industrial,7309185.0,2025
I,Industrial,300245.0,2025
II,Industrial,264516.0,2025
III,Industrial,4068576.0,2025
IV-A,Industrial,6016152.0,2025
IV-B,Industrial,67757.0,2025
V,Industrial,112618.0,2025
ARMM,Others,45326.0,2025
CAR,Others,60599.0,2025
NCR,Others,74709.0,2025
I,Others,214444.0,2025
II,Others,177219.0,2025
III,Others,350685.0,2025
IV-A,Others,275902.0,2025
IV-B,Others,138728.0,2025
V,Others,227840.0,2025
ARMM,Total Sales,467348.0,2025
CAR,Total Sales,795035.0,2025
NCR,Total Sales,27260668.0,2025
I,Total Sales,3426234.0,2025
II,Total Sales,1840691.0,2025
III,Total Sales,15461957.0,2025
IV-A,Total Sales,22632664.0,2025
IV-B,Total Sales,1217399.0,2025
V,Total Sales,2276512.0,2025
ARMM,Own-Use,1448.0,2025
CAR,Own-Use,1736.0,2025
NCR,Own-Use,32725.0,2025
I,Own-Use,6872.0,2025
II,Own-Use,3481.0,2025
III,Own-Use,19751.0,2025
IV-A,Own-Use,27586.0,2025
IV-B,Own-Use,2068.0,2025
V,Own-Use,3844.0,2025
ARMM,System Loss,185301.0,2025
CAR,System Loss,90661.0,2025
NCR,System Loss,1695243.0,2025
I,System Loss,352080.0,2025
II,System Loss,188171.0,2025
III,System Loss,1079199.0,2025
IV-A,System Loss,1530020.0,2025
IV-B,System Loss,160454.0,2025
V,System Loss,391606.0,2025
ARMM,Total Consumption,654097.0,2025
CAR,Total Consumption,887432.0,2025
NCR,Total Consumption,28988636.0,2025
I,Total Consumption,3785186.0,2025
II,Total Consumption,2032342.0,2025
III,Total Consumption,16560907.0,2025
IV-A,Total Consumption,24190270.0,2025
IV-B,Total Consumption,1379921.0,2025
V,Total Consumption,2671962.0,2025
"1,473,160",Commercial,627946.0,2025
"2,398,370",Commercial,961492.0,2025
"959,178",Commercial,262497.0,2025
"1,263,854",Commercial,529059.0,2025
"831,531",Commercial,417890.0,2025
"1,233,093",Commercial,604299.0,2025
"1,869,275",Commercial,457014.0,2025
"1,269,548",Commercial,388500.0,2025
"712,835",Commercial,278167.0,2025
"42,967,175",Commercial,29214596.0,2025
"1,473,160",Industrial,431695.0,2025
"2,398,370",Industrial,3331895.0,2025
"959,178",Industrial,282247.0,2025
"1,263,854",Industrial,434985.0,2025
"831,531",Industrial,234400.0,2025
"1,233,093",Industrial,1889289.0,2025
"1,869,275",Industrial,2192057.0,2025
"1,269,548",Industrial,833543.0,2025
"712,835",Industrial,293371.0,2025
"42,967,175",Industrial,28092477.0,2025
"1,473,160",Others,189163.0,2025
"2,398,370",Others,235332.0,2025
"959,178",Others,210970.0,2025
"1,263,854",Others,153290.0,2025
"831,531",Others,159372.0,2025
"1,233,093",Others,121028.0,2025
"1,869,275",Others,101231.0,2025
"1,269,548",Others,105723.0,2025
"712,835",Others,127936.0,2025
"42,967,175",Others,2969495.0,2025
"1,473,160",Total Sales,2721964.0,2025
"2,398,370",Total Sales,6927089.0,2025
"959,178",Total Sales,1714893.0,2025
"1,263,854",Total Sales,2381187.0,2025
"831,531",Total Sales,1643194.0,2025
"1,233,093",Total Sales,3847709.0,2025
"1,869,275",Total Sales,4619577.0,2025
"1,269,548",Total Sales,2597314.0,2025
"712,835",Total Sales,1412309.0,2025
"42,967,175",Total Sales,103243742.0,2025
"1,473,160",Own-Use,3746.0,2025
"2,398,370",Own-Use,8383.0,2025
"959,178",Own-Use,4078.0,2025
"1,263,854",Own-Use,4952.0,2025
"831,531",Own-Use,2971.0,2025
"1,233,093",Own-Use,7357.0,2025
"1,869,275",Own-Use,4125.0,2025
"1,269,548",Own-Use,2985.0,2025
"712,835",Own-Use,2449.0,2025
"42,967,175",Own-Use,140554.0,2025
"1,473,160",System Loss,250074.0,2025
"2,398,370",System Loss,495822.0,2025
"959,178",System Loss,162073.0,2025
"1,263,854",System Loss,284810.0,2025
"831,531",System Loss,265186.0,2025
"1,233,093",System Loss,272318.0,2025
"1,869,275",System Loss,527751.0,2025
"1,269,548",System Loss,408644.0,2025
"712,835",System Loss,148145.0,2025
"42,967,175",System Loss,8487561.0,2025
"1,473,160",Total Consumption,2975784.0,2025
"2,398,370",Total Consumption,7431294.0,2025
"959,178",Total Consumption,1881044.0,2025
"1,263,854",Total Consumption,2670949.0,2025
"831,531",Total Consumption,1911350.0,2025
"1,233,093",Total Consumption,4127384.0,2025
"1,869,275",Total Consumption,5151453.0,2025
"1,269,548",Total Consumption,3008943.0,2025
"712,835",Total Consumption,1562903.0,2025
"42,967,175",Total Consumption,111871857.0,2025
