Category,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Coal,3691,3696,3432,3638,3467,3412,3813,4245,4651,5206,5206,5378,5613,6979,7674,8368,9743,10245,10913,11504,11335,11863
Oil Based,3175,3216,3043,2879,2670,2702,2528,2488,2579,2561,2846,2705,2734,2821,3286,2995,3015,3054,2650,2860,2795,2806
Natural Gas,2703,2703,2703,2703,2703,2562,2700,2756,2770,2760,2760,2760,2759,3291,3291,3286,3286,3286,3286,2081,3281,3281
Renewable Energy (RE),3835,4178,4417,4419,4639,4372,4278,4413,4477,4539,4559,4789,5325,6005,6264,6592,6691,6825,7005,7151,7242,8136
Geothermal,1568,1568,1683,1683,1667,1388,1321,1351,1434,1462,1482,1607,1601,1689,1752,1770,1792,1753,1753,1763,1708,1708
Hydro,2267,2610,2723,2726,2962,2950,2914,3021,2963,2983,2983,2982,3073,3181,3269,3473,3508,3527,3500,3444,3499,3485
Biomass,0,0,0,0,0,0,10,20,46,76,76,81,146,157,160,182,227,285,291,382,374,378
Solar,0,0,1,1,1,1,1,1,1,0,0,17,125,594,700,740,737,817,1034,1150,1249,2154
Wind,0,0,9,9,9,33,33,20,33,17,17,103,379,383,383,427,427,443,427,412,412,412
Total Dependable Capacity,13404,13792,13595,13639,13479,13049,13319,13902,14477,15066,15371,15633,16432,19097,20515,21241,22736,23410,23855,23598,24654,26087
