Category,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Coal,14939,16194,15257,15294,16837,15749,16476,23301,25342,28265,32081,33054,36686,43303,46847,51932,57890,58176,62052,66430,73754,79359
Oil-Based,7170,8504,6141,4665,5148,4868,5381,7101,3398,4254,4491,5708,5886,5661,3787,3173,3752,2474,1616,2519,1304,1342
Combined Cycle,439,738,91,239,653,513,639,1202,124,227,247,515,276,694,405,522,728,495,417,646,99,139
Diesel,5509,6253,5717,4152,4162,3660,3771,4532,2762,3332,3805,4730,5521,4722,3100,2505,2815,1967,1171,1782,1122,1185
Gas Turbine,42,82,25,0,9,36,62,3,0,0,0,0,10,0,0,0,26,11,28,3,0,0
Oil Thermal,1180,1431,309,274,324,658,909,1364,512,695,438,463,80,245,282,145,184,1,1,88,83,18
Natural Gas,13139,12384,16861,16366,18789,19576,19887,19518,20591,19642,18791,18690,18878,19854,20547,21334,22354,19497,19060,17884,16668,18047
Renewable Energy (RE),17692,18874,18308,20459,18837,20628,20191,17823,19845,20762,19903,19810,20963,21979,23189,23326,22044,21609,23386,24684,26278,28193
Geothermal,9822,10282,9902,10465,10215,10723,10324,9929,9942,10250,9605,10308,11044,11070,10270,10435,10691,10757,10016,10425,10730,10789
Hydro,7870,8593,8387,9939,8563,9843,9788,7803,9698,10252,10019,9137,8665,8111,9611,9384,8025,7192,9185,10085,10287,10909
Biomass,0,0,0,0,0,0,14,27,115,183,212,196,367,726,1013,1105,1040,1261,1445,1322,1409,1446
Solar,0,0,2,1,1,1,1,1,1,1,1,17,139,1097,1201,1249,1246,1373,1470,1822,2544,3811
Wind,0,0,17,53,58,61,64,62,88,75,66,152,748,975,1094,1153,1042,1026,1270,1030,1308,1239
Total Gross Generation,52941,55957,56568,56784,59612,60821,61934,67743,69176,72922,75266,77261,82413,90798,94370,99765,106041,101756,106115,111516,118004,126941
