year,total_consumption_gwh,residential_consumption_gwh,commercial_consumption_gwh,industrial_consumption_gwh,others_consumption_gwh,electricity_sales_gwh,utilities_own_use_gwh,system_losses_gwh,luzon_peak_demand_mw,visayas_peak_demand_mw,mindanao_peak_demand_mw,total_peak_demand_mw,luzon_generation_gwh,visayas_generation_gwh,mindanao_generation_gwh,coal_generation_gwh,oil_based_generation_gwh,natural_gas_generation_gwh,renewable_generation_gwh,geothermal_generation_gwh,hydro_generation_gwh,biomass_generation_gwh,solar_generation_gwh,wind_generation_gwh,total_installed_capacity_mw,total_dependable_capacity_mw
2003,52941.00,15357.00,11106.00,15188.00,1069.00,42720.00,3410.00,6810.00,6149.00,995.00,1131.00,8275.00,37535.00,8842.00,6564.00,14939.00,14340.00,13139.00,17692.00,9822.00,7870.00,0.00,0.00,0.00,15124.00,13404.00
2004,55957.00,15920.00,11785.00,15012.00,1359.00,44076.00,4654.00,7228.00,6323.00,1025.00,1177.00,8525.00,39854.00,9016.00,7087.00,16194.00,17008.00,12384.00,18874.00,10282.00,8593.00,0.00,0.00,0.00,15548.00,13792.00
2005,56568.00,16031.00,12245.00,15705.00,1177.00,45159.00,4591.00,6817.00,6443.00,1037.00,1149.00,8629.00,40627.00,8698.00,7243.00,15257.00,12283.00,16861.00,18308.00,9902.00,8387.00,0.00,2.00,17.00,15619.00,13595.00
2006,56784.00,15830.00,12679.00,15888.00,1275.00,45672.00,4227.00,6885.00,6466.00,1066.00,1228.00,8760.00,41241.00,8129.00,7414.00,15294.00,9330.00,16366.00,20459.00,10465.00,9939.00,0.00,1.00,53.00,15803.00,13639.00
2007,59612.00,16376.00,13470.00,16522.00,1641.00,48009.00,3994.00,7608.00,6643.00,1102.00,1241.00,8987.00,43620.00,8102.00,7890.00,16837.00,10296.00,18789.00,18837.00,10215.00,8563.00,0.00,1.00,58.00,15941.00,13479.00
2008,60821.00,16644.00,14136.00,17031.00,1395.00,49206.00,3935.00,7680.00,6674.00,1176.00,1204.00,9054.00,44200.00,8650.00,7972.00,15749.00,9735.00,19576.00,20628.00,10723.00,9843.00,0.00,1.00,61.00,15681.00,13049.00
2009,61934.00,17504.00,14756.00,17084.00,1523.00,50868.00,3524.00,7542.00,6928.00,1241.00,1303.00,9472.00,44975.00,8724.00,8235.00,16476.00,10762.00,19887.00,20191.00,10324.00,9788.00,14.00,1.00,64.00,15610.00,13319.00
2010,67743.00,18833.00,16261.00,18576.00,1596.00,55266.00,4677.00,7800.00,7656.00,1431.00,1288.00,10375.00,50265.00,9075.00,8403.00,23301.00,14202.00,19518.00,17823.00,9929.00,7803.00,27.00,1.00,62.00,16358.00,13902.00
2011,69176.00,18694.00,16624.00,19334.00,1446.00,56098.00,5398.00,7680.00,7552.00,1481.00,1346.00,10379.00,50017.00,10456.00,8703.00,25342.00,6796.00,20591.00,19845.00,9942.00,9698.00,115.00,1.00,88.00,16162.00,14477.00
2012,72922.00,19695.00,17777.00,20071.00,1668.00,59211.00,5351.00,8360.00,7889.00,1551.00,1321.00,10761.00,52312.00,11483.00,9127.00,28265.00,8508.00,19642.00,20762.00,10250.00,10252.00,183.00,1.00,75.00,17025.00,15066.00
2013,75266.00,20614.00,18304.00,20677.00,1971.00,61566.00,5959.00,7741.00,8305.00,1572.00,1428.00,11305.00,54820.00,11100.00,9347.00,32081.00,8981.00,18791.00,19903.00,9605.00,10019.00,212.00,1.00,66.00,17325.00,15371.00
