Year,LuzonPeakDemand,LuzonDifference,Luzon%GrowthRate,VisayasPeakDemand,VisayasDifference,Visayas%GrowthRate,MindanaoPeakDemand,MindanaoDifference,Mindanao%GrowthRate,PHNon-CoincidentalPeakDemand,PHDifference,PH%GrowthRate
2001,"5,646",0,0,898,0,0,953,0,0,"7,497",0,0
2002,"5,823",177,3.1,903,5,0.6,995,42,4.4,"7,721",224,3
2003,"6,149",326,5.6,995,92,10.2,"1,131",136,13.7,"8,275",554,7.2
2004,"6,323",174,2.8,"1,025",30,3,"1,177",46,4.1,"8,525",250,3
2005,"6,443",120,1.9,"1,037",12,1.2,"1,149",-28,-2.4,"8,629",104,1.2
2006,"6,466",23,0.4,"1,066",29,2.8,"1,228",79,6.9,"8,760",131,1.5
2007,"6,643",177,2.7,"1,102",36,3.4,"1,241",13,1.1,"8,987",227,2.6
2008,"6,674",31,0.5,"1,176",74,6.7,"1,204",-38,-3,"9,054",67,0.7
2009,"6,928",254,3.8,"1,241",65,5.5,"1,303",99,8.3,"9,472",418,4.6
2010,"7,656",728,10.5,"1,431",190,15.3,"1,288",-15,-1.2,"10,375",903,9.5
2011,"7,552",-104,-1.4,"1,481",50,3.5,"1,346",58,4.5,"10,379",4,0
2012,"7,889",337,4.5,"1,551",70,4.7,"1,321",-25,-1.9,"10,761",382,3.7
2013,"8,305",416,5.3,"1,572",21,1.4,"1,428",107,8.1,"11,305",544,5.1
2014,"8,717",412,5,"1,636",64,4.1,"1,469",41,2.9,"11,822",517,4.6
2015,"8,928",211,2.4,"1,768",132,8.1,"1,517",48,3.3,"12,213",391,3.3
2016,"9,726",798,8.9,"1,893",125,7.1,"1,653",136,9,"13,272","1,059",8.7
2017,"10,054",328,3.4,"1,975",82,4.3,"1,760",107,6.5,"13,789",517,3.9
2018,"10,876",822,8.2,"2,053",78,3.9,"1,853",93,5.3,"14,782",993,7.2
2019,"11,344",468,4.3,"2,224",171,8.3,"2,013",160,8.6,"15,581",799,5.4
2020,"11,103",-241,-2.1,"2,201",-23,-1,"1,978",-36,-1.8,"15,282",-299,-1.9
2021,"11,640",537,4.8,"2,252",51,2.3,"2,144",167,8.4,"16,036",755,4.9
2022,"12,113",473,4.1,"2,316",64,2.8,"2,167",23,1.1,"16,596",560,3.5
2023,"12,550",437,3.6,"2,458",142,6.1,"2,323",156,7.2,"17,331",735,4.4
2024,"14,016","1,466",11.7,"2,681",223,9.1,"2,577",254,10.9,"19,274","1,943",11.2
