"",,,,,,,,,,,,,,,,,,,,,,
Electricity Consumption by Sector in GWh,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Residential,"15,357","15,920","16,031","15,830","16,376","16,644","17,504","18,833","18,694","19,695","20,614","20,969","22,747","25,631","26,782","28,261","30,552","34,292","34,981","35,324","36,968","41,205"
Commercial,"11,106","11,785","12,245","12,679","13,470","14,136","14,756","16,261","16,624","17,777","18,304","18,761","20,085","21,770","22,768","24,016","25,476","20,727","21,119","24,294","26,236","28,033"
Industrial,"15,188","15,012","15,705","15,888","16,522","17,031","17,084","18,576","19,334","20,071","20,677","21,429","22,514","24,117","25,573","27,587","28,194","25,566","27,623","28,844","29,493","31,074"
Others,"1,069","1,359","1,177","1,275","1,641","1,395","1,523","1,596","1,446","1,668","1,971","2,186","2,462","2,634","2,670","2,753","2,897","2,658","3,695","2,871","3,112","3,596"
Electricity Sales,"42,720","44,076","45,159","45,672","48,009","49,206","50,868","55,266","56,098","59,211","61,566","63,345","67,808","74,153","77,793","82,617","87,118","83,243","87,417","91,333","95,808","103,908"
Utilities Own Use,"3,410","4,654","4,591","4,227","3,994","3,935","3,524","4,677","5,398","5,351","5,959","6,461","7,124","8,357","8,316","8,141","8,929","8,771","8,729","9,490","10,403","10,558"
System Losses,"6,810","7,228","6,817","6,885","7,608","7,680","7,542","7,800","7,680","8,360","7,741","7,455","7,481","8,288","8,262","9,007","9,994","9,742","9,968","10,693","11,793","12,475"
Total Electricity Consumption,"52,941","55,957","56,568","56,784","59,612","60,821","61,934","67,743","69,176","72,922","75,266","77,261","82,413","90,798","94,370","99,765","106,041","101,756","106,115","111,516","118,004","126,941"
"",,,,,,,,,,,,,,,,,,,,,,
System Peak Demand in MW,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Luzon,"6,149","6,323","6,443","6,466","6,643","6,674","6,928","7,656","7,552","7,889","8,305","8,717","8,928","9,726","10,054","10,876","11,344","11,103","11,640","12,113","12,550","14,016"
Visayas,995,"1,025","1,037","1,066","1,102","1,176","1,241","1,431","1,481","1,551","1,572","1,636","1,768","1,893","1,975","2,053","2,224","2,201","2,252","2,316","2,458","2,681"
Mindanao,"1,131","1,177","1,149","1,228","1,241","1,204","1,303","1,288","1,346","1,321","1,428","1,469","1,517","1,653","1,760","1,853","2,013","1,978","2,144","2,167","2,323","2,577"
Total Non-Coincidental Peak Demand,"8,275","8,525","8,629","8,760","8,987","9,054","9,472","10,375","10,379","10,761","11,305","11,822","12,213","13,272","13,789","14,782","15,581","15,282","16,036","16,596","17,331","19,274"
"",,,,,,,,,,,,,,,,,,,,,,
Gross Power Generation per Grid in GWh,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Luzon,"37,535","39,854","40,627","41,241","43,620","44,200","44,975","50,265","50,017","52,312","54,820","56,766","60,113","66,498","68,512","72,728","76,177","72,419","75,243","79,821","83,290","90,269"
