Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Coal,3958,3967,3967,4177,4213,4213,4277,4867,4917,5568,5568,5708,5963,7419,8049,8844,10417,10944,11669,12428,12406,13006
Oil Based,3604,3669,3663,3602,3616,3353,3193,3193,2994,3074,3353,3476,3610,3616,4153,4292,4262,4237,3847,3834,3737,3448
Natural Gas,2763,2763,2763,2763,2834,2831,2831,2861,2861,2862,2862,2862,2862,3431,3447,3453,3453,3453,3453,3732,3732,3732
Renewable Energy (RE),4799,5149,5226,5261,5277,5284,5309,5437,5391,5521,5541,5898,6330,6958,7079,7227,7399,7653,7914,8264,8417,9520
Geothermal,1932,1932,1978,1978,1958,1958,1953,1966,1783,1848,1868,1918,1917,1916,1916,1944,1928,1928,1928,1952,1952,1952
Hydro,2867,3217,3222,3257,3293,3291,3291,3400,3491,3521,3521,3543,3600,3618,3627,3701,3760,3779,3752,3745,3799,3836
Biomass,0,0,0,0,0,0,30,38,83,119,119,131,221,233,224,258,363,484,489,611,585,595
Solar,0,0,1,1,1,1,1,1,1,1,1,23,165,765,885,896,921,1019,1317,1530,1653,2710
Wind,0,0,25,25,25,33,33,33,33,33,33,283,427,427,427,427,427,443,427,427,427,427
Total Installed Capacity,15124,15548,15619,15803,15941,15681,15610,16358,16162,17025,17325,17944,18765,21423,22728,23815,25531,26286,26882,28258,28291,29706
