year,total_consumption_gwh,residential_consumption_gwh,commercial_consumption_gwh,industrial_consumption_gwh,others_consumption_gwh,electricity_sales_gwh,utilities_own_use_gwh,system_losses_gwh,luzon_peak_demand_mw,visayas_peak_demand_mw,mindanao_peak_demand_mw,total_peak_demand_mw,luzon_generation_gwh,visayas_generation_gwh,mindanao_generation_gwh,coal_generation_gwh,oil_based_generation_gwh,natural_gas_generation_gwh,renewable_generation_gwh,geothermal_generation_gwh,hydro_generation_gwh,biomass_generation_gwh,solar_generation_gwh,wind_generation_gwh,combined_cycle_generation_gwh,diesel_generation_gwh,gas_turbine_generation_gwh,oil_thermal_generation_gwh,total_installed_capacity_mw,total_dependable_capacity_mw,total_consumption_diff1,total_peak_demand_diff1,renewable_generation_diff1,year,years_since_2003,consumption_yoy_growth,peak_yoy_growth,renewable_share_pct,consumption_lag1,consumption_lag2,peak_lag1,consumption_roll3,consumption_roll5,capacity_margin_mw,capacity_margin_pct
2003,52941,15357,11106,15188,1069,42720,3410,6810,6149,995,1131,8275,37535,8842,6564,14939,7170,13139,17692,9822,7870,0,0,0,439,5509,42,1180,15124,13404,,,,2003,0,,,33.41833361666761,,,,52941.0,52941.0,5129,61.981873111782484
2004,55957,15920,11785,15012,1359,44076,4654,7228,6323,1025,1177,8525,39854,9016,7087,16194,8504,12384,18874,10282,8593,0,0,0,738,6253,82,1431,15548,13792,3016.0,250.0,1182.0,2004,1,5.696907878581814,3.0211480362537735,33.72947084368354,52941.0,,8275.0,54449.0,54449.0,5267,61.78299120234604
2005,56568,16031,12245,15705,1177,45159,4591,6817,6443,1037,1149,8629,40627,8698,7243,15257,6141,16861,18308,9902,8387,0,2,17,91,5717,25,309,15619,13595,611.0,104.0,-566.0,2005,2,1.0919098593562993,1.2199413489736077,32.3645877527931,55957.0,52941.0,8525.0,55155.333333333336,55155.333333333336,4966,57.55012168269788
2006,56784,15830,12679,15888,1275,45672,4227,6885,6466,1066,1228,8760,41241,8129,7414,15294,4665,16366,20459,10465,9939,0,1,53,239,4152,0,274,15803,13639,216.0,131.0,2151.0,2006,3,0.38184132371659185,1.518136516398183,36.02951535643844,56568.0,55957.0,8629.0,56436.333333333336,55562.5,4879,55.69634703196347
2007,59612,16376,13470,16522,1641,48009,3994,7608,6643,1102,1241,8987,43620,8102,7890,16837,5148,18789,18837,10215,8563,0,1,58,653,4162,9,324,15941,13479,2828.0,227.0,-1622.0,2007,4,4.980276134122286,2.5913242009132365,31.599342414279004,56784.0,56568.0,8760.0,57654.666666666664,56372.4,4492,49.983309224435295
2008,60821,16644,14136,17031,1395,49206,3935,7680,6674,1176,1204,9054,44200,8650,7972,15749,4868,19576,20628,10723,9843,0,1,61,513,3660,36,658,15681,13049,1209.0,67.0,1791.0,2008,5,2.02811514460175,0.7455213085568069,33.91591719965143,59612.0,56784.0,8987.0,59072.333333333336,57948.4,3995,44.124144024740446
2009,61934,17504,14756,17084,1523,50868,3524,7542,6928,1241,1303,9472,44975,8724,8235,16476,5381,19887,20191,10324,9788,14,1,64,639,3771,62,909,15610,13319,1113.0,418.0,-437.0,2009,6,1.829960046694401,4.616743980561089,32.60083314496077,60821.0,59612.0,9054.0,60789.0,59143.8,3847,40.614442567567565
2010,67743,18833,16261,18576,1596,55266,4677,7800,7656,1431,1288,10375,50265,9075,8403,23301,7101,19518,17823,9929,7803,27,1,62,1202,4532,3,1364,16358,13902,5809.0,903.0,-2368.0,2010,7,9.379339296670652,9.533361486486491,26.309729418537707,61934.0,60821.0,9472.0,63499.333333333336,61378.8,3527,33.99518072289157
2011,69176,18694,16624,19334,1446,56098,5398,7680,7552,1481,1346,10379,50017,10456,8703,25342,3398,20591,19845,9942,9698,115,1,88,124,2762,0,512,16162,14477,1433.0,4.0,2022.0,2011,8,2.115347711202631,0.03855421686747018,28.687695154388805,67743.0,61934.0,10375.0,66284.33333333333,63857.2,4098,39.48357259851624
2012,72922,19695,17777,20071,1668,59211,5351,8360,7889,1551,1321,10761,52312,11483,9127,28265,4254,19642,20762,10250,10252,183,1,75,227,3332,0,695,17025,15066,3746.0,382.0,917.0,2012,9,5.415172892332598,3.680508719529829,28.47151751186199,69176.0,67743.0,10379.0,69947.0,66519.2,4305,40.00557568999164
2013,75266,20614,18304,20677,1971,61566,5959,7741,8305,1572,1428,11305,54820,11100,9347,32081,4491,18791,19903,9605,10019,212,1,66,247,3805,0,438,17325,15371,2344.0,544.0,-859.0,2013,10,3.214393461506826,5.055292259083721,26.443546887040632,72922.0,69176.0,10761.0,72454.66666666667,69408.2,4066,35.96638655462185
2014,77261,20969,18761,21429,2186,63345,6461,7455,8717,1636,1469,11822,56766,11014,9481,33054,5708,18690,19810,10308,9137,196,17,152,515,4730,0,463,17944,15633,1995.0,517.0,-93.0,2014,11,2.6505992081417906,4.573197700132692,25.64036189021628,75266.0,72922.0,11305.0,75149.66666666667,72473.6,3811,32.236508205041446
2015,82413,22747,20085,22514,2462,67808,7124,7481,8928,1768,1517,12213,60113,12170,10130,36686,5886,18878,20963,11044,8665,367,139,748,276,5521,10,80,18765,16432,5152.0,391.0,1153.0,2015,12,6.66830613116578,3.30739299610896,25.436520937230778,77261.0,75266.0,11822.0,78313.33333333333,75407.6,4219,34.54515680013101
2016,90798,25631,21770,24117,2634,74153,8357,8288,9726,1893,1653,13272,66498,12955,11345,43303,5661,19854,21979,11070,8111,726,1097,975,694,4722,0,245,21423,19097,8385.0,1059.0,1016.0,2016,13,10.174365694732623,8.6710881847212,24.206480318949758,82413.0,77261.0,12213.0,83490.66666666667,79732.0,5825,43.88939119951778
2017,94370,26782,22768,25573,2670,77793,8316,8262,10054,1975,1760,13789,68512,14054,11804,46847,3787,20547,23189,10270,9611,1013,1201,1094,405,3100,0,282,22728,20515,3572.0,517.0,1210.0,2017,14,3.9340073569902323,3.895418927064487,24.572427678287593,90798.0,82413.0,13272.0,89193.66666666667,84021.6,6726,48.778011458408876
2018,99765,28261,24016,27587,2753,82617,8141,9007,10876,2053,1853,14782,72728,14266,12770,51932,3173,21334,23326,10435,9384,1105,1249,1153,522,2505,0,145,23815,21241,5395.0,993.0,137.0,2018,15,5.716859171346833,7.201392414243246,23.380945221269982,94370.0,90798.0,13789.0,94977.66666666667,88921.4,6459,43.69503450142065
2019,106041,30552,25476,28194,2897,87118,8929,9994,11344,2224,2013,15581,76177,16060,13805,57890,3752,22354,22044,10691,8025,1040,1246,1042,728,2815,26,184,25531,22736,6276.0,799.0,-1282.0,2019,16,6.290783340851003,5.405222567988099,20.788185701756866,99765.0,94370.0,14782.0,100058.66666666667,94677.4,7155,45.92131442141069
2020,101756,34292,20727,25566,2658,83243,8771,9742,11103,2201,1978,15282,72419,15485,13852,58176,2474,19497,21609,10757,7192,1261,1373,1026,495,1967,11,1,26286,23410,-4285.0,-299.0,-435.0,2020,17,-4.040889844494111,-1.9190039150247085,21.23609418609222,106041.0,99765.0,15581.0,102520.66666666667,98546.0,8128,53.186755660253894
