technology,grid_connection,year,generation_gwh
Geothermal energy,On-grid,2000,11626.0
Geothermal energy,On-grid,2001,10442.0
Geothermal energy,On-grid,2002,10242.49
Geothermal energy,On-grid,2003,9822.44
Geothermal energy,On-grid,2004,10281.55
Geothermal energy,On-grid,2005,9902.44
Geothermal energy,On-grid,2006,10465.28
Geothermal energy,On-grid,2007,10214.69
Geothermal energy,On-grid,2008,10722.78
Geothermal energy,On-grid,2009,10323.85
Geothermal energy,On-grid,2010,9929.15
Geothermal energy,On-grid,2011,9942.33
Geothermal energy,On-grid,2012,10249.99
Geothermal energy,On-grid,2013,9604.6
Geothermal energy,On-grid,2014,10308.11
Geothermal energy,On-grid,2015,11043.69
Geothermal energy,On-grid,2016,11070.4
Geothermal energy,On-grid,2017,10270.08
Geothermal energy,On-grid,2018,10435.31
Geothermal energy,On-grid,2019,10690.8
Geothermal energy,On-grid,2020,10756.82
Geothermal energy,On-grid,2021,10016.0
Geothermal energy,On-grid,2022,10424.52
Geothermal energy,On-grid,2023,10730.18
Onshore wind energy,Off-grid,2019,7.78
Onshore wind energy,Off-grid,2020,7.67
Onshore wind energy,Off-grid,2021,9.56
Onshore wind energy,Off-grid,2022,26.76
Onshore wind energy,Off-grid,2023,42.89
Onshore wind energy,On-grid,2005,17.47
Onshore wind energy,On-grid,2006,53.24
Onshore wind energy,On-grid,2007,57.84
Onshore wind energy,On-grid,2008,61.39
Onshore wind energy,On-grid,2009,64.43
Onshore wind energy,On-grid,2010,61.72
Onshore wind energy,On-grid,2011,88.2
Onshore wind energy,On-grid,2012,75.34
Onshore wind energy,On-grid,2013,65.66
Onshore wind energy,On-grid,2014,152.05
Onshore wind energy,On-grid,2015,748.41
Onshore wind energy,On-grid,2016,975.22
Onshore wind energy,On-grid,2017,1093.56
Onshore wind energy,On-grid,2018,1152.92
Onshore wind energy,On-grid,2019,1033.88
Onshore wind energy,On-grid,2020,1018.78
Onshore wind energy,On-grid,2021,1269.66
Onshore wind energy,On-grid,2022,1029.87
Onshore wind energy,On-grid,2023,1308.14
Renewable hydropower,Off-grid,2000,16.49
Renewable hydropower,Off-grid,2001,14.41
Renewable hydropower,Off-grid,2002,12.93
Renewable hydropower,Off-grid,2003,12.1
Renewable hydropower,Off-grid,2004,10.34
Renewable hydropower,Off-grid,2005,10.1
Renewable hydropower,Off-grid,2006,11.96
Renewable hydropower,Off-grid,2007,10.31
Renewable hydropower,Off-grid,2008,11.84
Renewable hydropower,Off-grid,2009,11.77
Renewable hydropower,Off-grid,2010,19.26
Renewable hydropower,Off-grid,2011,33.33
Renewable hydropower,Off-grid,2012,45.42
Renewable hydropower,Off-grid,2013,44.39
Renewable hydropower,Off-grid,2014,40.32
Renewable hydropower,Off-grid,2015,49.92
Renewable hydropower,Off-grid,2016,46.6
Renewable hydropower,Off-grid,2017,55.08
Renewable hydropower,Off-grid,2018,85.88
Renewable hydropower,Off-grid,2019,107.89
Renewable hydropower,Off-grid,2020,96.21
Renewable hydropower,Off-grid,2021,107.75
Renewable hydropower,Off-grid,2022,140.96
Renewable hydropower,Off-grid,2023,139.78
Renewable hydropower,On-grid,2000,7311.71
Renewable hydropower,On-grid,2001,6609.19
Renewable hydropower,On-grid,2002,6530.44
Renewable hydropower,On-grid,2003,7358.52
Renewable hydropower,On-grid,2004,7652.74
Renewable hydropower,On-grid,2005,7555.48
Renewable hydropower,On-grid,2006,9072.25
Renewable hydropower,On-grid,2007,7792.73
Renewable hydropower,On-grid,2008,9632.3
Renewable hydropower,On-grid,2009,9242.2
Renewable hydropower,On-grid,2010,7304.94
