year,renewable_share_pct
2000,41.88
2000,32.54
2001,30.01
2001,36.31
2002,34.67
2002,27.11
2003,29.3
2003,32.51
2004,32.1
2004,29.85
2005,29.73
2005,30.95
2006,34.56
2006,29.14
2007,29.13
2007,30.37
2008,33.63
2008,29.06
2009,29.15
2009,31.79
2010,25.66
2010,29.6
2011,29.14
2011,28.4
2012,28.03
2012,29.22
2013,27.4
2013,25.87
2014,24.84
2014,28.74
2015,29.33
2015,24.64
2016,28.42
2016,23.49
2017,23.88
2017,28.27
2018,27.82
2018,22.73
2019,20.19
2019,26.61
2020,26.76
2020,20.63
2021,21.24
2021,26.76
2022,26.66
2022,21.42
2023,21.59
2023,27.33
2024,30.08
2025,31.22
