location,lat,lon,ghi_kwh_m2_day,dni_kwh_m2_day,dif_kwh_m2_day,pvout_kwh_kW_day,temp_c
Manila,14.5995,120.9842,4.652,3.411,2.27,3.729,27.7
Cebu,10.3157,123.8854,5.03,3.83,2.287,3.984,28.3
Davao,7.1907,125.4553,5.045,3.766,2.334,3.987,26.3
Baguio,16.4023,120.596,4.864,4.055,2.172,4.097,20.1
Iloilo,10.7202,122.5621,5.145,4.134,2.177,4.099,27.3
Cagayan de Oro,8.4542,124.6319,5.189,4.103,2.171,4.114,27.8
Legazpi,13.1391,123.7438,4.979,4.061,2.102,3.958,27.6
Puerto Princesa,9.9672,118.7855,4.96,3.887,2.159,3.948,27.6
Tacloban,11.2543,125.0018,4.79,3.705,2.143,3.802,27.6
Zamboanga,6.9214,122.079,5.156,3.922,2.327,4.112,27.2
Laoag,18.196,120.5927,5.483,5.047,1.994,4.53,28.0
Batangas,13.7565,121.0583,4.928,3.805,2.26,3.956,27.3
Lipa,13.9414,121.1648,4.706,3.509,2.297,3.806,25.4
Lucena,13.9304,121.617,5.052,4.019,2.206,4.061,26.9
Olongapo,14.8386,120.2842,5.066,4.158,2.126,4.114,27.8
