"Electricity generation statistics by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity generation statistics
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2000",18937.71
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2001",17051.19
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2002",16772.94
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2003",17180.97
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2004",17934.29
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2005",17476.91
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2006",19592.14
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2007",18066.56
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2008",20417.77
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2009",19645.43
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2010",17324.34
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2011",19573.22
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2012",20349.78
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2013",19370.01
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2014",19097.68
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2015",20196.90
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2016",21219.40
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2017",22423.10
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2018",22535.82
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2019",21234.87
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2020",20820.69
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2021",22714.67
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2022",24032.69
"Philippines (the)","Total renewable","Electricity Generation (GWh)","On-grid","2023",25662.58
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2000",42.77
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2001",40.95
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2002",39.47
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2003",38.64
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2004",36.89
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2005",39.10
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2006",41.34
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2007",45.81
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2008",51.72
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2009",57.88
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2010",69.06
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2011",89.70
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2012",104.59
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2013",121.10
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2014",117.33
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2015",129.84
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2016",126.72
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2017",135.44
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2018",168.35
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2019",203.22
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2020",194.00
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2021",207.99
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2022",270.57
"Philippines (the)","Total renewable","Electricity Generation (GWh)","Off-grid","2023",287.35
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2000",18980.48
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2001",17092.14
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2002",16812.41
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2003",17219.61
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2004",17971.17
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2005",17516.01
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2006",19633.47
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2007",18112.38
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2008",20469.49
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2009",19703.31
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2010",17393.40
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2011",19662.92
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2012",20454.38
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2013",19491.10
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2014",19215.01
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2015",20326.74
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2016",21346.12
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2017",22558.54
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2018",22704.18
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2019",21438.09
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2020",21014.69
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2021",22922.66
