"Electricity capacity statistics by Region, Technology, Grid connection and Year"

"Region","Technology","Grid connection","Year",Electricity capacity statistics
"Asia","Total renewable energy","OnGrid","2000",169657.77
"Asia","Total renewable energy","OnGrid","2001",180663.79
"Asia","Total renewable energy","OnGrid","2002",186004.19
"Asia","Total renewable energy","OnGrid","2003",200565.50
"Asia","Total renewable energy","OnGrid","2004",216844.07
"Asia","Total renewable energy","OnGrid","2005",233420.49
"Asia","Total renewable energy","OnGrid","2006",253765.45
"Asia","Total renewable energy","OnGrid","2007",276251.16
"Asia","Total renewable energy","OnGrid","2008",309622.89
"Asia","Total renewable energy","OnGrid","2009",346385.67
"Asia","Total renewable energy","OnGrid","2010",384374.92
"Asia","Total renewable energy","OnGrid","2011",429695.09
"Asia","Total renewable energy","OnGrid","2012",474117.50
"Asia","Total renewable energy","OnGrid","2013",548307.06
"Asia","Total renewable energy","OnGrid","2014",627942.51
"Asia","Total renewable energy","OnGrid","2015",717018.81
"Asia","Total renewable energy","OnGrid","2016",807324.32
"Asia","Total renewable energy","OnGrid","2017",914656.49
"Asia","Total renewable energy","OnGrid","2018",1018064.71
"Asia","Total renewable energy","OnGrid","2019",1118136.02
"Asia","Total renewable energy","OnGrid","2020",1293604.57
"Asia","Total renewable energy","OnGrid","2021",1447835.06
"Asia","Total renewable energy","OnGrid","2022",1621035.10
"Asia","Total renewable energy","OnGrid","2023",1951523.13
"Asia","Total renewable energy","OnGrid","2024",2365432.36
"Asia","Total renewable energy","OnGrid","2025",2877602.82
"Asia","Total renewable energy","OffGrid","2000",1456.57
"Asia","Total renewable energy","OffGrid","2001",1484.79
"Asia","Total renewable energy","OffGrid","2002",1504.90
"Asia","Total renewable energy","OffGrid","2003",1524.08
"Asia","Total renewable energy","OffGrid","2004",1540.88
"Asia","Total renewable energy","OffGrid","2005",2005.89
"Asia","Total renewable energy","OffGrid","2006",2082.74
"Asia","Total renewable energy","OffGrid","2007",2217.12
"Asia","Total renewable energy","OffGrid","2008",2492.94
"Asia","Total renewable energy","OffGrid","2009",3136.31
"Asia","Total renewable energy","OffGrid","2010",3392.93
"Asia","Total renewable energy","OffGrid","2011",3836.91
"Asia","Total renewable energy","OffGrid","2012",4107.80
"Asia","Total renewable energy","OffGrid","2013",4422.27
"Asia","Total renewable energy","OffGrid","2014",5212.99
"Asia","Total renewable energy","OffGrid","2015",5668.64
"Asia","Total renewable energy","OffGrid","2016",5960.85
"Asia","Total renewable energy","OffGrid","2017",5684.57
"Asia","Total renewable energy","OffGrid","2018",7096.32
"Asia","Total renewable energy","OffGrid","2019",7049.55
"Asia","Total renewable energy","OffGrid","2020",7969.91
"Asia","Total renewable energy","OffGrid","2021",8521.74
"Asia","Total renewable energy","OffGrid","2022",9797.14
"Asia","Total renewable energy","OffGrid","2023",10198.86
"Asia","Total renewable energy","OffGrid","2024",11833.30
"Asia","Total renewable energy","OffGrid","2025",13012.23
"Asia","Solar energy","OnGrid","2000",344.73
"Asia","Solar energy","OnGrid","2001",468.95
"Asia","Solar energy","OnGrid","2002",653.20
