Luzon,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% Share - 2025
Coal,"3,769","3,769","3,769","3,769","3,783","3,783","3,849","3,849","3,879","4,531","4,531","4,671","4,812","5,294","5,625","6,264","6,929","7,280","8,005","8,748","8,792","9,392","9,392",40.2%
Oil Based,"2,514","2,514","2,404","2,333","2,363","2,100","1,984","1,984","1,757","1,778","2,020","2,033","2,133","2,133","2,518","2,612","2,585","2,642","2,379","2,357","2,354","2,054","2,054",8.8%
Natural Gas,"2,763","2,763","2,763","2,763","2,834","2,831","2,831","2,861","2,861","2,861","2,861","2,861","2,861","3,430","3,446","3,452","3,452","3,452","3,452","3,731","3,731","3,731","5,051",21.6%
Renewable Energy (RE),"2,765","3,115","3,192","3,226","3,194","3,199","3,199","3,287","3,242","3,358","3,378","3,649","3,863","4,120","4,156","4,222","4,320","4,466","4,721","4,909","5,006","6,055","6,847",29.3%
Geothermal,907,907,954,954,886,886,886,899,751,824,844,844,844,843,843,871,865,865,865,865,865,865,939,4.0%
Hydro,"1,858","2,208","2,213","2,247","2,284","2,281","2,280","2,346","2,440","2,462","2,462","2,471","2,528","2,537","2,527","2,547","2,593","2,593","2,567","2,542","2,548","2,558","2,564",11.0%
Biomass,0,0,0,0,0,0,1,9,17,38,38,50,83,95,87,106,164,195,195,206,175,175,174,0.7%
Solar,0,0,0,0,0,0,0,0,0,0,0,0,70,307,362,362,362,460,757,959,"1,082","2,121","2,758",11.8%
Wind,0,0,25,25,25,33,33,33,33,33,33,283,337,337,337,337,337,353,337,337,337,337,412,1.8%
Total,"11,812","12,162","12,128","12,092","12,174","11,913","11,863","11,981","11,739","12,528","12,790","13,213","13,668","14,977","15,743","16,549","17,286","17,840","18,557","19,744","19,883","21,232","23,344",100.0%
BESS,,,,,,,,,,,,,,,,,11,11,10,72,258,363,501,
Off Grid,,,,,,,,,,,,,,,,,,,509,516,524,605,684,
Visayas,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% Share - 2025
Coal,189,198,198,198,198,198,196,786,806,806,806,806,769,"1,054","1,054","1,059","1,399","1,399","1,399","1,412","1,346","1,346","1,346",32.8%
Oil Based,530,596,668,678,659,659,615,615,615,670,670,670,670,655,730,738,742,705,657,644,550,561,560,13.7%
Natural Gas,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0%
Renewable Energy (RE),927,927,927,927,976,977,"1,007","1,006",981,971,971,"1,043","1,242","1,574","1,640","1,652","1,667","1,757","1,757","1,914","1,933","1,951","2,193",53.5%
Geothermal,916,916,916,916,964,964,964,964,923,915,915,965,965,965,965,965,955,955,955,975,975,975,"1,006",24.5%
Hydro,12,12,12,12,12,13,13,13,13,11,11,11,11,20,20,19,19,21,21,36,55,55,70,1.7%
Biomass,0,0,0,0,0,0,29,29,44,44,44,44,101,101,101,102,127,216,216,326,326,326,326,7.9%
Solar,0,0,0,0,0,0,0,0,0,0,0,22,75,399,465,476,476,476,476,487,487,505,701,17.1%
Wind,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,2.2%
Total,"1,647","1,721","1,793","1,803","1,833","1,835","1,818","2,407","2,402","2,448","2,448","2,520","2,683","3,284","3,425","3,450","3,809","3,863","3,814","3,972","3,830","3,860","4,100",100.0%
BESS,,,,,,,,,,,,,,,,,,,0,35,82,129,148,
Off Grid,,,,,,,,,,,,,,,,,,,46,66,66,81,100,
Mindanao,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% Share - 2025
Coal,0,0,0,210,232,232,232,232,232,232,232,232,382,"1,070","1,370","1,521","2,089","2,264","2,264","2,268","2,268","2,268","2,268",49.4%
Oil Based,559,559,591,591,594,594,594,594,622,625,663,773,807,828,906,942,936,889,811,833,833,833,833,18.1%
Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Renewable Energy (RE),"1,106","1,106","1,107","1,107","1,107","1,107","1,103","1,145","1,168","1,192","1,192","1,206","1,225","1,264","1,284","1,353","1,412","1,430","1,436","1,441","1,477","1,513","1,492",32.5%
Geothermal,108,108,108,108,108,108,103,103,108,108,108,108,108,108,108,108,108,108,108,112,112,112,112,2.4%
Hydro,998,998,998,998,998,998,998,"1,040","1,038","1,047","1,047","1,061","1,061","1,061","1,080","1,134","1,147","1,165","1,165","1,166","1,196","1,223","1,223",26.6%
Biomass,0,0,0,0,0,0,0,0,21,36,36,36,36,36,36,51,73,73,79,79,85,95,74,1.6%
Solar,0,0,1,1,1,1,1,1,1,1,1,1,20,59,59,59,84,84,84,84,84,84,84,1.8%
Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Total,"1,665","1,665","1,698","1,908","1,933","1,933","1,929","1,971","2,022","2,049","2,087","2,211","2,414","3,162","3,559","3,815","4,436","4,584","4,511","4,542","4,578","4,615","4,594",100.0%
BESS,,,,,,,,,,,,,,,,,,,0,49,96,142,143,
Off Grid,,,,,,,,,,,,,,,,,,,81,91,91,121,125,
Philippines,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% Share - 2025
Coal,"3,958","3,967","3,967","4,177","4,213","4,213","4,277","4,867","4,917","5,568","5,568","5,708","5,963","7,419","8,049","8,844","10,417","10,944","11,669","12,428","12,406","13,006","13,006",40.6%
Oil Based,"3,604","3,669","3,663","3,602","3,616","3,353","3,193","3,193","2,994","3,074","3,353","3,476","3,610","3,616","4,153","4,292","4,262","4,237","3,847","3,834","3,737","3,448","3,447",10.8%
Natural Gas,"2,763","2,763","2,763","2,763","2,834","2,831","2,831","2,861","2,861","2,862","2,862","2,862","2,862","3,431","3,447","3,453","3,453","3,453","3,453","3,732","3,732","3,732","5,052",15.8%
Renewable Energy (RE),"4,799","5,149","5,226","5,261","5,277","5,284","5,309","5,437","5,391","5,521","5,541","5,898","6,330","6,958","7,079","7,227","7,399","7,653","7,914","8,264","8,417","9,520","10,533",32.9%
Geothermal,"1,932","1,932","1,978","1,978","1,958","1,958","1,953","1,966","1,783","1,848","1,868","1,918","1,917","1,916","1,916","1,944","1,928","1,928","1,928","1,952","1,952","1,952","2,057",6.4%
Hydro,"2,867","3,217","3,222","3,257","3,293","3,291","3,291","3,400","3,491","3,521","3,521","3,543","3,600","3,618","3,627","3,701","3,760","3,779","3,752","3,745","3,799","3,836","3,857",12.0%
Biomass,0,0,0,0,0,0,30,38,83,119,119,131,221,233,224,258,363,484,489,611,585,595,573,1.8%
Solar,0,0,1,1,1,1,1,1,1,1,1,23,165,765,885,896,921,"1,019","1,317","1,530","1,653","2,710","3,544",11.1%
Wind,0,0,25,25,25,33,33,33,33,33,33,283,427,427,427,427,427,443,427,427,427,427,502,1.6%
Total,"15,124","15,548","15,619","15,803","15,941","15,681","15,610","16,358","16,162","17,025","17,325","17,944","18,765","21,423","22,728","23,815","25,531","26,286","26,882","28,258","28,291","29,706","32,037",100.0%
BESS,,,,,,,,,,,,,,,,,11,11,10,156,436,634,792,
Off Grid,,,,,,,,,,,,,,,,,,,636,674,682,807,909,
