"",,,,,,,,,,
"",ARMM,CAR,NCR,I,II,III,IV-A,IV-B,V,
Residential,"364,757","469,164","9,887,610","2,059,598","1,010,967","6,648,317","8,529,837","657,279","1,328,802",
Commercial,"45,230","247,365","9,989,164","851,948","387,988","4,394,378","7,810,773","353,635","607,251",
Industrial,"12,036","17,906","7,309,185","300,245","264,516","4,068,576","6,016,152","67,757","112,618",
Others,"45,326","60,599","74,709","214,444","177,219","350,685","275,902","138,728","227,840",
Total Sales,"467,348","795,035","27,260,668","3,426,234","1,840,691","15,461,957","22,632,664","1,217,399","2,276,512",
Own-Use,"1,448","1,736","32,725","6,872","3,481","19,751","27,586","2,068","3,844",
System Loss,"185,301","90,661","1,695,243","352,080","188,171","1,079,199","1,530,020","160,454","391,606",
Total Consumption,"654,097","887,432","28,988,636","3,785,186","2,032,342","16,560,907","24,190,270","1,379,921","2,671,962",
"",VI,VII,VIII,NIR,IX,X,XI,XII,XIII,Total
Residential,"1,473,160","2,398,370","959,178","1,263,854","831,531","1,233,093","1,869,275","1,269,548","712,835","42,967,175"
Commercial,"627,946","961,492","262,497","529,059","417,890","604,299","457,014","388,500","278,167","29,214,596"
Industrial,"431,695","3,331,895","282,247","434,985","234,400","1,889,289","2,192,057","833,543","293,371","28,092,477"
Others,"189,163","235,332","210,970","153,290","159,372","121,028","101,231","105,723","127,936","2,969,495"
Total Sales,"2,721,964","6,927,089","1,714,893","2,381,187","1,643,194","3,847,709","4,619,577","2,597,314","1,412,309","103,243,742"
Own-Use,"3,746","8,383","4,078","4,952","2,971","7,357","4,125","2,985","2,449","140,554"
System Loss,"250,074","495,822","162,073","284,810","265,186","272,318","527,751","408,644","148,145","8,487,561"
Total Consumption,"2,975,784","7,431,294","1,881,044","2,670,949","1,911,350","4,127,384","5,151,453","3,008,943","1,562,903","111,871,857"
