technology,grid_connection,year,capacity_mw
Geothermal energy,OnGrid,2000,1846.7
Geothermal energy,OnGrid,2001,1846.7
Geothermal energy,OnGrid,2002,1846.7
Geothermal energy,OnGrid,2003,1846.7
Geothermal energy,OnGrid,2004,1846.7
Geothermal energy,OnGrid,2005,1846.7
Geothermal energy,OnGrid,2006,1846.7
Geothermal energy,OnGrid,2007,1846.7
Geothermal energy,OnGrid,2008,1846.7
Geothermal energy,OnGrid,2009,1846.7
Geothermal energy,OnGrid,2010,1846.7
Geothermal energy,OnGrid,2011,1846.7
Geothermal energy,OnGrid,2012,1846.7
Geothermal energy,OnGrid,2013,1846.7
Geothermal energy,OnGrid,2014,1916.1
Geothermal energy,OnGrid,2015,1916.1
Geothermal energy,OnGrid,2016,1916.1
Geothermal energy,OnGrid,2017,1916.1
Geothermal energy,OnGrid,2018,1928.1
Geothermal energy,OnGrid,2019,1928.1
Geothermal energy,OnGrid,2020,1928.1
Geothermal energy,OnGrid,2021,1928.1
Geothermal energy,OnGrid,2022,1932.0
Geothermal energy,OnGrid,2023,1951.8
Geothermal energy,OnGrid,2024,1951.8
Geothermal energy,OnGrid,2025,2057.4
Onshore wind energy,OnGrid,2005,33.0
Onshore wind energy,OnGrid,2006,33.0
Onshore wind energy,OnGrid,2007,33.0
Onshore wind energy,OnGrid,2008,33.0
Onshore wind energy,OnGrid,2009,33.0
Onshore wind energy,OnGrid,2010,33.0
Onshore wind energy,OnGrid,2011,33.0
Onshore wind energy,OnGrid,2012,33.0
Onshore wind energy,OnGrid,2013,33.0
Onshore wind energy,OnGrid,2014,336.9
Onshore wind energy,OnGrid,2015,426.9
Onshore wind energy,OnGrid,2016,426.9
Onshore wind energy,OnGrid,2017,426.9
Onshore wind energy,OnGrid,2018,426.9
Onshore wind energy,OnGrid,2019,426.9
Onshore wind energy,OffGrid,2019,16.56
Onshore wind energy,OnGrid,2020,426.9
Onshore wind energy,OffGrid,2020,16.56
Onshore wind energy,OnGrid,2021,426.9
Onshore wind energy,OffGrid,2021,16.56
Onshore wind energy,OnGrid,2022,426.9
Onshore wind energy,OffGrid,2022,16.56
Onshore wind energy,OnGrid,2023,426.9
Onshore wind energy,OffGrid,2023,16.56
Onshore wind energy,OnGrid,2024,426.9
Onshore wind energy,OffGrid,2024,16.56
Onshore wind energy,OnGrid,2025,501.9
Onshore wind energy,OffGrid,2025,16.56
Renewable hydropower,OnGrid,2000,1628.1
Renewable hydropower,OffGrid,2000,2.47
Renewable hydropower,OnGrid,2001,1710.1
Renewable hydropower,OffGrid,2001,2.47
Renewable hydropower,OnGrid,2002,1917.8
Renewable hydropower,OffGrid,2002,2.47
Renewable hydropower,OnGrid,2003,2352.8
Renewable hydropower,OffGrid,2003,2.47
Renewable hydropower,OnGrid,2004,2652.8
Renewable hydropower,OffGrid,2004,2.47
Renewable hydropower,OnGrid,2005,2652.8
Renewable hydropower,OffGrid,2005,2.47
Renewable hydropower,OnGrid,2006,2652.8
Renewable hydropower,OffGrid,2006,2.47
Renewable hydropower,OnGrid,2007,2652.8
Renewable hydropower,OffGrid,2007,2.47
Renewable hydropower,OnGrid,2008,2655.3
