municipality_id,municipality_name,province,latitude,longitude,province_id,elevation_m,mean_elevation_m,min_elevation_m,max_elevation_m,elevation_range_m,mean_slope_deg,hydraulic_head_m,terrain_ruggedness,watershed_gradient,hydro_suitability_score,estimated_hydropower_potential_kw,runoff_potential,gravity_flow_potential,terrain_flatness,slope_classification,elevation_classification,ridge_elevation,terrain_exposure_index
4919,ADAMS,ILOCOS NORTE,18.4613108,120.903571,252,259.0,367.7,259.0,654.0,395.0,6.125512281590531,395.0,106.02787369366604,0.09875,0.6449687307221386,302.44716890353243,0.15313780703976326,0.15313780703976326,0.8468621929602367,gentle,mid,654.0,2.700233319088713
4920,BACARRA,ILOCOS NORTE,18.2517377,120.6106589,252,17.0,17.75,10.0,34.0,24.0,0.3859689252256409,24.0,5.92347026665957,0.006,0.047275188451270454,0.06850948422755126,0.0005709123685629272,0.0007719378504512818,0.990350776869359,flat,low,34.0,2.7433238498958534
4921,BADOC,ILOCOS NORTE,17.9267006,120.4740893,252,10.0,20.35,6.0,48.0,42.0,0.7299413758596405,42.0,13.409977628616687,0.0105,0.08726695721026079,0.2599503724780145,0.0012378589165619738,0.0025547948155087417,0.981751465603509,flat,low,48.0,2.0618973948992974
4922,BANGUI,ILOCOS NORTE,18.5367387,120.7657563,252,8.0,43.42857142857143,2.0,102.0,100.0,2.368493398442802,100.0,33.79077280161867,0.025,0.2157786809718661,4.285845197182213,0.008571690394364426,0.01973744498702335,0.94078766503893,flat,low,102.0,1.7333556465825248
4923,BANNA (ESPIRITU),ILOCOS NORTE,17.9796199,120.6552968,252,73.0,87.05,51.0,200.0,149.0,1.838584538597242,149.0,39.039050961825396,0.03725,0.2916396826618264,9.936362011936916,0.013337398673740826,0.022829091354249084,0.9540353865350689,flat,low,200.0,2.8932567345756484
4924,BATAC CITY,ILOCOS NORTE,18.0555035,120.5645243,252,25.0,21.7,13.0,38.0,25.0,0.3278048929801886,25.0,5.532630477449221,0.00625,0.047745133450175614,0.07409756435073013,0.0005927805148058411,0.0006829268603753929,0.9918048776754953,flat,low,38.0,2.946156827259891
4925,BURGOS,ILOCOS NORTE,18.5110086,120.6436311,252,65.0,78.7,59.0,138.0,79.0,1.26614842236649,79.0,17.77385720658293,0.01975,0.1532772749711507,3.2800102443246586,0.008303823403353566,0.008335477113912726,0.9683462894408378,flat,low,138.0,3.3363605870354562
4926,CARASI,ILOCOS NORTE,18.1414459,120.821757,252,112.0,166.85,78.0,353.0,275.0,3.7748176481868407,275.0,70.42036282212696,0.06875,0.5394234715178041,72.16782886041374,0.05248569371666453,0.08650623777094843,0.905629558795329,gentle,low,353.0,2.643411506225552
4927,CURRIMAO,ILOCOS NORTE,18.0194482,120.4868281,252,18.0,30.076923076923077,8.0,59.0,51.0,1.1457581483491486,51.0,14.515040149188165,0.01275,0.1058787706636393,0.7322936934689221,0.00287173997438793,0.004869472130483882,0.9713560462912713,flat,low,59.0,1.992627966107737
4928,DINGRAS,ILOCOS NORTE,18.1034564,120.6977344,252,27.0,33.3,23.0,78.0,55.0,0.8587524162768654,55.0,15.290846935340108,0.01375,0.11040187955620936,0.6553354376712828,0.002383037955168301,0.003935948574602299,0.9785311895930784,flat,low,78.0,2.923317280311817
