name,price,ratings,url
Discount Price RuiFa RF-11 Small Hydropower Plants Hydroelectric Water Turbine Water Generator 110-240V For Generation,US $3010.00-$3085.00,5.0/5.0,https://www.alibaba.com/product-detail/Discount-Price-Small-Hydropower-Plants-Hydroelectric_1601635237498.html
1Kw - 30Kw Micro Water Turbine Hydraulic Turbine River Hydro Generator,US $330.00-$989.00,4.2/5.0 (11),https://www.alibaba.com/product-detail/1Kw-30Kw-Micro-Water-Turbine-Hydraulic_1601378916116.html
Customized Water Hydro Power Generator Head With 10MV-50MV Francis Turbine Generator Unit Equipment Hydroelectric Power Station,US $500000.00,5.0/5.0,https://www.alibaba.com/product-detail/Customized-Water-Hydro-Power-Generator-head_1601364995698.html
1kw 2kw 3kw 4kw 5KW 10KW 15KW Mini Hydro Turbine Use Permanent Magnet Generator Low RPM High Efficiency,US $199.00-$280.00,4.6/5.0 (69),https://www.alibaba.com/product-detail/1kw-2kw-3kw-4kw-5KW-10KW_1601258958662.html
Small 300KW Pelton Water Wheel Hydro Turbine Generator Kit For Home Use Efficient Hydropower Solution,US $36800.00,4.8/5.0,https://www.alibaba.com/product-detail/300KW-Small-Pelton-Water-Wheel-Hydro_60489943826.html
Small Mini Hydroelectric Generator 15kW 30kW 40kW 50kW Hydro Water Turbine Generator for Micro Hydro Power Plant,US $6500.00,4.8/5.0,https://www.alibaba.com/product-detail/Small-Mini-Hydroelectric-Generator-15kW-30kW_1600356647085.html
Hydro Power Plants Hydroelectric Francis Water Turbine Generators Hydropower Generator Plant Water Generators,US $10000000.00,5.0/5.0,https://www.alibaba.com/product-detail/Hydro-Power-Plants-Hydroelectric-Francis-Water_11000020926061.html
20KW Brushless Induction Radial Flow Micro Water Turbine Generator 500w to 10kw Mini Hydro Turbine Generator for Sale,US $219.00-$259.00,4.6/5.0 (67),https://www.alibaba.com/product-detail/20KW-brushless-induction-radial-flow-micro_1600898482518.html
Micronewton H120 Electric Demonstration Pelton Turbine Model Adjustable Measurement Module 220V 10KG 470x330x300mm Engineering,US $1980.00-$3180.00,N/A,https://www.alibaba.com/product-detail/Demonstration-Pelton-Turbine-Model-for-Engineering_1601611725501.html
Mini Hydro Turbine Generator Stainless Steel Francis Pelton Kaplan Micro Hydro Power Micro Hydro Generator,US $50000.00-$65000.00,N/A,https://www.alibaba.com/product-detail/Mini-Hydro-Turbine-Generator-Stainless-Steel_1601047709612.html
NEW DEVELOPMENT INDUCTION TURBINE MICRO HYDRO ELECTRICITY ENERGY GENERATOR,US $19.00-$25.00,4.8/5.0 (110),https://www.alibaba.com/product-detail/NEW-DEVELOPMENT-INDUCTION-TURBINE-MICRO-HYDRO_60828191354.html
Online Low Water Head Kaplan Turbine 600W-5KW Micro Hydro Electric Generator,US $799.00,5.0/5.0,https://www.alibaba.com/product-detail/Alibaba-online-low-water-head-Kaplan_60189216250.html
Micro Plant Use Axial Flow Hydropower Electric Generator 600W 3000W Household Use Low Head Water,US $299.00,4.3/5.0,https://www.alibaba.com/product-detail/Micro-Plant-Use-Axial-Flow-Hydropower_1600921494117.html
30KW Hydro Turbine Generator Micro Hydropower System for Off-Grid Electricity Supply,US $500.00,4.8/5.0 (10),https://www.alibaba.com/product-detail/30KW-Hydro-Turbine-Generator-Micro-Hydropower_1601702729098.html
Micro Hydro Generator Water Turbine 1-15KW High Efficiency Hydro Turbine Generator Water Generator,US $329.00-$335.00,4.5/5.0 (15),https://www.alibaba.com/product-detail/micro-hydro-generator-water-turbine-10_1601108331063.html
Mini Hydro Generator Water Energy Free 3kw 5kw 7kw 10kw 20kw 30kw Hydraulic Micro Turbines Hydropower Plant,US $500.00-$5000.00,5.0/5.0,https://www.alibaba.com/product-detail/Mini-hydro-generator-water-energy-free_1600552483471.html
Mini Hydro Generator Hydraulic Micro Turbines Hydropower Plant 800w Hydro Turbine Powered Generator,US $260.00-$280.00,4.3/5.0 (107),https://www.alibaba.com/product-detail/Mini-hydro-generator-hydraulic-micro-turbines_1600899215086.html
Hydro Turbine Generator Mini Water Kaplan Turbine 50 kw,US $1000.00-$8000.00,N/A,https://www.alibaba.com/product-detail/Hydro-generator-mini-water-kaplan-turbine_62344503067.html
36W/50W Micro Hydro Turbine Generator with Built-in MPPT Solar Charge Controller and Mobile APP for Off-Grid Battery Charging,US $50.70-$56.50,5.0/5.0,https://www.alibaba.com/product-detail/36W-50W-DC-Brushless-Micro-Hydro_10000039518198.html
Customized 500KW Micro Hydro Turbine Generator 10-100KW Stainless Steel Pelton ISO9001 Certified 92%-96% Efficiency Generator,US $50000.00-$65000.00,4.3/5.0 (70),https://www.alibaba.com/product-detail/Micro-Hydro-Turbine-Generator-500kw-Stainless_1601425832695.html
Hydroelectric Free Energy Generator Micro Hydro Turbines for Sale,US $60000.00,N/A,https://www.alibaba.com/product-detail/Hydroelectric-free-energy-generator-micro-hydro_1600908159308.html
Small Micro Hydropower Plants Hydro Turbine Water Generator for Sale,US $410.00-$600.00,N/A,https://www.alibaba.com/product-detail/Small-Micro-Hydropower-Plants-Hydro-Turbine_1601364000119.html
Small Micro Hydropower Plants Hydro Turbine Water Generator for Sale,US $410.00-$600.00,4.0/5.0,https://www.alibaba.com/product-detail/Small-Micro-Hydropower-Plants-Hydro-Turbine_1601665321844.html
5KW Micro Hydro Generator for Home Use 220V Rated Mini Pelton Turbine for Water Power Generation,US $2340.38,5.0/5.0,https://www.alibaba.com/product-detail/Micro-Hydro-Generator-5KW-Pelton-Turbine_1601439060194.html
DB-268 12V Micro Hydro Generator 1/2 Inch Portable Water Turbine Hydropower Energy Harvesting for Pipeline,US $3.00-$4.18,4.5/5.0 (27),https://www.alibaba.com/product-detail/DB-268-12V-Micro-Hydro-Generator_1601761929210.html
Low RPM 3 Phase PMG 5000 Watt 5KW Micro Hydro Turbine Generator with Cheap Price,US $500.00-$1200.00,4.8/5.0 (22),https://www.alibaba.com/product-detail/low-RPM-3-phase-PMG-5000_60829857009.html
Hot Selling 1kw 3kw 5kw Water Turbine Micro Water Turbine Hydro Power Electricity Generator,US $430.00,4.7/5.0 (20),https://www.alibaba.com/product-detail/Hot-selling-1kw-3kw-5kw-water_1601267916837.html
New Design Hydro Electric Power Generator 7kw 10kw 20kw Micro Hydro Water Turbine Generator/,US $730.00-$750.00,5.0/5.0,https://www.alibaba.com/product-detail/New-Design-Hydro-Electric-Power-Generator_1601279538339.html
Complete Turbo NH/NT855 NT495 NT743 NTA855 Turbocharger T46 3026924 3018067 Micro Hydro,US $85.00-$115.00,4.5/5.0 (23),https://www.alibaba.com/product-detail/Complete-Turbo-NH-NT855-NT495-NT743_1600700103086.html
Outdoor Emergency Portable Micro Hydro Turbine Generator Dual USB Output for Photo/LED 100W Generator DC12V for Battery,US $160.00,5.0/5.0,https://www.alibaba.com/product-detail/Outdoor-emergency-portable-micro-hydro-turbine_1600859063987.html
DIY Micro Hydro Generator 80V/12V/5V10W DC water flow generator turbine generator hydroelectric Tap Water Flow Hydraulic,US $5.97-$7.28,4.7/5.0 (42),https://www.alibaba.com/product-detail/DIY-Micro-Hydro-Generator-80V-12V_1600590146198.html
DC12V Micro Hydro Turbine Generator Hydraulic Water Charging for LED Light Mini Battery,US $4.21-$4.40,4.9/5.0 (183),https://www.alibaba.com/product-detail/DC12V-Micro-Hydro-Turbine-Generator-Hydraulic_1601607910556.html
Francis Equipment 5MW Hydro Power Turbine Generator Micro Power Plant High-Efficiency Hydro Generator ISO CE TUV Certified,US $23333.00,N/A,https://www.alibaba.com/product-detail/Francis-Equipment-5MW-Hydro-Power-Turbine_1601601154364.html
