name,price,ratings,reviews,url
"18000W Wind Turbine Generator Kit for Home & Business - Vertical Wind Mill with Controller for Industrial Energy Supply (White, 12V) - Eco-Friendly Power Solution",N/A,N/A,N/A,N/A
"Wind Turbine Generator Kit 400W 12V with 5 Blade, with Charge Controller, Wind Power Generator for Marine, RV, Home, Windmill Generator Suit for Hybrid Solar Wind System","16,639",N/A,N/A,N/A
"5000W 48V Vertical Wind Turbine Generator Kit - Complete Windmill System for Home, Business & Industrial Energy Supply - Efficient Power Generation with Controller","28,965",N/A,N/A,N/A
20000W Vertical Axis Wind Turbine Generator Kit with Controller & Grid Inverter - Eco-Friendly Home Energy Solution for Renewable Power Generation (48V),"36,545",N/A,N/A,N/A
"Thames & Kosmos Wind Power V5.0 STEM Experiment Kit, Build a 3ft-Tall Model Wind Turbine & Explore Clean, Renewable Energy, Optimized for Use Outdoors & Indoors, Experiments & Discovery for Ages 8+","1,577",N/A,N/A,N/A
"20000W Vertical Wind Turbine Generator for Home Use, Efficient 12000W-48V with Grid Inverter & Controller, Permanent Magnet Renewable Energy Solution","36,915",N/A,N/A,N/A
DIY Small Wind Turbine Generator Kit and Light Strip for Backyard Decoration Free Energy Generator Garden Decor 18 Inches Diameter,"4,929",N/A,N/A,N/A
18000W Vertical Wind Turbine Generator Kit for Home & Business - Powerful 48V Windmill with Controller for Industrial Energy Supply - Eco-Friendly Renewable Energy Solution,N/A,N/A,N/A,N/A
"1000W Wind Turbine Generator，24V Wind Generator Kit with Charge Controller, Wind Power Generator for Marine, RV, Home, Windmill Generator Suit for Hybrid Solar Wind System","55,466",N/A,N/A,N/A
"Automaxx Windmill 1500W 24V 60A Wind Turbine Generator Kit, Automatic and Manual Braking System DIY Easy Installation, MPPT Controller with Bluetooth Function, 3 Blades Wind Turbine","59,291",N/A,N/A,N/A
Wind Turbine Generator 12V 400W with a 30A Hybrid Charge Controller. As Solar and Wind Charge Controller which can Add Max 500W Solar Panel for 12V Battery.,"19,659",N/A,N/A,N/A
20000W Vertical Wind Turbine Generator Kit - Eco-Friendly 12V/24V/48V/220V Home Power System for Off-Grid Renewable Energy Production,N/A,N/A,N/A,N/A
"Wind Turbine Generator Kit 400W 24V with 5 Blade, Wind Generator Kit with Charge Controller, Wind Power generator for Marine, RV, Home, Windmill Generator Suit for Hybrid Solar Wind System","16,639",N/A,N/A,N/A
"Wind Turbine Generator 400W 12V with 3 Blade 2.5m/s Low Wind Speed Starting Wind Turbines with Charge Controller, Windmill for Home","16,639",N/A,N/A,N/A
"Wind Turbine Generator Kit, 600W 12V Vertical Wind Turbine Electricity Set,5 Blade Horizontal Wind Power Generator Kit for Home, Boat, Marine, Monitoring, Street Lighting","13,182",N/A,N/A,N/A
Wind Turbine 200W max 220W 12V 5 Blade Wind Vertical Axis Generator 3 Phase AC Permanent Magnet Generator Wind Turbine Kit with Controller for Hybrid Wind Solar System,"16,639",N/A,N/A,N/A
1400W Off Grid with Unloader Hybrid Wind Solar Controller Auto 12/24V Battery MPPT Charge Boost Float of max 800w Wind Turbine Generator 600w Solar Panel Home Street Light Controller,"11,647",N/A,N/A,N/A
"Solar Powered Windmill Model, Assembled Rotating Wind Turbine Generator Science Teaching Tool, DIY Solar Windmill Model Desk Home Decor Craft Education Gift","1,405",N/A,N/A,N/A
"12000W No Noise Vertical Axis Wind Turbine Generator,220V 12V 24V 48V Magnetic Levitation Turbine with MPPT Controller for Home Street Lighting(White)","24,774",N/A,N/A,N/A
3000W Wind Turbine Generator 12V 24V 48V Windmill With MPPT Controller Power Supply Kit Solar Complementary Permanent Magnet Wind Turbine Generator Home Project Use Street Lighting ( Color : 48V ),"36,951",N/A,N/A,N/A
Thames & Kosmos Wind Power V4.0 STEM Experiment Kit | Build a 3ft Wind Turbine to Generate Electricity | Learn About Renewable Energy & Power a Small Model Car | Weatherproof for Outdoor Use,"2,603",N/A,N/A,N/A
"Axis Wind Turbine Generator 3 Blades with Controller 12V 30W for Boats, Gazebos, Cabins, Homes or Industrial","2,649",N/A,N/A,N/A
"20000W Wind Turbine Generator Kit for Home Energy, 12V/24V/48V/110V/220V with 8 Blades, Efficient Wind Energy Solution for Renewable Power Supply",N/A,N/A,N/A,N/A
"18000W Vertical Wind Turbine Generator Kit - 12V/24V/48V/110V/220V Output, 3 Blades, Auto Windward Adjustment, Ideal for Off-Grid Energy, Boats & Gazebos","31,923",N/A,N/A,N/A
"20,000W Vertical Axis Wind Turbine Kit for Home - Grid-Tied Renewable Energy Generator with Inverter & Controller, Efficient 48V Power Solution for Sustainable Living",N/A,N/A,N/A,N/A
"2000W Vertical Wind Turbine Generator Kit - 12V/24V Eco-Friendly Home Energy Solution, Cost-Free Windmill with 3-Phase Output for Renewable Energy Efficiency",N/A,N/A,N/A,N/A
"400W Wind Turbine Generator AC 12Volt Economy 3 Blades Windmill for Wind Solar Hybrid System 2.5m/s Start Wind Speed,400w Windmill Generator for Home","16,639",N/A,N/A,N/A
"1200W Wind Turbine Generator, 12V Wind Vertical Axis Generator Kit with Controller, 5 Leavies for Boats, Terraces, Cabins(1)","16,674",N/A,N/A,N/A
6000W Wind Turbine Kit - Efficient Low Speed 3-Blade Wind Generator with Controller - Ideal for Renewable Energy Vertical Power Systems & Off-Grid Solutions,N/A,N/A,N/A,N/A
"20000W Vertical Wind Turbine Generator for Home Use, Efficient Permanent Magnet System with Controller & Grid Inverter, Ideal Renewable Energy Solution for On-Grid & Off-Grid Applications","44,804",N/A,N/A,N/A
"5000W Vertical Wind Turbine Generator Kit - High-Efficiency 48V Home Wind Power System, 3-Blade Permanent Magnet Design, Eco-Friendly Renewable Energy Solution for Off-Grid Living","28,965",N/A,N/A,N/A
"20000W Vertical Wind Turbine Generator Kit for Home & Business, 12V Colorful Windmill with Controller, Perfect for Renewable Energy Solutions & Industrial Power Supply","35,719",N/A,N/A,N/A
"Thames & Kosmos SolarFlower Sapphire Swirl STEM Kit | Build a Motorized Solar-Powered Flower with Spinning, Colorful Petals, Educational Gift for Kids Ages 8+, Adults","1,190",N/A,N/A,N/A
Solar Powered Windmill Kit for Kids 10.2 Inch Mini Wind Turbine Model DIY Educational Toy Abs Plastic Desktop Solar Windmill for Stem Learning and Home Decor,"2,791",N/A,N/A,N/A
"High-Efficiency 10kW Wind Turbine Generator - 5-Blade 12V/24V/48V/72V/110V/220V Power System with Controller for Home, Farm, RVs & Boats - Eco-Friendly Renewable Energy Solution","27,486",N/A,N/A,N/A
"Stainless Steel Turbine Roof Ventilator, 304 Grade Metal Wind Turbine Cap, 7.9 Inch Attic Exhaust Vent, Rainproof Silent Operation (200mm (7.9 inches))","3,080",N/A,N/A,N/A
10W Micro Spiral Wind Turbine Generator Archimedes Rose Breeze Start Model For Home & Small Farm Silent Permanent Magnet Spiral Design(12v-1pc),"5,176",N/A,N/A,N/A
"220V Vertical Wind Turbine Kit - 10000W Wind Power Generator for Marine, RV, Home, Hybrid Solar Wind System - Efficient Windmill Generator for Renewable Energy Solutions",N/A,N/A,N/A,N/A
"6000W Vertical Wind Turbine Generator Kit - 3 Blades Eco-Friendly Windmill for Renewable Energy, Efficient Home Power Solutions, Sustainable Energy System","22,494",N/A,N/A,N/A
6000W Wind Turbine Kit - Vertical 3-Blade Low-Speed Wind Generator with Controller for Home Renewable Energy Solutions & Off-Grid Power Systems,N/A,N/A,N/A,N/A
"10,000W Vertical Wind Turbine Generator - Efficient 2-Blade Low RPM Design with Controller for Home & Street Lighting - Eco-Friendly 48V Renewable Energy Solution","24,219",N/A,N/A,N/A
