name,price,ratings,reviews,url
"Wind Turbine Charges Controller, 12V/24V 300W‑1000W MPPT PWM Wind Turbine Generator Controller, 16A IP67 Waterproof Wind Generator Controller, Auto Match MPPT Controller","1,326",N/A,N/A,N/A
"DIY Hydroelectric Generator Kit, Hydro Water Turbine Generator Model 18×11×11 Cm DIY Water Turbine Kit, Student Physics Experiment Model(Bulk) Hands-On Hobby Project(1pc)","2,277",N/A,N/A,N/A
Mini Wind Turbine Generator Controller IP67 Waterproof 12V/24V Automatic Controller for 400W/500W/600W Wind Turbine System,"2,157",N/A,N/A,N/A
"Yosoo Health Gear Wind Turbine Controller 12V 24V, 300W-1000W MPPT PWM, 16A, Orange","1,270",N/A,N/A,N/A
"Beduan Micro Water Turbine Generator Hydroelectric Power G1/2"" Male Thread 12V Micro Hydro Generator Changeing Tool",738,N/A,N/A,N/A
"SJ18A Water Turbine Generator - Permanent Magnet Brushless Motor, Remote Control, Micro Hydroelectric Generator for Garden, 12V/24V Battery Charging","6,423",N/A,N/A,N/A
"Watris Veiyi Micro HydroTurbine, Water Turbine Generator, DC 12V Hydro Power Generator, 10W Hydroelectric Charging Tool, Water Flows Generator",554,N/A,N/A,N/A
"Micro Hydroelectric Generator, 500W 220V Portable Water Turbine Generator, Eco-Friendly Hydro Power System For Home Use, Lighting & Monitoring","17,552",N/A,N/A,N/A
"Wind Turbine Controller, 500/800W MPPT Wind Turbine Charge Controller with Overcharge Protection and Display(800w)","1,928",N/A,N/A,N/A
"Water Hydroelectric Generator, Remote Control Available 2A DC Load Current Easy Installation Mini Hydroelectric Generator Safe for Backyard (SJ18A)","2,526",N/A,N/A,N/A
"2KW Micro Hydro Generator, 110V/220V High Power Portable Hydroelectric Generator, Pelton Horizontal Water Turbine, Aluminum Alloy Hydro Power Equipment For Home/Off-Grid/Camping(220V)","37,532",N/A,N/A,N/A
"Wind Turbine Generator, 12V/24V Wind Turbine Charge Controller IP67 MPPT Wind Turbine 16A 300W-1000W Step up Wind Battery Controller","1,287",N/A,N/A,N/A
"2000W 30A 12V 24V 48V IP67 Waterproof MPPT Charging Controller Wind Turbine Battery Charging Controller for Hydro Generators and Wind Turbines(Green),12V",N/A,N/A,N/A,N/A
"12v,HYZHANHONG 1000W-5000W MPPT Wind Turbine Charge Controller 12V 24V 48V Waterproof IP67 Wind Power Controller for Wind Turbine Hydro Turbine(Black)",N/A,N/A,N/A,N/A
"20000W 30A 12V 24V 48V IP67 Waterproof MPPT Charging Controller Wind Turbine Battery Charging Controller for Hydro Generators and Wind Turbines(Green),12V",N/A,N/A,N/A,N/A
"RioRand 7-70V PWM DC Motor Speed Controller 30A - Low Heat Aluminum Housing for Brushed DC Motors, DIY Projects & Small Electric Devices (Extra Fuse Included) Green",923,N/A,N/A,N/A
