name,price,ratings,reviews,url
"Watris Veiyi Micro HydroTurbine, Water Turbine Generator, DC 12V Hydro Power Generator, 10W Hydroelectric Charging Tool, Water Flows Generator",554,N/A,N/A,N/A
"Beduan Micro Water Turbine Generator Hydroelectric Power G1/2"" Male Thread 12V Micro Hydro Generator Changeing Tool",738,N/A,N/A,N/A
Hydroelectric Micro Hydro Generator 1/2 Inch Portable Water Flow Generator Charger 10W 12V,727,N/A,N/A,N/A
"Micro Hydroelectric Generator, 500W 220V Portable Water Turbine Generator, Eco-Friendly Hydro Power System For Home Use, Lighting & Monitoring","17,552",N/A,N/A,N/A
"500W Micro Hydroelectric Generator, Portable Water Turbine Power Station With Bearing, High Flow Rate Mini Hydro Power Generation Tool, 220V Output Water Turbine","17,872",N/A,N/A,N/A
"beduan Micro Water Turbine Generator Hydroelectric Power G1/2"" Male Thread 5V Micro Hydro Generator Changeing Tool",615,N/A,N/A,N/A
"2KW Micro Hydro Generator, 110V/220V High Power Portable Hydroelectric Generator, Pelton Horizontal Water Turbine, Aluminum Alloy Hydro Power Equipment For Home/Off-Grid/Camping(220V)","37,532",N/A,N/A,N/A
"Beduan Micro Water Turbine Generator Hydroelectric Power G1/2"" Male Thread 24V Micro Hydro Generator Changeing Tool",738,N/A,N/A,N/A
"Pump Turbine Generator, Water Turbine Generator Micro Hydroelectric, Micro Hydro Turbine with Yellow (5V)",862,N/A,N/A,N/A
Small Portable Micro-hydro Generator Water Charger Hydroelectric Power 3.5w,"1,108",N/A,N/A,N/A
"Water Turbine Generator, Micro Water Flow Generator Hydroelectric Power, 12V 1/2 Inch Micro Hydro Generator Water Charging Tool (12V)",862,N/A,N/A,N/A
Water Flow Turbine Generator - Hydroelectric Micro Hydro 1/2 Inch Portable Water Charger (5V),610,N/A,N/A,N/A
"200W Hydro Generator 12V/24V Water Powered - Portable Micro Hydro Turbine With Smart Controller, For Home/Camping/Off-Grid (40/20MM Inlet)(DC 36V to 24V 50W)","9,525",N/A,N/A,N/A
"1000W Micro Hydroelectric Generator 110‑220V 50Hz-60Hz Aluminum Alloy Water Turbine For Outdoor Lighting, Computer, TV, Camping","20,988",N/A,N/A,N/A
DC Hydroelectric Micro-Hydro Turbine Generator - Universal DC Water Turbine for Piped Water & Pipeline,986,N/A,N/A,N/A
"50W Micro Hydro Turbine Generator - Low-Speed Disc Waterwheel Hydroelectric Power Plant for Outdoor Electricity Generation, Eco-Friendly Water & Wind Power Solution","16,886",N/A,N/A,N/A
1PC AC Motor Vertical Micro Wind Hydraulic Turbines Power Generator Alternato,523,N/A,N/A,N/A
"2 Pcs DC 0.1V-5.5V 100-6000RPM Micro Vertical Wind Turbines, Small Motor Wind Blades Generator for DIY",893,N/A,N/A,N/A
Water Turbine Generator Micro Hydroelectric Power Generator DIY LED Power Charging Tool DC 0-80V 10W (80V),795,N/A,N/A,N/A
"Portable Micro Hydro Generator 50W, Brushless Water Turbine Power Generator For Outdoor Camping, Off-Grid Cabin, Creek And Home Emergency Energy Supply","6,833",N/A,N/A,N/A
"1kW 110V-220V Micro Hydroelectric Generator 3500PRM Aluminum Alloy Turbine Hydro Generator With LED Lights, Portable Small Water Outdoor Home Power Station For Lighting","17,779",N/A,N/A,N/A
1000W Portable Micro Hydro Generator 110V-230V Self Adjusting Water Turbine Generator 3500RPM Pure Copper Coil for Off Grid Lighting System with Voltage Tester and Wire Connectors,"21,640",N/A,N/A,N/A
"SJ18A Water Turbine Generator - Permanent Magnet Brushless Motor, Remote Control, Micro Hydroelectric Generator for Garden, 12V/24V Battery Charging","6,423",N/A,N/A,N/A
"Pump Turbine Generator, Water Turbine Generator Micro Hydroelectric, Micro Hydro Turbine with Yellow (80V)",843,N/A,N/A,N/A
F50 Micro-hydro DC Turbine Hydroelectric Power Energy Generator(12V),879,N/A,N/A,N/A
500W Micro Hydro Generator 110V/220V 50Hz/60Hz Water Turbine Power Generator For Home And Outdoor Lighting(110v),"19,819",N/A,N/A,N/A
Hydroelectric Power Generation 500W Portable Micro Hydro Generator 110V 220V With High Turbine Generator And Monitoring For 4 Liters/Second Water Flow(110v),"17,146",N/A,N/A,N/A
"1000W Micro Hydroelectric Generator – 110V/220V High Power Water Turbine Generator, 3500RPM Impact Hydro For Home Use, Outdoor, And Backup Electricity Supply(110V)","20,438",N/A,N/A,N/A
"Mini Wind Turbine & Hydroelectric Generator DIY Science Kit, Educational Teaching Model for Kids, Students, STEM Learning",862,N/A,N/A,N/A
F50 Regulated DC Micro Hydroelectric Generator Micro-hydro DC Water Flow Pump Turbine Hydroelectric Power Energy Generator(12V),998,N/A,N/A,N/A
"Water Turbine Generator, Micro Hydro Generator Water Turbine Generator Micro Hydroelectric Charging Tool 10W High Power Water Size Approx 8.6 * 4.7 * 3cm DC 5V / 0~80V(0-80V)",679,N/A,N/A,N/A
10W Water Turbine Generator Micro Hydroelectric DIY LED Power DC 12V Water Flow Generator (Yellow),856,N/A,N/A,N/A
10W High Power Water Turbine Generator Micro Hydroelectric Charging Tool DC 5V / 0~80V(0-80V),748,N/A,N/A,N/A
"Axis Wind Turbine Generator 3 Blades with Controller 12V 30W for Boats, Gazebos, Cabins, Homes or Industrial","2,649",N/A,N/A,N/A
"Permanent Magnet Generator, AVAN 100w Three Phase Electric AC Alternator for Vertical or Horizontal Wind Turbine Wind Generator(Avec redresseur 12V)","6,388",N/A,N/A,N/A
"F50 Hydroelectric Generator,12v 1/2in Micro Hydro Generators, Hydro Generator Kit for All Kinds of Intelligent Faucets Shower Room Lighting and Sound System (F50 12V transparent yellow)",819,N/A,N/A,N/A
10W Water Turbine Generator - Micro Hydroelectric DIY LED Power DC 12V Flow Generator - Micro-Hydro Charging Tool (Black),832,N/A,N/A,N/A
"100W Micro Hydro Turbine Generator - Low-Speed Waterwheel Hydroelectric Power Plant for Outdoor Use, Disc-Type Electricity Generation, Eco-Friendly Energy Solution","16,886",N/A,N/A,N/A
EUDAX DIY DC Power Micro Motor Wind Turbine Electricity Generator Blades Model,492,N/A,N/A,N/A
Micro Hydroelectric Generator 3000W Water Turbine Low Speed Hydro Power Unit With Voltage Regulator For Off Grid And Backup Systems,"52,193",N/A,N/A,N/A
"3kW Pelton Water Turbine Generator – Micro Hydroelectric Generator With 6 Nozzles, 110V–230V Brushless AC For Off-Grid Power & Home Lighting With Clip Garden Light","50,053",N/A,N/A,N/A
"Micro Hydro Turbine, F50 Regulated DC Micro Hydroelectric Generator DC Water Flow Pump Turbine Hydroelectric Power Energy Generator(5V)",946,N/A,N/A,N/A
"Water Mill Generator 12V DC Turbine, 10W Mini Hydro Hydroelectric Power Charging Tool",663,N/A,N/A,N/A
ULTECHNOVO Dynamo Small Generator Model Water Generator Kit Mini Hydroelectric Generator Hydro Generator Plastic Wind Generator Plastic Water Power Generator Plastic Teaching Model Suite Mini,997,N/A,N/A,N/A
"DC 12V Water Turbine Generator Inline Pipe Water Flow Generator G1/2"" Male Threaded Micro-Hydro Water Charging Tool for DIY LED Power","1,158",N/A,N/A,N/A
"Yosoo DC water, 12V DC 10W micro-hydro portable water generator charging power tool","1,009",N/A,N/A,N/A
"Micro Hydro Water Turbine Generator, 12V DC, 10W Hydroelectric Power Generator, Water Charging Tool",903,N/A,N/A,N/A
"500W 110V 50hz Micro Hydro Generator, Hydro Power Plant Water Power Plant Turbine Flow Generator For Home Use(110v)","19,737",N/A,N/A,N/A
"110/220V Micro Hydroelectric Generator, 100W Family Camping Fishing Hydraulic Generator, Hydro Water Generation Power Equipment For Lighting, Charging, Household(110V)","12,942",N/A,N/A,N/A
Micro 3 Phase AC Mini Hand Brushless Motor Generator Model Science Experiment Teaching Aid Kit DIY,615,N/A,N/A,N/A
"100W Hydro Turbine Generator - Micro Hydroelectric Water Wheel Generator for Low-Speed Hydropower, Eco-Friendly Energy Solution for Off-Grid Homes and Outdoor Use",N/A,N/A,N/A,N/A
150W Micro Hydro Generator Portable Water Turbine 12V 24V DC Low Head Hydropower System for Small Stream Off Grid Power Camping Emergency Energy(Generator),"23,591",N/A,N/A,N/A
150W Micro Hydro Generator 12V 24V DC Portable Water Turbine Low Head Axial Flow Permanent Magnet for Small Stream Off Grid Power Camping Emergency Energy(Generator),"24,969",N/A,N/A,N/A
"Portable Wind & Water Hybrid Turbine Generator, Small Outdoor Hydroelectric Generator 6-Blade Quick-Start Micro Turbine Outdoor/Camping/Emergency Power","12,217",N/A,N/A,N/A
"DIY Hydroelectric Generator Kit, Hydro Water Turbine Generator Model 18×11×11 Cm DIY Water Turbine Kit, Student Physics Experiment Model(Bulk) Hands-On Hobby Project(1pc)","2,277",N/A,N/A,N/A
EatingBiting Water Flow Generator Turbine Hydroelectric Micro Hydro Portable 1/2 Inch 10W 12V Hotel Stainless Steel Home Micro Hydro Generator Tap High Power Light Energy Conversion DIY Hydraulic,893,N/A,N/A,N/A
Oumefar Micro Water Turbine Generator DC Manual Small Hydroelectric Male Thread Water Power Hydropower Yellow Power Generation Device DC (80V),N/A,N/A,N/A,N/A
"3KW Micro Hydroelectric Generator 110V/220V Water Turbine High Power Hydroelectric Generator Home Outdoor Camping (Color : 3KW, Size : 110V)","36,300",N/A,N/A,N/A
"DIY Hydroelectric Power Generator Kit, Hydro Water Turbine Science Model DIY Water Turbine Kit, Physics Experiment Model Hands-On Hobby Project Toy For Students, Home Or Classroom(3pcs)","3,152",N/A,N/A,N/A
"12V 25W Portable Dual Wind And Water Turbine Generator – USB Charger, Micro Hydroelectric Power Generator For Outdoor Camping And DIY Projects","18,636",N/A,N/A,N/A
"220V 400W Micro Hydroelectric Generator 3500PRM Aluminum Alloy Turbine Hydro Generator, Portable Small Water Outdoor Home Power Station For Lighting","18,636",N/A,N/A,N/A
"Dual-Nozzle Micro Hydro Turbine Water Generator, 100W 1-60V Coreless Disc Permanent Magnet Hydroelectric Generator, 1/2-Inch Thread, Off-Grid Outdoor Power",N/A,N/A,N/A,N/A
1Pcs 12V/5VDC Micro Hydro Generator Water Flow Generator Turbine Generator Hydroelectric Tap Water Flow Hydraulic (Size : DC5V),"4,380",N/A,N/A,N/A
"Portable Micro Hydroelectric Generator,50W/100W High Power Hydro Power Station Water Turbine Suitable for Offices and Fish Ponds(White)",N/A,N/A,N/A,N/A
"100W Hydro Turbine Generator, Micro Hydroelectric Water Wheel Generator, Low-Speed Hydropower System for Renewable Energy, Efficient Water Power Solution",N/A,N/A,N/A,N/A
"220V Permanent Magnet Brushless AC Generator 2000W/6000W – Copper Coil Micro Hydro Turbine Generator, Off-Grid Power Supply Compatible(3 kw)","22,941",N/A,N/A,N/A
5pcs Water Flow Generator Turbine Generator Hydroelectric Micro Hydro Generator 1/2 Inch Portable Water Charger 10W (5V),"2,834",N/A,N/A,N/A
Permanent Magnet Synchronous Generator 1500W AC14V PMA Low Rpm Alternator AC/DC Alternator Dual Phase Permanent Magnet Generator,"2,649",N/A,N/A,N/A
"Mini Hydro Turbine Generator - Low-Speed Water Wheel Power Equipment for Sustainable Energy, Hydro Electric Generator for Home & Outdoor Use",N/A,N/A,N/A,N/A
Water Flow Generator Turbine Generator Hydroelectric Micro Hydro Generator 1/2 Inch Portable Water Charger Black (80V),770,N/A,N/A,N/A
Water Flow Generator Turbine Generator Hydroelectric Micro Hydro Generator 1/2 Inch Portable Water Charger 10W 12V (20),"12,017",N/A,N/A,N/A
F50 Micro-hydro DC Engineering Plastic Hydroelectric Power Energy Generator(F50 12V),864,N/A,N/A,N/A
"Water Generator, 5-80V DC Micro Water Turbine Generator, F50 Micro-Hydro Generator DC Water Pump Turbine,Yellow,Voltage Optional(F50 80V)",908,N/A,N/A,N/A
1000W 110V/220V Micro Hydroelectric Generator， Portable Mini Hydro Power Station With Bearing Micro Hydro Turbine For Outdoor Computer TV Lighting Family Camping Water Turbine Generator,N/A,N/A,N/A,N/A
"1000W Portable Hydro Water Generator 220V Micro Water Turbine Generator With LED Light, High Power Impact Hydroelectric Wheel Generation Power Equipment For Home, Outdoor","18,466",N/A,N/A,N/A
Micro Hydro Generator Portable Lightweight 12V Small Water Turbine Generator Water Charging Tool Small Hydro Hydroelectric,N/A,N/A,N/A,N/A
Small Wind Turbine Generator 36W 40W 12-24V DC Permanent Magnet Motor Dual Purpose 4 Gears,"2,649",N/A,N/A,N/A
"6500W Gearless PMG Generator –Ultra-Quiet & Reliable, High Torque Low RPM Design for Wind Turbines & Micro-Hydro Systems(220V),220v",N/A,N/A,N/A,N/A
200W 12V Portable Micro Hydro Generator - For Home/Camping/Off-Grid Power,"11,854",N/A,N/A,N/A
"50W Micro Hydro Generator, Permanent Magnet Brushless Water Turbine Generator For 12V Battery Charging, Small Hydroelectric Power Generator(36w)","11,157",N/A,N/A,N/A
"100W Micro Hydropower Generator, Water Turbine 110V-220V, Outdoor Hydro For Home Lighting, Camping And Small Energy Supply","14,184",N/A,N/A,N/A
"50W Micro Hydro Generator, Portable Brushless Water Turbine Power Generation For Outdoor Camping, Off-Grid Cabin, Creek And Home Emergency Energy Supply(1pc)","6,434",N/A,N/A,N/A
"400W Micro Hydro Water Generator, 220V Portable Water Turbine Generator, Impact Hydroelectric Wheel Generation Power Equipment For Home, Outdoor","18,843",N/A,N/A,N/A
"F50 Turbine Generator, Stable Performance Durable Low Noise DC Micro-Hydro Generator, DIY for Home for Power(F50 12V transparent yellow)",912,N/A,N/A,N/A
"150W Micro Hydro Turbine Generator - Portable Water Powered Generator For Home/Camping, 12-24V Low Head Water Turbine Silent Operation (4m Hose Included)","23,149",N/A,N/A,N/A
"F50 Micro Hydro Generator 80V/12V/5V10W DC Water Flow Generator Turbine Hydroelectric Tap Water Flow Hydraulic DIY(Gold,5V)","4,508",N/A,N/A,N/A
"Sntieecr 6 Set Mini Generator Motors 3V-12V DC Motor, Wind Turbine Generator with Mini Fan Leaf and Plastic Motor Holder for DIY Educational Physics Experiment",800,N/A,N/A,N/A
"1000W 110V/220V Micro Hydro Generator Kit Outdoor Hydro Generator Portable Hydro Generator Aluminum Alloy with Monitoring Lighting TV Computer (Color : Silver, Size : 110V)","16,645",N/A,N/A,N/A
"Micro Hydro Generator, 1000W 110V-230V Hydro Power Plant Hydro Power Plant Water Turbine Water Flow Generator For Home Lighting, TV","20,397",N/A,N/A,N/A
"150W Micro Hydro Turbine Generator - Portable Water Powered Generator For Home/Camping, 12-24V Low Head Water Turbine With Swirl Intake & Silent Operation (4m Hose Included)","23,606",N/A,N/A,N/A
"150W Micro Axial Flow Hydro Generator, Low Head Permanent Magnet Water Turbine Generator For Spiral Flow Hydropower Systems","22,941",N/A,N/A,N/A
