name,price,ratings,reviews,url
"Pelton Turbine Kit – 32 Paddle Pelton Wheel with Aluminum Hub & HDPE Buckets, DIY Hydroelectric Generator Turbine for Water Power Projects","4,187",N/A,N/A,N/A
"2KW Micro Hydro Generator, 110V/220V High Power Portable Hydroelectric Generator, Pelton Horizontal Water Turbine, Aluminum Alloy Hydro Power Equipment For Home/Off-Grid/Camping(220V)","37,532",N/A,N/A,N/A
100-300W 1PC Hydraulic Generator High-Efficiency Pelton Turbine Portable Water Flow Generator Impact Water Runner Bucket Wheel DIY Hydroelectric Power Station(With pipe),"9,508",N/A,N/A,N/A
"100W Pelton Water Turbine Generator 1 Pack, DC Output Disc Coreless Generator, Low RPM Hydro Generation With Clear Housing For Home, Outdoor, Educational Use","18,847",N/A,N/A,N/A
"3kW Pelton Water Turbine Generator – Micro Hydroelectric Generator With 6 Nozzles, 110V–230V Brushless AC For Off-Grid Power & Home Lighting With Clip Garden Light","50,053",N/A,N/A,N/A
"500W 220V Hydroelectric Generator Pelton Inclined Water Wheel Hydro Turbine, Pure Copper Winding Permanent-Magnet Brushless Angled-Impact Hydro Generator For Home","60,052",N/A,N/A,N/A
"110V-230V 3kW Pelton Hydroelectric Generator, 6-tube High Power Water Turbine Generator For Outdoor Use In Rivers & Mountains, 3500RPM Home Use Portable Generation Power Equipment","45,556",N/A,N/A,N/A
3KW 110V-230V Pelton Water Turbine Generator 6 Nozzles Hydroelectric Generator For Off-Grid Power And Lighting,"40,059",N/A,N/A,N/A
"Water Turbine Generator Kit, 100W Mini Hydroelectric Power Station With Pelton Wheel, Coreless Disc Generator For Home Use, Off-Grid Hydropower System, Impulse Turbine","15,625",N/A,N/A,N/A
220V 500W Micro Hydraulic Turbine Generator Water Electromagnet Full Copper Core,"33,457",N/A,N/A,N/A
"800W Portable Hydroelectric Generator, 110V-230V 60Hz Pelton Horizontal Water Turbine, Aluminum Alloy Hydro Power Equipment For Home/Off-Grid/Camping Power","37,273",N/A,N/A,N/A
"1kW 1.5kW 220V Pelton Hydroelectric Generator, Angled-Impact Water Wheel Hydro Turbine Generator, High Power Pure Copper Permanent-Magnet Brushless Hydro Generation(1000W)","97,710",N/A,N/A,N/A
Hydroelectric Micro Hydro Generator 1/2 Inch Portable Water Flow Generator Charger 10W 12V,727,N/A,N/A,N/A
"Portable Micro Hydro Generator 50W, Brushless Water Turbine Power Generator For Outdoor Camping, Off-Grid Cabin, Creek And Home Emergency Energy Supply","6,833",N/A,N/A,N/A
3000W 6-Nozzle Pelton Hydroelectric Generator 110V-230V High Power Water Turbine Generator For Off-Grid Power And Lighting,"39,997",N/A,N/A,N/A
"15KW Hydro Generator 220V Single-Phase with Automatic Voltage Stabilizer & Leakage Protection, Pelton Turbine Water Wheel Power Generator for Reliable Renewable Energy Solutions","785,153",N/A,N/A,N/A
"Pool Turbine Bearing 9-100-1132 Replacement Part for Polaris Drive Train Gear Kit, Turbine Bearing Repair Kit Fits Polaris 360, 380 Pool Cleaner Drive Train Part","1,195",N/A,N/A,N/A
"Sooprinse Garden Hose Inlet Filter for High Pressure Washer, Sediment Filter Attachment, 40 Mesh Screen, Extra 2 Pcs 100 Mesh, 3PCS O-Ring and 4PCS Filter Hose Washer",923,N/A,N/A,N/A
BRINGSMART 12V 12rpm DC Worm Gear Motor 70kg.cm High Torque Self-Locking Reversed Mini Turbine Geared Motor for DIY Robot Rotating Table Door Lock Curtain Machine (12V 12rpm),"1,785",N/A,N/A,N/A
Girls Dresses Toddler Girls Dress 3-Pack Casual Party Print Skater A-line Dress Sundress,"1,416",N/A,N/A,N/A
"1pc/2pcs Water Turbine Generator Kit, 100W Mini Hydroelectric Power Station With Pelton Wheel, For Home Use, Off-Grid Hydropower System, Impulse Turbine(2pcs)","26,933",N/A,N/A,N/A
"1pc/2pcs Water Turbine Generator Kit, 100W Mini Hydroelectric Power Station With Pelton Wheel, For Home Use, Off-Grid Hydropower System, Impulse Turbine(1 pc)","15,830",N/A,N/A,N/A
3KW Pelton Water Turbine Generator 110V-230V 6 Nozzle Micro Hydroelectric Generator For Off-Grid Power Supply And Lighting,"48,663",N/A,N/A,N/A
High Power Hydro Generator 3000W 220V Mini With Monitoring TV Lighting Computer Outdoor,"34,443",N/A,N/A,N/A
"100W Mini Hydroelectric Power Station Kit - 1pc/2pcs Water Turbine Generator with Pelton Wheel, Off-Grid Hydropower System for Home Use, Impulse Turbine Power Solution",N/A,N/A,N/A,N/A
"100W Mini Water Turbine Generator Kit - Off-Grid Hydropower System with Pelton Wheel & Coreless Disc Generator for Home Use, Efficient Impulse Turbine Power Solution",N/A,N/A,N/A,N/A
"100W Mini Hydroelectric Power Station Kit, 2pcs Water Turbine Generator with Pelton Wheel, Off-Grid Hydropower System for Home Use, Impulse Turbine Power Solution",N/A,N/A,N/A,N/A
Pelton Hydro Generator 100W High Efficiency Coreless Disc Water Turbine Generator For Home Use With Transparent Housing And Low Startup Torque,N/A,N/A,N/A,N/A
"12KW Pelton Hydroelectric Generator - Full Copper Brush-Excited Auto Voltage Stabilizing, Portable Hydro Power For Home/Camping - Hydro Generator, Outdoor Water Turbine",N/A,N/A,N/A,N/A
"1800W Pelton Water Turbine Generator, Micro Hydroelectric Generator With 20–70m Head, 63mm Inlet, Stable Voltage For Battery Charging & Off-Grid Home Power Supply","83,866",N/A,N/A,N/A
"3000W 220V Hydroelectric Pelton Generator Oblique Strike-Water Wheel Turbine, 3KW Portable Small Outdoor Hydro Power Station, Water Flow Generator For Home",N/A,N/A,N/A,N/A
100-300W 1PC Hydraulic Generator High-Efficiency Pelton Turbine Portable Water Flow Generator Impact Water Runner Bucket Wheel DIY Hydroelectric Power Station(Without pipe),"9,076",N/A,N/A,N/A
"2KW Micro Hydro Generator, 110V/220V High Power Portable Hydroelectric Generator, Pelton Horizontal Water Turbine, Aluminum Alloy Hydro Power Equipment For Home/Off-Grid/Camping(110V)",N/A,N/A,N/A,N/A
