name,price,ratings,reviews,url
"2000W Permanent Magnet Generator, 4000RPM 12V Low Rpm Alternator, Two Wheel Permanent Magnet Synchronous Generator, Brushless PMA Agricultural DC Generator","3,858",N/A,N/A,N/A
"OEG Parts New Permanent Magnet Alternator Compatible With John Deere Lawn Mower Tractor MIA10338, SE501822, 11991077200, LS22101, 12915077201, 12915077202, 12915077203, APM0005, 40058013","4,865",N/A,N/A,N/A
"3500W 220V Permanent Magnet Generator, Brushless Belt-Driven Lighting Generator With Pure Copper Coil, For Gasoline Or Diesel Engine, Home Backup Use","13,980",N/A,N/A,N/A
Permanent Magnet Alternator Generator 1500W AC 14V PMA Low Rpm Single Phase AC/DC Synchronous Generator with Built-in Voltage Stabilizer,"2,526",N/A,N/A,N/A
"Permanent Magnet Alternator Generator, VQP Permanent Magnet Synchronous Generator, 1200W 12V to 14V Low RPM Alternator, AC Charging & Lighting PMA, Built-in Voltage Stabilizer","3,478",N/A,N/A,N/A
"3500W/5000W/7000W Small Permanent Magnet Generator, 220V Pure Copper Wire, Brushless, Belt-Driven, For Lighting, Compatible With Gasoline Or Diesel Engine(5000W)","17,847",N/A,N/A,N/A
Permanent Magnet Synchronous Generator 1500W AC14V PMA Low Rpm Alternator AC/DC Alternator Dual Phase Permanent Magnet Generator,"2,649",N/A,N/A,N/A
"5KW/10KW Permanent Magnet Generator 220V Single-phase 380V Three-phase Alternator Small Variable Frequency Brushless Permanent Magnet Generator Free Energy Generator(Color:10KW,Size:Three phase 380V)","75,720",N/A,N/A,N/A
24V Permanent Magnet Electric Motor Generator 250W Small Brushed Permanent Magnet,"1,848",N/A,N/A,N/A
"1000W 400Rpm Low RPM Permanent Magnet Generator,12V 24V 48V 3 Phase AC Alternators Motor for Vertical Horizontal Wind Turbine (with Base)",N/A,N/A,N/A,N/A
"Permanent Magnet Generator, AVAN 100w Three Phase Electric AC Alternator for Vertical or Horizontal Wind Turbine Wind Generator(Avec redresseur 12V)","6,388",N/A,N/A,N/A
2000W 36V 48V 60V 72V Permanent Magnet Brushless Alternator Pure Copper Coil Permanent Magnet Generator High Power Low Speed Permanent Magnet DC Generator(48V),"16,482",N/A,N/A,N/A
"Permanent Magnet, Rotatable Armature Generator Hand-Operated Generator to Explore Experimental Electromagnetic Equipment Manual Electricity Generator AC-DC Model Faraday Generator","2,588",N/A,N/A,N/A
"3500W/5000W/7000W Small Permanent Magnet Generator, 220V Pure Copper Wire, Brushless, Belt-Driven, For Lighting, Compatible With Gasoline Or Diesel Engine(7000W)","21,794",N/A,N/A,N/A
"400W Three-Phase alternator, Rare earth NdFeB Permanent Magnet Electric Motor Generator DIY AC Alternator AVAN400w Permanent Magnet Motor (Without Rectifier 24V)","6,886",N/A,N/A,N/A
"500W 48V Three Phase AC Permanent Magnet Generator, Low Speed Rare Earth NdFeB Generator Gearless Generator, Suitable For Wind Turbine Water Turbine ( Color : Single Shaft , Size : Without base )","24,030",N/A,N/A,N/A
High Torque DC Motor 12 V/24 V Permanent Magnet Motor Mini DC Motor DIY Generator Motor 30W CW/CCW with Moun,"1,416",N/A,N/A,N/A
2000W 36V 48V 60V 72V Permanent Magnet Brushless Alternator Pure Copper Coil Permanent Magnet Generator High Power Low Speed Permanent Magnet DC Generator(72V),"17,287",N/A,N/A,N/A
"3.5kw/5kw/7kw Permanent-Magnet Generator 220V, Pure Copper Wire With Voltage Regulator Brushless Generator, Belt-Driven 3500W / 5000W / 7000W Low Maintenance For Lighting/Home Use(3500W)","18,164",N/A,N/A,N/A
"24V 350W Brushed Permanent Magnet DC Motor & PMA Generator, 3000RPM Dual-Purpose Electric Motor for E-Scooter Drive Speed Control, E-Bike, Wind Turbine & DIY Power Projects","1,848",N/A,N/A,N/A
"12V DC Motor Xd 3420 3500Rpm 30W Motor Permanent Magnet Generator High Speed, Low Noise, Reliable Choice for Grinding Machines, Medical Equipment (12V3500 RPM)","1,158",N/A,N/A,N/A
"Permanent Magnet Motors, 31ZY High Speed CW/CCW Permanent Magnet DC Motor for DIY Generator(12V8000RPM)",928,N/A,N/A,N/A
Wind Turbine 200W max 220W 12V 5 Blade Wind Vertical Axis Generator 3 Phase AC Permanent Magnet Generator Wind Turbine Kit with Controller for Hybrid Wind Solar System,"16,639",N/A,N/A,N/A
"5000W/7000W 220V High Power Permanent Magnet Generator, Pure Copper Wire, Brushless Design, Pulley-Driven, For Lighting(Gloves Included)(7000w)","28,331",N/A,N/A,N/A
"MYFULLY 24V DC 250W Brushed Permanent Magnet Electric Motor Generator Small Electric Scooter DC Motor 2550RPM for Electric Scooter Drive Speed Control, E-Bike, Wind Turbine PMA Generator (250, Watts)","1,725",N/A,N/A,N/A
"400W Three-Phase alternator, Rare earth NdFeB Permanent Magnet Electric Motor Generator DIY AC Alternator AVAN400w Permanent Magnet Motor (Without Rectifier 12V)","6,558",N/A,N/A,N/A
Small Wind Turbine Generator 36W 40W 12-24V DC Permanent Magnet Motor Dual Purpose 4 Gears,"2,649",N/A,N/A,N/A
"Permanent Magnet Motors, 31ZY 6V 4000RPM Small High Speed CW/CCW Permanent Magnet DC Motor for DIY Generator(6v 4000RPM)","1,090",N/A,N/A,N/A
"Permanent Magnet Motor, 31ZY 24V High Speed CW/CCW Permanent Magnet DC Motor for DIY Generator(24v3500RPM)",901,N/A,N/A,N/A
"3 Phase Permanent Magnet Generator, AVAN-300W Three - Phase alternator Permanent Magnet Generator, NdFeB Electric 3, Electric Motor Controls (with Rectifier 12V)","7,573",N/A,N/A,N/A
Lounsweer 4 Pack Small Brushed Permanent Magnet Electric Motor for E Scooter Speed Control 24v 350w 3000rpm and Gt2 Pulleys 6-60v 12v 24v 36v 48v 30a PWM Dc Motor Controller 30a Switch Controller,"2,772",N/A,N/A,N/A
1500W 110V/220V Permanent Magnet Brushless Small Alternator Low Speed Generator Built-in Voltage Regulator Pure Copper Wire,"8,566",N/A,N/A,N/A
"EISCO Hand Crank Van de Graaff Generator, up to 100kV - Static Electricity Generator, Hand Generator - 7.5"" Dome, 4"" Discharge Sphere, 22"" Tall","10,507",N/A,N/A,N/A
Vevitts Small Brushed Permanent Magnet Electric Motor for E Scooter Drive Speed Control 24V 350W 3000RPM,"2,279",N/A,N/A,N/A
"12V 30W Permanent Magnet DC Motor, 3000RPM High Speed CW/CCW Electric Gear Motor for DIY Generator and 12V-40V 10A PWM DC Motor Speed Controller Fan Controller with Knob-High Efficiency","1,416",N/A,N/A,N/A
"300 Watt Permanent Magnet DC Pulley Generator 3/8"" V-Belt Drive Pedal Power Pulley Dynamo with air ventilation holes PPG-PM300-P",N/A,N/A,N/A,N/A
"DC Generator 550W Permanent Magnet Generator 36V/48V/60V/72V/220V DC Wind Turbine Battery Car Charging Permanent Tape Pulley (Color : 72V, Size : 550W)","8,646",N/A,N/A,N/A
"DuroMax XP13000EH 13,000-Watt Dual Fuel Portable Generator - Gas & Propane, Electric Start, Whole Home Backup Power, Transfer Switch Ready, RV & Emergency Ready",N/A,N/A,N/A,N/A
"High Torque DC Motor 12V/24V, DIY Project Quiet Motor Permanent Magnet Motor with Cable Connector for Electric Motors and Generators, 30W CW/CCW 3500/7000RPM Motor (Round Shaft)","1,170",N/A,N/A,N/A
"NATGAI 24V 350W Brushed Permanent Magnet Electric Motor Generator | Small Brushed Electric Scooter Motor for E-Scooter Drive Systems, E-Bike Conversion, and Wind Turbine Applications(2800RPM) (350W)","1,909",N/A,N/A,N/A
50W Small Portable Permanent Magnet Brushless Home Turbine Permanent Magnet Brushless Generator 1-60V Miniature Field Water Turbine Generator,"6,423",N/A,N/A,N/A
"12V-24V DC Geared Motor Kit (3500-7000 RPM High Speed), Permanent Magnet Motor with Speed Controller, GT2 Synchronous Pulleys and Timing Belt Set for DIY Projects(Without Screw Thread)","1,971",N/A,N/A,N/A
"MAKERELE High Torque DC Motor 12V/24V 30W - 3500/7000RPM Permanent Magnet Electric Motor with Cable Connector and Mount, for DIY Generator, Cutting Machine (CW/CCW, XD-3420 Type, Short Shaft)","1,478",N/A,N/A,N/A
Permanent Magnet DC Motor 12-24V 3500-7000RPM High Torque Reversible CW/CCW Electric Motor Gear for DIY Generator with Bracket,"1,601",N/A,N/A,N/A
"20000W Vertical Wind Turbine Generator for Home Use, Efficient Permanent Magnet System with Controller & Grid Inverter, Ideal Renewable Energy Solution for On-Grid & Off-Grid Applications","44,804",N/A,N/A,N/A
"12V Permanent Magnet DC Motor, 30W 3500RPM High Speed CW/CCW Electric Gear Motor for DIY Generator, Micro Speed Reduction Geared Motor",N/A,N/A,N/A,N/A
OEG Parts New Permanent Magnet Compatible with Kubota Excavators K008 K008-3 KH007 KH35 KH41 KH61 15531-64013 15531-64016 15531-64017 E5700-64013 E5700-640,"4,865",N/A,N/A,N/A
Permanent Magnet DC Motor 1 HP Electric Motor 1750 RPM 90V with 2 Carbon Brushes (Black),"11,709",N/A,N/A,N/A
Small Brushed Permanent Magnet Electric Motor for Scooter Drive Systems and DIY Projects 24V DC 350W 2750RPM,"2,157",N/A,N/A,N/A
RAREELECTRICAL 12V 50A Permanent Magnet Alternator Compatible With Lister-Petter Lpws4 Lpwg4 4-Cyl Diesel Gas Engine Hawkpower Generator Magnum Light Tower 751-18880 Lra03645,N/A,N/A,N/A,N/A
"5000W Vertical Wind Turbine Generator Kit - High-Efficiency 48V Home Wind Power System, 3-Blade Permanent Magnet Design, Eco-Friendly Renewable Energy Solution for Off-Grid Living","28,965",N/A,N/A,N/A
10W Micro Spiral Wind Power Generator DIY White Wind Power Generator Model Permanent Magnet Generator Model Breeze Starter Generator Light with LED Light,"3,574",N/A,N/A,N/A
"12V-24V DC Geared Motor Kit (3500-7000 RPM High Speed), Permanent Magnet Motor with Speed Controller, GT2 Synchronous Pulleys and Timing Belt Set for DIY Projects(with Screw Thread)","2,279",N/A,N/A,N/A
