name,price,ratings,reviews,url
Eyedro 3-Phase Commercial & Industrial Energy Meter - Real-Time kWh/W/A/V/PF/$/True Power Data -Solar & Net Metering -WiFi (2.4GHz)/Ethernet - Up to 600V - 3×3000A Flex Sensor (110mm/4 inch Opening),"46,530",N/A,N/A,N/A
"Meross Smart Energy Consumption Monitor with 18 Circuit Monitoring, Electricity Usage Monitor, Real-Time Power Usage Monitor, Home Assistant Support, Smart Alerts, No Subscriptions, 2-Year Warranty","10,476",N/A,N/A,N/A
"Emporia Vue 3 Home Energy Monitor - Smart Home Automation Module and Real Time Electricity Usage Monitor, Power Consumption Meter, Solar and Net Metering for UL Certified Safe Energy Monitoring","12,325",N/A,N/A,N/A
"Refoss Smart Home Energy Monitor, Native Open API & Web UI (No Cloud Required), Real Time Electricity Usage Monitor, Power Consumption Meter Works with Home Assistant & MQTT, Solar Net Metering, ETL","10,475",N/A,N/A,N/A
"TP-Link 𝗧𝗮𝗽𝗼 Smart Plug Wi-Fi Mini, Energy Monitoring, Compatible with Alexa & Google Home & Samsung SmartThings, Timer, 15A/1800W Max, ETL Certified, 2.4G Wi-Fi Only, Tapo P115(4-Pack)","1,601",N/A,N/A,N/A
"Smart Home Energy Monitor with 16 50A Circuit Level Sensors, Real-Time Power Usage & Electricity Cost Tracking, Ideal for Rental Homes & Shared Apartments, App History, Compatible with Home Assistant","8,627",N/A,N/A,N/A
"Smart Home Energy Monitor 2×80A, Dual-Channel Real-Time Electricity Usage Monitoring for Household Power, WiFi Energy Meter with App Control, Compatible with Tuya/Smart Life","1,540",N/A,N/A,N/A
"WiFi Smart Energy Meter AC 63A 80-300V, WiFi Earth Leakage Over Under Voltage Protector, Circuit Breaker Din Rail, Electricity Energy Monitor APP Remote Control Smart Life 230V","1,848",N/A,N/A,N/A
Smart Home Energy Monitor with 16 50A and 3-300A Circuit Level Sensors Real-Time Accurate Power Energy Consumption Tracking WiFi Meter SolarNet Metering2.4 GHz WiFi,"13,557",N/A,N/A,N/A
"Eyedro Home Energy Monitor – Real-Time Electricity Usage Monitor with Solar Net Metering-Whole House Power Consumption Monitor–WiFi/Ethernet Smart Energy Meter with Reports & History, 2 Sensors","9,243",N/A,N/A,N/A
"Refoss Smart Home Energy Monitor Real-Time Electricity Usage Monitor with 16x60A Circuit Sensor, Energy Meter, Local Data Storage with Open API & Web UI, Home Assistant, Solar Metering, ETL Certified","10,476",N/A,N/A,N/A
"Emporia Energy Monitoring Smart Plug, WiFi Smart Outlet Plug Works with Alexa and Google Home - 15a WiFi Outlet with Timer, Mobile App, Home Energy Monitor, Scheduling - 2.4ghz WiFi Only (4 Pack)","2,156",N/A,N/A,N/A
