name,price,ratings,reviews,url
1400W Off Grid with Unloader Hybrid Wind Solar Controller Auto 12/24V Battery MPPT Charge Boost Float of max 800w Wind Turbine Generator 600w Solar Panel Home Street Light Controller,"11,631",N/A,N/A,N/A
EUDAX Mini Generator Motors 3V-12V DC Motor Electric Motor for DIY Toys Wind Turbine Generator Hand Cranked Power Generator Model (Plastic Motor Holder),737,N/A,N/A,N/A
"Wind Turbine Generator Kit 400W 12V with 5 Blade, with Charge Controller, Wind Power Generator for Marine, RV, Home, Windmill Generator Suit for Hybrid Solar Wind System","16,616",N/A,N/A,N/A
20000W Vertical Axis Wind Turbine Generator Kit with Controller & Grid Inverter - Eco-Friendly Home Energy Solution for Renewable Power Generation (48V),"36,495",N/A,N/A,N/A
"18000W Wind Turbine Generator Kit for Home & Business - Vertical Wind Mill with Controller for Industrial Energy Supply (White, 12V) - Eco-Friendly Power Solution",N/A,N/A,N/A,N/A
"Automaxx Windmill 1500W 24V 60A Wind Turbine Generator Kit, Automatic and Manual Braking System DIY Easy Installation, MPPT Controller with Bluetooth Function, 3 Blades Wind Turbine","59,309",N/A,N/A,N/A
"Axis Wind Turbine Generator 3 Blades with Controller 12V 30W for Boats, Gazebos, Cabins, Homes or Industrial(No Instructions)","2,645",N/A,N/A,N/A
"20000W Vertical Wind Turbine Generator for Home Use, Efficient 12000W-48V with Grid Inverter & Controller, Permanent Magnet Renewable Energy Solution",N/A,N/A,N/A,N/A
18000W Vertical Wind Turbine Generator Kit for Home & Business - Powerful 48V Windmill with Controller for Industrial Energy Supply - Eco-Friendly Renewable Energy Solution,N/A,N/A,N/A,N/A
"1000W Wind Turbine Generator，24V Wind Generator Kit with Charge Controller, Wind Power Generator for Marine, RV, Home, Windmill Generator Suit for Hybrid Solar Wind System","55,389",N/A,N/A,N/A
Wind Turbine Generator 12V 400W with a 30A Hybrid Charge Controller. As Solar and Wind Charge Controller which can Add Max 500W Solar Panel for 12V Battery.,"19,632",N/A,N/A,N/A
