product_name,product_name_raw,product_name_normalized,price_raw,price_value,currency,energy_category,energy_subcategory,source_site,source_file,url,ratings,reviews,price_note,rejection_reason
Discount Price RuiFa RF-11 Small Hydropower Plants Hydroelectric Water Turbine Water Generator 110-240V For Generation,Discount Price RuiFa RF-11 Small Hydropower Plants Hydroelectric Water Turbine Water Generator 110-240V For Generation,discount price ruifa rf-11 small hydropower plants hydroelectric water turbine water generator 110-240v for generation,US $3010.00-$3085.00,3047.5,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Discount-Price-Small-Hydropower-Plants-Hydroelectric_1601635237498.html,5.0/5.0,,range median,
1Kw - 30Kw Micro Water Turbine Hydraulic Turbine River Hydro Generator,1Kw - 30Kw Micro Water Turbine Hydraulic Turbine River Hydro Generator,1kw - 30kw micro water turbine hydraulic turbine river hydro generator,US $330.00-$989.00,659.5,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/1Kw-30Kw-Micro-Water-Turbine-Hydraulic_1601378916116.html,4.2/5.0 (11),,range median,
Customized Water Hydro Power Generator He With 10MV-50MV Francis Turbine Generator Unit Equipment Hydroelectric Power Station,Customized Water Hydro Power Generator Head With 10MV-50MV Francis Turbine Generator Unit Equipment Hydroelectric Power Station,customized water hydro power generator he with 10mv-50mv francis turbine generator unit equipment hydroelectric power station,US $500000.00,500000.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Customized-Water-Hydro-Power-Generator-head_1601364995698.html,5.0/5.0,,,
1kw 2kw 3kw 4kw 5KW 10KW 15KW Mini Hydro Turbine Use Permanent Magnet Generator Low RPM High Efficiency,1kw 2kw 3kw 4kw 5KW 10KW 15KW Mini Hydro Turbine Use Permanent Magnet Generator Low RPM High Efficiency,1kw 2kw 3kw 4kw 5kw 10kw 15kw mini hydro turbine use permanent magnet generator low rpm high efficiency,US $199.00-$280.00,239.5,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/1kw-2kw-3kw-4kw-5KW-10KW_1601258958662.html,4.6/5.0 (69),,range median,
Small 300KW Pelton Water Wheel Hydro Turbine Generator Kit For Home Use Efficient Hydropower Solution,Small 300KW Pelton Water Wheel Hydro Turbine Generator Kit For Home Use Efficient Hydropower Solution,small 300kw pelton water wheel hydro turbine generator kit for home use efficient hydropower solution,US $36800.00,36800.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/300KW-Small-Pelton-Water-Wheel-Hydro_60489943826.html,4.8/5.0,,,
Small Mini Hydroelectric Generator 15kW 30kW 40kW 50kW Hydro Water Turbine Generator for Micro Hydro Power Plant,Small Mini Hydroelectric Generator 15kW 30kW 40kW 50kW Hydro Water Turbine Generator for Micro Hydro Power Plant,small mini hydroelectric generator 15kw 30kw 40kw 50kw hydro water turbine generator for micro hydro power plant,US $6500.00,6500.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Small-Mini-Hydroelectric-Generator-15kW-30kW_1600356647085.html,4.8/5.0,,,
Hydro Power Plants Hydroelectric Francis Water Turbine Generators Hydropower Generator Plant Water Generators,Hydro Power Plants Hydroelectric Francis Water Turbine Generators Hydropower Generator Plant Water Generators,hydro power plants hydroelectric francis water turbine generators hydropower generator plant water generators,US $10000000.00,10000000.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Hydro-Power-Plants-Hydroelectric-Francis-Water_11000020926061.html,5.0/5.0,,,
20KW Brushless Induction R ial Flow Micro Water Turbine Generator 500w to 10kw Mini Hydro Turbine Generator for Sale,20KW Brushless Induction Radial Flow Micro Water Turbine Generator 500w to 10kw Mini Hydro Turbine Generator for Sale,20kw brushless induction r ial flow micro water turbine generator 500w to 10kw mini hydro turbine generator for sale,US $219.00-$259.00,239.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/20KW-brushless-induction-radial-flow-micro_1600898482518.html,4.6/5.0 (67),,range median,
Mini Hydro Turbine Generator Stainless Steel Francis Pelton Kaplan Micro Hydro Power Micro Hydro Generator,Mini Hydro Turbine Generator Stainless Steel Francis Pelton Kaplan Micro Hydro Power Micro Hydro Generator,mini hydro turbine generator stainless steel francis pelton kaplan micro hydro power micro hydro generator,US $50000.00-$65000.00,57500.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Mini-Hydro-Turbine-Generator-Stainless-Steel_1601047709612.html,,,range median,
NEW DEVELOPMENT INDUCTION TURBINE MICRO HYDRO ELECTRICITY ENERGY GENERATOR,NEW DEVELOPMENT INDUCTION TURBINE MICRO HYDRO ELECTRICITY ENERGY GENERATOR,new development induction turbine micro hydro electricity energy generator,US $19.00-$25.00,22.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/NEW-DEVELOPMENT-INDUCTION-TURBINE-MICRO-HYDRO_60828191354.html,4.8/5.0 (110),,range median,
Online Low Water He Kaplan Turbine 600W-5KW Micro Hydro Electric Generator,Online Low Water Head Kaplan Turbine 600W-5KW Micro Hydro Electric Generator,online low water he kaplan turbine 600w-5kw micro hydro electric generator,US $799.00,799.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Alibaba-online-low-water-head-Kaplan_60189216250.html,5.0/5.0,,,
Micro Plant Use Axial Flow Hydropower Electric Generator 600W 3000W Household Use Low He Water,Micro Plant Use Axial Flow Hydropower Electric Generator 600W 3000W Household Use Low Head Water,micro plant use axial flow hydropower electric generator 600w 3000w household use low he water,US $299.00,299.0,USD,wind,generator,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Micro-Plant-Use-Axial-Flow-Hydropower_1600921494117.html,4.3/5.0,,,
30KW Hydro Turbine Generator Micro Hydropower System for Off-Grid Electricity Supply,30KW Hydro Turbine Generator Micro Hydropower System for Off-Grid Electricity Supply,30kw hydro turbine generator micro hydropower system for off-grid electricity supply,US $500.00,500.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/30KW-Hydro-Turbine-Generator-Micro-Hydropower_1601702729098.html,4.8/5.0 (10),,,
Micro Hydro Generator Water Turbine 1-15KW High Efficiency Hydro Turbine Generator Water Generator,Micro Hydro Generator Water Turbine 1-15KW High Efficiency Hydro Turbine Generator Water Generator,micro hydro generator water turbine 1-15kw high efficiency hydro turbine generator water generator,US $329.00-$335.00,332.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/micro-hydro-generator-water-turbine-10_1601108331063.html,4.5/5.0 (15),,range median,
Mini Hydro Generator Water Energy Free 3kw 5kw 7kw 10kw 20kw 30kw Hydraulic Micro Turbines Hydropower Plant,Mini Hydro Generator Water Energy Free 3kw 5kw 7kw 10kw 20kw 30kw Hydraulic Micro Turbines Hydropower Plant,mini hydro generator water energy free 3kw 5kw 7kw 10kw 20kw 30kw hydraulic micro turbines hydropower plant,US $500.00-$5000.00,2750.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Mini-hydro-generator-water-energy-free_1600552483471.html,5.0/5.0,,range median,
Mini Hydro Generator Hydraulic Micro Turbines Hydropower Plant 800w Hydro Turbine Powered Generator,Mini Hydro Generator Hydraulic Micro Turbines Hydropower Plant 800w Hydro Turbine Powered Generator,mini hydro generator hydraulic micro turbines hydropower plant 800w hydro turbine powered generator,US $260.00-$280.00,270.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Mini-hydro-generator-hydraulic-micro-turbines_1600899215086.html,4.3/5.0 (107),,range median,
Hydro Turbine Generator Mini Water Kaplan Turbine 50 kw,Hydro Turbine Generator Mini Water Kaplan Turbine 50 kw,hydro turbine generator mini water kaplan turbine 50 kw,US $1000.00-$8000.00,4500.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Hydro-generator-mini-water-kaplan-turbine_62344503067.html,,,range median,
36W/50W Micro Hydro Turbine Generator with Built-in MPPT Solar Charge Controller and Mobile APP for Off-Grid Battery Charging,36W/50W Micro Hydro Turbine Generator with Built-in MPPT Solar Charge Controller and Mobile APP for Off-Grid Battery Charging,36w 50w micro hydro turbine generator with built-in mppt solar charge controller and mobile app for off-grid battery charging,US $50.70-$56.50,53.6,USD,solar,charge_controller,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/36W-50W-DC-Brushless-Micro-Hydro_10000039518198.html,5.0/5.0,,range median,
Customized 500KW Micro Hydro Turbine Generator 10-100KW Stainless Steel Pelton ISO9001 Certified 92%-96% Efficiency Generator,Customized 500KW Micro Hydro Turbine Generator 10-100KW Stainless Steel Pelton ISO9001 Certified 92%-96% Efficiency Generator,customized 500kw micro hydro turbine generator 10-100kw stainless steel pelton iso9001 certified 92 -96 efficiency generator,US $50000.00-$65000.00,57500.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Micro-Hydro-Turbine-Generator-500kw-Stainless_1601425832695.html,4.3/5.0 (70),,range median,
Hydroelectric Free Energy Generator Micro Hydro Turbines for Sale,Hydroelectric Free Energy Generator Micro Hydro Turbines for Sale,hydroelectric free energy generator micro hydro turbines for sale,US $60000.00,60000.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Hydroelectric-free-energy-generator-micro-hydro_1600908159308.html,,,,
Small Micro Hydropower Plants Hydro Turbine Water Generator for Sale,Small Micro Hydropower Plants Hydro Turbine Water Generator for Sale,small micro hydropower plants hydro turbine water generator for sale,US $410.00-$600.00,505.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Small-Micro-Hydropower-Plants-Hydro-Turbine_1601364000119.html,,,range median,
