product_name,product_name_raw,product_name_normalized,price_raw,price_value,currency,energy_category,energy_subcategory,source_site,source_file,url,ratings,reviews,price_note,rejection_reason
Micronewton H120 Electric Demonstration Pelton Turbine Model Adjustable Measurement Module 220V 10KG 470x330x300mm Engineering,Micronewton H120 Electric Demonstration Pelton Turbine Model Adjustable Measurement Module 220V 10KG 470x330x300mm Engineering,micronewton h120 electric demonstration pelton turbine model adjustable measurement module 220v 10kg 470x330x300mm engineering,US $1980.00-$3180.00,2580.0,USD,,,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Demonstration-Pelton-Turbine-Model-for-Engineering_1601611725501.html,,,range median,non-renewable; spam name
2025 5000W 5KW Micro Mini Turbine Hydro Generator with Bearing Core Components 1 Year Warranty Electric & Power Generator,2025 5000W 5KW Micro Mini Turbine Hydro Generator with Bearing Core Components 1 Year Warranty Electric & Power Generator,2025 5000w 5kw micro mini turbine hydro generator with bearing core components 1 year warranty electric power generator,US $992.00,992.0,USD,,,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/2025-5000w-5kw-Micro-Mini-Turbine_1601508154299.html,4.7/5.0 (10),,,non-renewable
High Quality Hot Sale Micro 20kw 30kw Power Hydro Generator Electrical Water Turbine/,High Quality Hot Sale Micro 20kw 30kw Power Hydro Generator Electrical Water Turbine/,high quality hot sale micro 20kw 30kw power hydro generator electrical water turbine,US $1500.00-$5000.00,3250.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/High-Quality-Hot-Sale-Micro-20kw_1601717599800.html,5.0/5.0,,range median,spam name
High Quality Hot Sale Forster Micro Hydro Power Turbine Generator 1kW-5kW 88% Efficiency 220V/380V Outdoor Camping Solution,High Quality Hot Sale Forster Micro Hydro Power Turbine Generator 1kW-5kW 88% Efficiency 220V/380V Outdoor Camping Solution,high quality hot sale forster micro hydro power turbine generator 1kw-5kw 88 efficiency 220v 380v outdoor camping solution,US $3880.00,3880.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Factory-Price-Quietest-Navigator-Ng2200-Power_1601322698423.html,4.8/5.0,,,spam name
Hot Sale River and Streams Water Use Mini Size Turbine 10KW 8KW Hydroelectric Water Turbine Generators 15kw 25kw,Hot Sale River and Streams Water Use Mini Size Turbine 10KW 8KW Hydroelectric Water Turbine Generators 15kw 25kw,hot sale river and streams water use mini size turbine 10kw 8kw hydroelectric water turbine generators 15kw 25kw,US $195.00-$268.00,231.5,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/hot-sale-River-and-Streams-Water_1601363337308.html,4.5/5.0 (15),,range median,spam name
Customized Design High Quality Hot Sale Micro Power Hydro Generator Electrical Water Turbine Generator Set,Customized Design High Quality Hot Sale Micro Power Hydro Generator Electrical Water Turbine Generator Set,customized design high quality hot sale micro power hydro generator electrical water turbine generator set,US $1400.00-$1446.00,1423.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Customized-Design-High-Quality-Hot-Sale_11000030357175.html,5.0/5.0,,range median,spam name
High Quality 10kW 15kW Micro Low He Hydro Kaplan Turbine for Water Usage Factory Supply Hot Sales Generator,High Quality 10kW 15kW Micro Low Head Hydro Kaplan Turbine for Water Usage Factory Supply Hot Sales Generator,high quality 10kw 15kw micro low he hydro kaplan turbine for water usage factory supply hot sales generator,US $13850.00-$27830.00,20840.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Factory-Supply-High-Quality-Hot-Sales_62132815805.html,4.8/5.0,,range median,spam name
Hydroelectric Generator Power Hydroelectric Turbine Generator Green CE Adjustable Nozzle Micro Power Generator Pelt 3000,Hydroelectric Generator Power Hydroelectric Turbine Generator Green CE Adjustable Nozzle Micro Power Generator Pelt 3000,hydroelectric generator power hydroelectric turbine generator green ce adjustable nozzle micro power generator pelt 3000,US $1759.00-$1779.00,1769.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/hydroelectric-generator-3kw-river-hydroelectric-green_1600917449025.html,4.3/5.0 (108),,range median,spam name
Hot Sale 10KW Francis Turbine 30KW Hydro Turbine 50KW Micro Hydro Turbine Generator,Hot Sale 10KW Francis Turbine 30KW Hydro Turbine 50KW Micro Hydro Turbine Generator,hot sale 10kw francis turbine 30kw hydro turbine 50kw micro hydro turbine generator,US $20000.00,20000.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Hot-Sale-10KW-Francis-Turbine-30KW_1601763589103.html,5.0/5.0,,,spam name
Hot Sale Free Energy 220v 380v Hydro Turbine Francis Hydro Power Electric Turbine Generator,Hot Sale Free Energy 220v 380v Hydro Turbine Francis Hydro Power Electric Turbine Generator,hot sale free energy 220v 380v hydro turbine francis hydro power electric turbine generator,US $3266.00,3266.0,USD,wind,turbine,alibaba,alibaba_products_hydropower.csv,https://www.alibaba.com/product-detail/Hot-Sale-Free-Energy-20kw-220v_1601568013075.html,4.8/5.0 (11),,,spam name
