name,price,ratings,url
Wind Driven Generator Controller 12/24V 800W MPPT Wind Charge Controller Wind Turbine Generator Controller with Monitor,"₱1,195.50",N/A,https://www.lazada.com.ph/products/pdp-i15396686073.html
Wind Driven Generator Controller 12/24V 800W MPPT Wind Charge Controller Wind Turbine Generator Controller with Monitor,"₱1,071.00",N/A,https://www.lazada.com.ph/products/pdp-i3729303076.html
12V 24V 16A Wind Turbine Controller 300W-1000W Step Up Type MPPT PWM Wind Charge Controller Regulator,₱624.38,N/A,https://www.lazada.com.ph/products/pdp-i4611867539.html
【Trivony】 1000-5000W MPPT Charge Controller 12V/24V AUTO 48V 10A-40A Wind Turbine Generator Water Proof Regulator Rectifier Factory Price,"₱1,672.00",N/A,https://www.lazada.com.ph/products/pdp-i5254004133.html
Wind Driven Generator Controller 12/24V 800W MPPT Wind Charge Controller Wind Turbine Generator Controller with Monitor,"₱1,213.50",N/A,https://www.lazada.com.ph/products/pdp-i15461040190.html
Lepmerk Wind Turbine Controller Automatic Battery Matching Wind Turbine Charge Controller 12V 24V Universal MPPT Charging 20A for Outdoor,₱885.00,N/A,https://www.lazada.com.ph/products/pdp-i15458843750.html
Wind Driven Generator Controller 12/24V 800W MPPT Wind Charge Controller Wind Turbine Generator Controller with Monitor,"₱1,160.50",N/A,https://www.lazada.com.ph/products/pdp-i15425045778.html
MPPT Wind Generator Controller MPPT Wind Turbine Charge Controller 100W‑600W with LED Indicator for Lighting,"₱1,390.00",N/A,https://www.lazada.com.ph/products/pdp-i5049696036.html
GARRYFIZH MPPT Wind Turbine Charger Controller 300W - 1000W 12V 24V 40A Mini Wind Turbine Generator Regulator IP67 Low Voltage Controller with Digital LED Indicator,₱855.00,N/A,https://www.lazada.com.ph/products/pdp-i5257831473.html
MPPT Wind Solar Hybrid Charge Controller Wind 1200W & Solar 1000W 12/24V/48V Automatic Hybrid Controller With Dump Load Resistor,"₱5,623.67",N/A,https://www.lazada.com.ph/products/pdp-i4224169351.html
MPPT Wind Solar Hybrid Controller Dump Load Above 12/24V 800W Fan,"₱2,283.00",N/A,https://www.lazada.com.ph/products/pdp-i5006899522.html
High-power solar wind energy charging controller 12/24v full-automatic universal remote MPPT lithium battery 0V startup,"₱6,067.98",N/A,https://www.lazada.com.ph/products/pdp-i4999849867.html
【Weliba】 Flexible and Reliable MPPT Wind Turbine Controller IP67 Waterproof Design [New Products Hot Sale],"₱1,573.00",N/A,https://www.lazada.com.ph/products/pdp-i15457021705.html
Reliable and Safe IP67 Waterproof Wind Turbine Controller with MPPT Technology,"₱1,855.00",N/A,https://www.lazada.com.ph/products/pdp-i15456050190.html
【FUXING】 500W 800W MPPT Wind Power Controller for 12V 24V Batteries IP67 For protection [not miss it][expectancy],"₱1,573.00",N/A,https://www.lazada.com.ph/products/pdp-i15426684207.html
PENGGONG Wear Resistant MPPT Wind Turbine Controller 500800W for Home Applications,"₱2,028.00",N/A,https://www.lazada.com.ph/products/pdp-i15422885549.html
PENGGONG MPPT Wind Turbine Charge Controller 800W 12V 24V IP67 Waterproof Overcharge,"₱2,408.00",N/A,https://www.lazada.com.ph/products/pdp-i15461722461.html
【RlGIYH】Hybrid Wind Solar Controller MPPT Charging Boost Wind Turbine Generator Solar Panel Home Street Light Controller,"₱1,566.47",N/A,https://www.lazada.com.ph/products/pdp-i5307921739.html
MPPT Wind Low Voltage Controller Wind Generator Controller with LED Display for 12V 24V Battery Universal Wind Boost IP67 Protection Grade,"₱1,390.00",N/A,https://www.lazada.com.ph/products/pdp-i5301234799.html
【Rockhouse】 500800W Wind Generator Controller with MPPT Technology and IP67 Rating [New Products],"₱1,707.00",N/A,https://www.lazada.com.ph/products/pdp-i15408267808.html
Wind Driven Generator Controller 12/24V 800W MPPT Wind Charge Controller Wind Turbine Generator Controller with Monitor,"₱1,160.50",N/A,https://www.lazada.com.ph/products/pdp-i5219947279.html
【FUXING】 Wind Turbine MPPT Controller 500W 800W Bolt Mount Design IP67 For protection [buy now],"₱1,809.00",N/A,https://www.lazada.com.ph/products/pdp-i15427271103.html
12/24/48v 2800w Mppt Hybrid Wind Solar Charge Controller Boost Regulator Max Support 1600w Wind Turbine,"₱7,599.00",N/A,https://www.lazada.com.ph/products/pdp-i3848416563.html
