product_name,description,category,subcategory,price_value,price_raw,currency,source,seller,location,url,ratings,reviews,source_file,renewable_type,product_type,document_text,summary,doc_id
Discount Price RuiFa RF-11 Small Hydropower Plants Hydroelectric Water Turbine Water Generator 110-240V For Generation,,wind,turbine,3047.5,US $3010.00-$3085.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Discount-Price-Small-Hydropower-Plants-Hydroelectric_1601635237498.html,5.0/5.0,,alibaba_products_hydropower.csv,wind,turbine,Discount Price RuiFa RF-11 Small Hydropower Plants Hydroelectric Water Turbine Water Generator 110-240V For Generation. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 3047.5. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/Discount-Price-Small-Hydropower-Plants-Hydroelectric_1601635237498.html.,Discount Price RuiFa RF-11 Small Hydropower Plants Hydroelectric Water Turbine Water Generator 110-240V For Generation.,prod_000001
1Kw - 30Kw Micro Water Turbine Hydraulic Turbine River Hydro Generator,,wind,turbine,659.5,US $330.00-$989.00,USD,alibaba,,,https://www.alibaba.com/product-detail/1Kw-30Kw-Micro-Water-Turbine-Hydraulic_1601378916116.html,4.2/5.0 (11),,alibaba_products_hydropower.csv,wind,turbine,1Kw - 30Kw Micro Water Turbine Hydraulic Turbine River Hydro Generator. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 659.5. Source: alibaba. Ratings: 4.2/5.0 (11) ( reviews). URL: https://www.alibaba.com/product-detail/1Kw-30Kw-Micro-Water-Turbine-Hydraulic_1601378916116.html.,1Kw - 30Kw Micro Water Turbine Hydraulic Turbine River Hydro Generator.,prod_000002
Customized Water Hydro Power Generator He With 10MV-50MV Francis Turbine Generator Unit Equipment Hydroelectric Power Station,,wind,turbine,500000.0,US $500000.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Customized-Water-Hydro-Power-Generator-head_1601364995698.html,5.0/5.0,,alibaba_products_hydropower.csv,wind,turbine,Customized Water Hydro Power Generator He With 10MV-50MV Francis Turbine Generator Unit Equipment Hydroelectric Power Station. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 500000.0. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/Customized-Water-Hydro-Power-Generator-head_1601364995698.html.,Customized Water Hydro Power Generator He With 10MV-50MV Francis Turbine Generator Unit Equipment Hydroelectric Power Station.,prod_000003
1kw 2kw 3kw 4kw 5KW 10KW 15KW Mini Hydro Turbine Use Permanent Magnet Generator Low RPM High Efficiency,,wind,turbine,239.5,US $199.00-$280.00,USD,alibaba,,,https://www.alibaba.com/product-detail/1kw-2kw-3kw-4kw-5KW-10KW_1601258958662.html,4.6/5.0 (69),,alibaba_products_hydropower.csv,wind,turbine,1kw 2kw 3kw 4kw 5KW 10KW 15KW Mini Hydro Turbine Use Permanent Magnet Generator Low RPM High Efficiency. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 239.5. Source: alibaba. Ratings: 4.6/5.0 (69) ( reviews). URL: https://www.alibaba.com/product-detail/1kw-2kw-3kw-4kw-5KW-10KW_1601258958662.html.,1kw 2kw 3kw 4kw 5KW 10KW 15KW Mini Hydro Turbine Use Permanent Magnet Generator Low RPM High Efficiency.,prod_000004
Small 300KW Pelton Water Wheel Hydro Turbine Generator Kit For Home Use Efficient Hydropower Solution,,wind,turbine,36800.0,US $36800.00,USD,alibaba,,,https://www.alibaba.com/product-detail/300KW-Small-Pelton-Water-Wheel-Hydro_60489943826.html,4.8/5.0,,alibaba_products_hydropower.csv,wind,turbine,Small 300KW Pelton Water Wheel Hydro Turbine Generator Kit For Home Use Efficient Hydropower Solution. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 36800.0. Source: alibaba. Ratings: 4.8/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/300KW-Small-Pelton-Water-Wheel-Hydro_60489943826.html.,Small 300KW Pelton Water Wheel Hydro Turbine Generator Kit For Home Use Efficient Hydropower Solution.,prod_000005
Small Mini Hydroelectric Generator 15kW 30kW 40kW 50kW Hydro Water Turbine Generator for Micro Hydro Power Plant,,wind,turbine,6500.0,US $6500.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Small-Mini-Hydroelectric-Generator-15kW-30kW_1600356647085.html,4.8/5.0,,alibaba_products_hydropower.csv,wind,turbine,Small Mini Hydroelectric Generator 15kW 30kW 40kW 50kW Hydro Water Turbine Generator for Micro Hydro Power Plant. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 6500.0. Source: alibaba. Ratings: 4.8/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/Small-Mini-Hydroelectric-Generator-15kW-30kW_1600356647085.html.,Small Mini Hydroelectric Generator 15kW 30kW 40kW 50kW Hydro Water Turbine Generator for Micro Hydro Power Plant.,prod_000006
Hydro Power Plants Hydroelectric Francis Water Turbine Generators Hydropower Generator Plant Water Generators,,wind,turbine,10000000.0,US $10000000.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Hydro-Power-Plants-Hydroelectric-Francis-Water_11000020926061.html,5.0/5.0,,alibaba_products_hydropower.csv,wind,turbine,Hydro Power Plants Hydroelectric Francis Water Turbine Generators Hydropower Generator Plant Water Generators. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 10000000.0. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/Hydro-Power-Plants-Hydroelectric-Francis-Water_11000020926061.html.,Hydro Power Plants Hydroelectric Francis Water Turbine Generators Hydropower Generator Plant Water Generators.,prod_000007
20KW Brushless Induction R ial Flow Micro Water Turbine Generator 500w to 10kw Mini Hydro Turbine Generator for Sale,,wind,turbine,239.0,US $219.00-$259.00,USD,alibaba,,,https://www.alibaba.com/product-detail/20KW-brushless-induction-radial-flow-micro_1600898482518.html,4.6/5.0 (67),,alibaba_products_hydropower.csv,wind,turbine,20KW Brushless Induction R ial Flow Micro Water Turbine Generator 500w to 10kw Mini Hydro Turbine Generator for Sale. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 239.0. Source: alibaba. Ratings: 4.6/5.0 (67) ( reviews). URL: https://www.alibaba.com/product-detail/20KW-brushless-induction-radial-flow-micro_1600898482518.html.,20KW Brushless Induction R ial Flow Micro Water Turbine Generator 500w to 10kw Mini Hydro Turbine Generator for Sale.,prod_000008
Mini Hydro Turbine Generator Stainless Steel Francis Pelton Kaplan Micro Hydro Power Micro Hydro Generator,,wind,turbine,57500.0,US $50000.00-$65000.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Mini-Hydro-Turbine-Generator-Stainless-Steel_1601047709612.html,,,alibaba_products_hydropower.csv,wind,turbine,Mini Hydro Turbine Generator Stainless Steel Francis Pelton Kaplan Micro Hydro Power Micro Hydro Generator. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 57500.0. Source: alibaba. Ratings:  ( reviews). URL: https://www.alibaba.com/product-detail/Mini-Hydro-Turbine-Generator-Stainless-Steel_1601047709612.html.,Mini Hydro Turbine Generator Stainless Steel Francis Pelton Kaplan Micro Hydro Power Micro Hydro Generator.,prod_000009
NEW DEVELOPMENT INDUCTION TURBINE MICRO HYDRO ELECTRICITY ENERGY GENERATOR,,wind,turbine,22.0,US $19.00-$25.00,USD,alibaba,,,https://www.alibaba.com/product-detail/NEW-DEVELOPMENT-INDUCTION-TURBINE-MICRO-HYDRO_60828191354.html,4.8/5.0 (110),,alibaba_products_hydropower.csv,wind,turbine,NEW DEVELOPMENT INDUCTION TURBINE MICRO HYDRO ELECTRICITY ENERGY GENERATOR. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 22.0. Source: alibaba. Ratings: 4.8/5.0 (110) ( reviews). URL: https://www.alibaba.com/product-detail/NEW-DEVELOPMENT-INDUCTION-TURBINE-MICRO-HYDRO_60828191354.html.,NEW DEVELOPMENT INDUCTION TURBINE MICRO HYDRO ELECTRICITY ENERGY GENERATOR.,prod_000010
