consuming_sector_in_the_philippines_with_its_28_2_percent_share_to_tfec_energy_e,nan,source_pdf,detected_category
household activities increased by 4.3 percent to 11.0 MTOE from 10.5 MTOE in 2023. This,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"upward trend was largely attributed to enhanced access to energy services, driven by",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"the  government’s  sustained  electrification  initiatives,  expanded  availability  of  clean",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"cooking fuels, and programs promoting energy efficiency at the household level.",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"Biomass  remained  the  primary  fuel  source,",with  fuelwood  accounting  for  37.8,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"percent of household energy use (Figure 6), followed by charcoal at 13.0 percent and",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
agricultural  waste  at  4.4  percent.  Although  total  biomass  consumption  grew  slightly,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"by 1.0 percent from 6.0 MTOE in 2023 to 6.1 MTOE in 2024, its share to the household",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
energy mix declined by 1.8 percentage points. This shift reflected a gradual transition,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"toward cleaner and more modern fuels, such as electricity and LPG, driven by improved",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
electrification and wider access to clean cooking technologies.,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
Successfully  electrified  over,"reported  by 
the",2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"Distribution Utilities (DUs) as of the first half of 2024, the Department of Energy (DOE)",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
continued the implementation of its Total Electrification Program10. This development,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"led  to  an  11.5  percent  increase  in  household  electricity  consumption,  which  reached",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
3.5  MTOE  in  2024  and  accounted  for  32.3  percent  of  the  household  energy  mix.  The,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"increased  adoption  of  electricity,  recognized  as  a  cleaner  and  more  efficient  fuel,",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
reflected a growing preference for modern energy sources and marked a shift away,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
from traditional fuels.,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"Liquefied 
petroleum 
gas",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"(LPG) 
consumption 
rose",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"modestly 
by 
1.9 
percent",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"to  1.3  MTOE 
in  2024  and",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
comprised 12.2 percent of the,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
,Charcoal,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
household  energy  demand,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
,13.0%,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"mix.  Meanwhile, 
kerosene",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
use  declined  by  6.2  percent,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
to  29.9  kTOE  in  2024.  These,,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
trends  reflected  the  impact,"Other
Biomass",2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"of 
improved  electrification",LPG,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"and 
expanded 
access 
to","12.2%
4.4%",2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"cleaner 
technologies 
on",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"household 
fuel 
choices.",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"9 
Mioten,  E. 
(2025,  March 
3).  The  Philippines’",https://www.bworldonline.com/special-fea-,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
"10  2024–2033 National Total Electrification Roadmap, DOE",,2024_philippine_energy_situationer_and_key_energy_statistics_table_184_p11.csv,biomass
