unnamed_0,2020,2021,2022,2023,2024,aagr,2020_numeric,2021_numeric,2022_numeric,2023_numeric,2024_numeric,aagr_numeric,aagr_unit,source_pdf,detected_category
Households,"10,028","10,179","10,310","10,536","10,985",2.6%,10028.0,10179.0,10310.0,10536.0,10985.0,2.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Oil,"1,238","1,266","1,311","1,350","1,373",4.8%,1238.0,1266.0,1311.0,1350.0,1373.0,4.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
LPG,"1,187","1,215","1,265","1,318","1,343",5.7%,1187.0,1215.0,1265.0,1318.0,1343.0,5.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Kerosene,51,51,46,32,30,-10.7%,51.0,51.0,46.0,32.0,30.0,-10.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Biomass,"5,842","5,904","5,962","6,008","6,069",0.4%,5842.0,5904.0,5962.0,6008.0,6069.0,0.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Fuelwood,"4,121","4,136","4,145","4,145","4,153",-0.3%,4121.0,4136.0,4145.0,4145.0,4153.0,-0.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Charcoal,"1,209","1,263","1,317","1,372","1,431",4.2%,1209.0,1263.0,1317.0,1372.0,1431.0,4.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Agriwaste,512,506,500,491,484,-1.9%,512.0,506.0,500.0,491.0,484.0,-1.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Electricity,"2,949","3,008","3,037","3,179","3,543",7.0%,2949.0,3008.0,3037.0,3179.0,3543.0,7.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Services,"4,606","4,848","4,452","4,736","5,138",4.2%,4606.0,4848.0,4452.0,4736.0,5138.0,4.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Oil,"2,462","2,662","2,005","2,117","2,357",5.1%,2462.0,2662.0,2005.0,2117.0,2357.0,5.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Diesel,"1,877","2,027","1,318","1,480","1,691",4.8%,1877.0,2027.0,1318.0,1480.0,1691.0,4.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Fuel Oil,121,155,173,151,147,2.7%,121.0,155.0,173.0,151.0,147.0,2.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
LPG,464,480,514,487,519,6.9%,464.0,480.0,514.0,487.0,519.0,6.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Biomass,325,330,332,334,336,0.1%,325.0,330.0,332.0,334.0,336.0,0.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Ricehull,5,5,5,5,4,-4.0%,5.0,5.0,5.0,5.0,4.0,-4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Charcoal,155,157,158,159,160,-0.1%,155.0,157.0,158.0,159.0,160.0,-0.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Fuelwood,165,167,169,170,172,0.5%,165.0,167.0,169.0,170.0,172.0,0.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Biodiesel,37,40,26,29,34,5.5%,37.0,40.0,26.0,29.0,34.0,5.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Electricity,"1,782","1,816","2,089","2,256","2,410",4.1%,1782.0,1816.0,2089.0,2256.0,2410.0,4.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Agriculture,436,556,379,402,439,2.2%,436.0,556.0,379.0,402.0,439.0,2.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Oil,211,243,139,145,148,-1.5%,211.0,243.0,139.0,145.0,148.0,-1.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Gasoline,10,15,17,10,4,-0.5%,10.0,15.0,17.0,10.0,4.0,-0.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Kerosene(c),1,0.5,0.1,-,0,-11.4%,1.0,0.5,0.1,,0.0,-11.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Diesel,198,226,121,133,143,-1.5%,198.0,226.0,121.0,133.0,143.0,-1.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Fuel Oil,2,2,1,1,1,-6.8%,2.0,2.0,1.0,1.0,1.0,-6.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Biodiesel,4,4,2,3,3,-2.0%,4.0,4.0,2.0,3.0,3.0,-2.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Electricity,221,308,237,254,288,4.9%,221.0,308.0,237.0,254.0,288.0,4.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Non-Energy Use,"1,372","1,642","1,289","1,397","1,528",9.7%,1372.0,1642.0,1289.0,1397.0,1528.0,9.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Oil,"1,160","1,430","1,198","1,317","1,445",12.4%,1160.0,1430.0,1198.0,1317.0,1445.0,12.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Coal,212,213,91,80,83,-6.0%,212.0,213.0,91.0,80.0,83.0,-6.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
Total,"32,601","35,028","35,859","37,019","38,898",3.2%,32601.0,35028.0,35859.0,37019.0,38898.0,3.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_228_p50.csv,biomass
