energy_per_capita_per_capita_energy_electricity_and_oil_e_in_2024_rose_to_0_61,source_pdf,detected_category
"TOE,  1,125.56  kWh,  and  1.47  bbl,  respectively,  and  surpassed  their  2023  levels.  This",2024_philippine_energy_situationer_and_key_energy_statistics_table_210_p27.csv,coal
upward trend reflected improved access to energy for both daily needs and productive,2024_philippine_energy_situationer_and_key_energy_statistics_table_210_p27.csv,coal
"activities, supporting higher living standards and economic participation.",2024_philippine_energy_situationer_and_key_energy_statistics_table_210_p27.csv,coal
GHG Emission Indicators,2024_philippine_energy_situationer_and_key_energy_statistics_table_210_p27.csv,coal
Carbon intensity of GDP in 2024 remained relatively at the same level as the previous,2024_philippine_energy_situationer_and_key_energy_statistics_table_210_p27.csv,coal
"year’s  0.7  tonnes  of  CO₂  equivalent  (tCO₂e)  per  PHP  100,000.  Meanwhile,  the  carbon",2024_philippine_energy_situationer_and_key_energy_statistics_table_210_p27.csv,coal
"intensity of TPES and electricity generation increased by 1.4 percent and 0.4 percent,",2024_philippine_energy_situationer_and_key_energy_statistics_table_210_p27.csv,coal
"respectively.  These  upticks  were 
largely  attributed  to  the  growing  share  of  fossil",2024_philippine_energy_situationer_and_key_energy_statistics_table_210_p27.csv,coal
"fuels,  particularly  coal, 
in  the  energy  and  power  generation  mixes.  Consequently,",2024_philippine_energy_situationer_and_key_energy_statistics_table_210_p27.csv,coal
"GHG  emissions  per  capita  also  rose  by  5.9  percent,  in  line  with  higher  overall  energy",2024_philippine_energy_situationer_and_key_energy_statistics_table_210_p27.csv,coal
consumption and emissions output. (Figure 18).,2024_philippine_energy_situationer_and_key_energy_statistics_table_210_p27.csv,coal
