fuels_particularly_coal_in_the_energy_and_power_generationeration_mixes_conseque,fuels_particularly_coal_in_the_energy_and_power_generationeration_mixes_conseque_numeric,fuels_particularly_coal_in_the_energy_and_power_generationeration_mixes_conseque_unit,source_pdf,detected_category
"GHG  emissions  per  capita  also  rose  by  5.9  percent,  in  line  with  higher  overall  energy",5.9,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
consumption and emissions output. (Figure 18).,,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
"2.5
2.32 2.35",,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
"2023
2024",20232024.0,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
2.0,2.0,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
1.41,1.41,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
"1.5
1.36",,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
1.0,1.0,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
"0.76 0.77
0.73",,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
0.72,0.72,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
0.5,0.5,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
0.0,0.0,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
"tCO2e/Php 100K
tCO2e/MWh
tCO2e/TOE
tCO2e/person",2100222.0,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_211_p27.csv,coal
