unnamed,unnamed_1,source_pdf,detected_category
-,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
-,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
-,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
-,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
"370,156",-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
"170,231",-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
-,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
-,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
-,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
-,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
"304,702",-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
"236,797",-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
"33,936",-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,TOTAL,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,REGION 13,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,"29,997",06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,"29,997",06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,"-                           196,433",06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,-,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
,"139,020",06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_005_p1.csv,general
