non_npc_ipp,npc_ipp,non_npc_ipp_numeric,source_pdf,detected_category
"12,196,513",-,12196513.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
,"-                           518,583",,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
-,-,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
"220,186",-,220186.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
-,-,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
-,-,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
-,-,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
"723,571","2,751,476",723571.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
,"-                           514,460",,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
-,-,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
"9,355",-,9355.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
"276,676",-,276676.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
-,-,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
"185,769",-,185769.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
"925,374",-,925374.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_006_p2.csv,general
