source,2020,2021,2022,2023,2024,aagr,2020_numeric,2021_numeric,2022_numeric,2023_numeric,2024_numeric,aagr_numeric,aagr_unit,source_pdf,detected_category
Middle East,"24,040","28,411","43,343","47,481","43,931",-1.1%,24040.0,28411.0,43343.0,47481.0,43931.0,-1.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_054_p53.csv,general
Saudi Arabia,"15,044","19,059","22,760","24,102","23,340",-4.5%,15044.0,19059.0,22760.0,24102.0,23340.0,-4.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_054_p53.csv,general
Iraq (a),-,630,"4,760","5,976","6,060",112.7%,,630.0,4760.0,5976.0,6060.0,112.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_054_p53.csv,general
Kuwait (b),"7,991",-,"1,952",798,-,-31.7%,7991.0,,1952.0,798.0,,-31.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_054_p53.csv,general
UAE,506,"4,769","13,368","14,597","14,020",8.2%,506.0,4769.0,13368.0,14597.0,14020.0,8.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_054_p53.csv,general
Qatar,498,952,502,999,510,-21.3%,498.0,952.0,502.0,999.0,510.0,-21.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_054_p53.csv,general
Oman (c),-,"3,002",-,"1,009",-,9.8%,,3002.0,,1009.0,,9.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_054_p53.csv,general
Indonesia (d),-,-,-,-,-,-25.3%,,,,,,-25.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_054_p53.csv,general
Malaysia (e),629,-,-,-,306,-25.2%,629.0,,,,306.0,-25.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_054_p53.csv,general
Others**,"8,273","1,277",-,-,"1,130",-21.2%,8273.0,1277.0,,,1130.0,-21.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_054_p53.csv,general
Total,"32,942","29,689","43,343","47,481","45,366",-3.5%,32942.0,29689.0,43343.0,47481.0,45366.0,-3.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_054_p53.csv,general
