destination,2020,2021,2022,2023,2024,aagr,2020_numeric,2021_numeric,2022_numeric,2023_numeric,2024_numeric,aagr_numeric,aagr_unit,source_pdf,detected_category
MIDDLE EAST,-,298,-,11,-,-33.0%,,298.0,,11.0,,-33.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
UAE,-,-,-,11,-,,,,,11.0,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
Iraq,-,298,-,-,-,,,298.0,,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
ASEAN,"5,911","3,729","3,698","2,459","3,025",-6.5%,5911.0,3729.0,3698.0,2459.0,3025.0,-6.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
Brunei,-,324,"1,267",291,913,,,324.0,1267.0,291.0,913.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
Indonesia,-,95,90,96,206,,,95.0,90.0,96.0,206.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
Malaysia,"2,571",627,712,93,649,,2571.0,627.0,712.0,93.0,649.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
Singapore,"2,753",640,253,"1,171",577,,2753.0,640.0,253.0,1171.0,577.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
Thailand,476,"1,902","1,262",809,651,,476.0,1902.0,1262.0,809.0,651.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
Vietnam,111,141,113,-,29,,111.0,141.0,113.0,,29.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
OTHER ASIA,"1,994","2,876","1,977","2,828","3,210",-1%,1994.0,2876.0,1977.0,2828.0,3210.0,-1.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
China,903,"1,259","1,287","1,492","2,203",,903.0,1259.0,1287.0,1492.0,2203.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
Hong Kong,306,-,-,-,-,,306.0,,,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
India,36,146,183,231,554,,36.0,146.0,183.0,231.0,554.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
Japan,130,-,11,32,-,,130.0,,11.0,32.0,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
South Korea,21,789,246,966,277,,21.0,789.0,246.0,966.0,277.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
Taiwan,598,682,250,107,176,,598.0,682.0,250.0,107.0,176.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
OTHERS (b),0,77,-,472,-,-7.3%,0.0,77.0,,472.0,,-7.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
Total,"7,905","6,980","5,675","5,770","6,236",-4.2%,7905.0,6980.0,5675.0,5770.0,6236.0,-4.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_060_p57.csv,general
