unnamed_0,2020,2021,2022,2023,2024,aagr,2020_numeric,2021_numeric,2022_numeric,2023_numeric,2024_numeric,aagr_numeric,aagr_unit,source_pdf,detected_category
Semirara,"12,880","13,957","14,387","14,918","14,918",7.3%,12880.0,13957.0,14387.0,14918.0,14918.0,7.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_071_p62.csv,general
Zamboanga,-,-,-,0.99,18.63,2.0%,,,,0.99,18.63,2.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_071_p62.csv,general
Cebu,2,1,2,4,4,-20.8%,2.0,1.0,2.0,4.0,4.0,-20.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_071_p62.csv,general
"Albay, Bicol",13,8,2,10,6,-11.4%,13.0,8.0,2.0,10.0,6.0,-11.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_071_p62.csv,general
Surigao del Sur (a),-,-,-,-,-,-15.0%,,,,,,-15.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_071_p62.csv,general
Negros (b),0,0,0,1,2,24.1%,0.0,0.0,0.0,1.0,2.0,24.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_071_p62.csv,general
South Cotabato (c),-,-,-,229,851,272.3%,,,,229.0,851.0,272.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_071_p62.csv,general
Small-scale Mines,57,82,66,93,117,-0.8%,57.0,82.0,66.0,93.0,117.0,-0.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_071_p62.csv,general
Total Production,"12,951","14,048","14,457","15,255","15,918",7.7%,12951.0,14048.0,14457.0,15255.0,15918.0,7.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_071_p62.csv,general
Run of Mine (MMT),"13,257","14,378","16,061","16,509","17,661",7.7%,13257.0,14378.0,16061.0,16509.0,17661.0,7.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_071_p62.csv,general
