source_2020_2021_2022_2023_2024_aagr,source_2020_2021_2022_2023_2024_aagr_numeric,source_2020_2021_2022_2023_2024_aagr_unit,source_pdf,detected_category
"Middle East
 8,492 
 7,695 
 3,727 
 5,287 
 5,864 
11.5%",8.492769537275288e+21,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Bahrain
 -   
 4 
 -   
 5 
 992",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Iraq
 -   
 -   
 -   
 44 
 -",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"KSA
 1,407 
 2,438 
 116 
 1,092 
 786",1.4072438116109278e+17,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Kuwait
 1,384 
 1,001 
 490 
 1,764 
 975",1.3841001490176498e+17,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Oman
 -   
 -   
 -   
 -   
 240",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Qatar
 1,868 
 1,202 
 2,293 
 1,790 
 2,364",1.8681202229317902e+19,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"UAE
 3,833 
 3,049 
 828 
 593 
 506",3.83330498285935e+16,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"ASEAN
 34,651 
 43,833 
 44,630 
 50,053 
 41,201 
9.6%",3.465143833446305e+25,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Brunei
 4,293 
 5,660 
 4,245 
 3,408 
 3,176",4.293566042453408e+19,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Indonesia
 1,738 
 -   
 -   
 141 
 26",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Malaysia
 9,338 
 13,429 
 11,723 
 16,049 
 16,611",9.338134291172316e+23,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Philippines
 -   
 -   
 -   
 -   
 -",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Singapore
 18,188 
 20,361 
 27,437 
 27,323 
 19,620",1.8188203612743726e+24,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Thailand
 409 
 3,647 
 1,110 
 2,521 
 1,769",4.093647111025212e+18,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Vietnam
 685 
 736 
 116 
 612 
 -",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"OTHER ASIA
 55,327 
 61,344 
 72,837 
 71,140 
 86,402 
5.6%",5.5327613447283775e+25,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"China
 32,247 
 35,279 
 18,974 
 31,470 
 32,945",3.224735279189743e+24,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Hong Kong
 20 
 0 
 -   
 -   
 -",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"India
 4,409 
 4,950 
 1,009 
 1,950 
 4,365",4.40949501009195e+19,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Japan
 518 
 2,323 
 7,722 
 4,137 
 3,920",5.182323772241374e+18,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Russia
 512 
 -   
 1,320 
 241 
 -",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"South Korea
 16,045 
 15,267 
 37,835 
 29,780 
 38,754",1.604515267378353e+24,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Taiwan
 1,575 
 3,525 
 5,978 
 3,560 
 6,418",1.5753525597835606e+19,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"OTHERS**
 4,638 
 4,701 
 1,998 
 1,770 
 690 
-1.9%",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
"Total 
 103,108 
 117,572 
 123,192 
 128,250 
 134,157 
6.8%",1.0310811757212319e+30,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_158_p56.csv,general
