3_indtry,source_pdf,detected_category
"Aggregate industrial output sped up by 5.6 percent in 2024 vis-à-vis 3.6 percent in 2023,",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
and contributed 29.1 percent share to GDP. This acceleration was primarily driven by,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"robust performances in the construction and manufacturing sectors. Correspondingly,",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"the sector’s energy consumption rebounded by 2.7 percent to 7.3 MTOE, reversing the",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
0.5 percent decline recorded in the previous year.,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"Energy 
use 
in 
the",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"manufacturing 
sub-sector,",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
0.9 MTOE 12.3%,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"which consistently accounted 
0.9 MTOE 12.3%",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
for  more  than  80.0  percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
share  (Figure 7)  to  industry,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"total, 
rose  by  4.2  percent",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
as  production  scaled  up  to,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"meet 
increased  demand  for",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"food 
products, 
consumer",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
5.2 MTOE 71.8%,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
5 MTOE 70.6%,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"goods, 
and 
construction",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"materials. 
Energy-intensive",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
