nan,mtco2e,nan_numeric,mtco2e_numeric,source_pdf,detected_category
2023-2024,2023,,2023.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
8.02,89.86,8.02,89.86,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
5.10,36.67,5.1,36.67,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
1.68,12.68,1.68,12.68,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
7.73,10.28,7.73,10.28,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
16.48,1.5,16.48,1.5,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
6.84,150.99,6.84,150.99,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
Change in,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
Distribution,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
0.66,56.51,0.66,56.51,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
(0.40),24.29,-0.4,24.29,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
(0.41),8.40,-0.41,8.4,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
0.06,6.81,0.06,6.81,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
0.09,0.99,0.09,0.99,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
,100.0,,100.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_203_p23.csv,general
