nan,nan_1,nan_numeric,nan_1_numeric,nan_1_unit,source_pdf,detected_category
2023-2024,2024,,2024.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
3.94,57.53,3.94,57.53,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
7.71,96.66,7.71,96.66,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
21.05,7.14,21.05,7.14,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
6.84,161.33,6.84,161.33,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
Change in,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
,% Distribution,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
Distribution,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
(1.00),35.66,-1.0,35.66,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
0.48,59.92,0.48,59.92,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
0.52,4.42,0.52,4.42,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
,100.0,,100.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_204_p24.csv,general
