gas_3_9_4_42_0_76,unnamed_1,3_89,4_41_0_52,unnamed_1_numeric,3_89_numeric,4_41_0_52_numeric,4_41_0_52_unit,source_pdf,detected_category
"Total
100.0
100.0
100.0",,100.0,100.0,,100.0,100.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
"*** GWP Values and EF based on the Fifth Assessment Report  (AR5) and 2006 IPCC Guidelines (Tier 1), respectively",,,,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
of the total during the period. (Table 2),,,,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
195,,,The  country  recorded  a,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
Avoided GHG Emissions,,,"1.1  percent 
increase 
in",,,1.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
,,,"greenhouse 
gas 
(GHG)",,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
,,,"avoidance 
in 
2024,",,,2024.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
,,,which  translated  to  16.8,,,16.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
135,,,"as 
illustrated 
MTCO2e",,,2.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
MTCO2e,,,in  Figure  19  and  Table,,,19.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
115,,,"3. 
This 
was 
primarily",,,3.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
,,,"driven 
by 
the 
10.8",,,10.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
,,,"percent  hike 
in  avoided",,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
,,,"emissions 
through",,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
,,,"utilization  of 
renewable",,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
55,,,"energy 
sources, 
such",,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
"2000
2001
2002
2003
2004
2005
2006
2007
2008
2009
2010
2011
2012
2013
2014
2015
2016
2017",2023,2024,"as 
geothermal, 
hydro,",2023.0,2024.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
,,,"wind,  solar  and  biomass,",,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
"Hypothentical GHG emission @ 2000 EI & EF
GHG avoidance",,,,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
,,,"in 
power 
generation,",,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
,,,"from 
3.8 
in 
MTCO2e",,,3.82,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
Avoidance; GHG Base year is CY 2000 GHG Emission Level,,,"2023 
in 
to  4.2  MTCO2e",,,20234.22,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
,,,"2024. 
In  contrast,  GHG",,,2024.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
performance for the year.,,,,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_205_p24.csv,general
