unnamed_0,table_3_co2_avoidance_from_the_mitigation_measures_in_ktco2e,unnamed_0_numeric,unnamed_0_unit,table_3_co2_avoidance_from_the_mitigation_measures_in_ktco2e_numeric,source_pdf,detected_category
%,,,percent,,2024_philippine_energy_situationer_and_key_energy_statistics_table_206_p25.csv,general
Change,,,percent,,2024_philippine_energy_situationer_and_key_energy_statistics_table_206_p25.csv,general
-1.75,"12,805.71",-1.75,percent,12805.71,2024_philippine_energy_situationer_and_key_energy_statistics_table_206_p25.csv,general
-2.50,"3,806.59",-2.5,percent,3806.59,2024_philippine_energy_situationer_and_key_energy_statistics_table_206_p25.csv,general
-2.84,"6,814.23",-2.84,percent,6814.23,2024_philippine_energy_situationer_and_key_energy_statistics_table_206_p25.csv,general
2.95,"2,184.89",2.95,percent,2184.89,2024_philippine_energy_situationer_and_key_energy_statistics_table_206_p25.csv,general
-2.42,0.00,-2.42,percent,0.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_206_p25.csv,general
10.77,"3,801.20",10.77,percent,3801.2,2024_philippine_energy_situationer_and_key_energy_statistics_table_206_p25.csv,general
1.12,"16,606.91",1.12,percent,16606.91,2024_philippine_energy_situationer_and_key_energy_statistics_table_206_p25.csv,general
6.84,"151,749.51",6.84,percent,151749.51,2024_philippine_energy_situationer_and_key_energy_statistics_table_206_p25.csv,general
6.28,"168,356.42",6.28,percent,168356.42,2024_philippine_energy_situationer_and_key_energy_statistics_table_206_p25.csv,general
