demand_climate_related_disruptions_and_geopolitical_tensions_reminiscent_of_2023,nan,source_pdf,detected_category
The sectoral gross value added (GVA) of industry and services remained the strongest,,2024_philippine_energy_situationer_and_key_energy_statistics_table_207_p25.csv,general
"engines of growth for the year, expanding by 6.7 percent and 5.6 percent, respectively.",,2024_philippine_energy_situationer_and_key_energy_statistics_table_207_p25.csv,general
The  industry  benefitted  from  recovery  in  manufacturing  and  public  infrastructure,,2024_philippine_energy_situationer_and_key_energy_statistics_table_207_p25.csv,general
while the services sector remained buoyant with thriving information technology and,,2024_philippine_energy_situationer_and_key_energy_statistics_table_207_p25.csv,general
business  process  management  (IT-BPM)  activities24  and  domestic  tourism25.  On  the,,2024_philippine_energy_situationer_and_key_energy_statistics_table_207_p25.csv,general
"other hand, the agriculture sector contracted by 1.5 percent, weighed down by back-",,2024_philippine_energy_situationer_and_key_energy_statistics_table_207_p25.csv,general
"to-back  typhoons26  that  impacted  northern  Luzon,  coupled  with  the  prevalence  of",,2024_philippine_energy_situationer_and_key_energy_statistics_table_207_p25.csv,general
animal diseases that disrupted the sector’s value chains during the year.,,2024_philippine_energy_situationer_and_key_energy_statistics_table_207_p25.csv,general
On,includes  public  and  private,2024_philippine_energy_situationer_and_key_energy_statistics_table_207_p25.csv,general
"construction,  was  the  largest  contributor  to  economic  growth  as  it  registered  a  7.7",,2024_philippine_energy_situationer_and_key_energy_statistics_table_207_p25.csv,general
"percent expansion in 2024. Meanwhile, government spending grew by 7.3 percent, while",,2024_philippine_energy_situationer_and_key_energy_statistics_table_207_p25.csv,general
