total_final_energy_consumption,nan,nan_1,nan_2,nan_3,nan_4,nan_5,nan_numeric,nan_1_numeric,nan_2_numeric,nan_3_numeric,nan_4_numeric,nan_5_numeric,nan_5_unit,source_pdf,detected_category
,28.5,31.0,33.5,35.5,35.7,36.3,28.5,31.0,33.5,35.5,35.7,36.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
,46.4,50.8,54.1,57.5,59.2,59.3,46.4,50.8,54.1,57.5,59.2,59.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
Population (in million),99.9,100.8,102.5,104.2,105.8,107.3,99.9,100.8,102.5,104.2,105.8,107.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
Forex (in Pesos/USD),44.6,47.2,49.8,49.9,52.7,50.7,44.6,47.2,49.8,49.9,52.7,50.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
,97.0,50.9,42.2,54.2,69.4,66.8,97.0,50.9,42.2,54.2,69.4,66.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
,2020,2021,2022,2023,2024,AAGR*,2020.0,2021.0,2022.0,2023.0,2024.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
,"17,537.8","18,540.1","19,945.6","21,046.4","22,244.4",4.7%,17537.8,18540.1,19945.6,21046.4,22244.4,4.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
,32.6,35.0,35.9,37.0,38.9,3.2%,32.6,35.0,35.9,37.0,38.9,3.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
,56.5,58.5,61.2,65.6,69.0,4.0%,56.5,58.5,61.2,65.6,69.0,4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
Population (in million),109.2,110.1,110.9,111.8,112.8,1.2%,109.2,110.1,110.9,111.8,112.8,1.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
Forex (in Pesos/USD),48.0,50.8,56.1,55.6,58.0,2.7%,48.0,50.8,56.1,55.6,58.0,2.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
,49.8,69.2,70.2,82.1,79.6,-2.0%,49.8,69.2,70.2,82.1,79.6,-2.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_219_p40.csv,general
