mtco2e_1,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Sector and Activity,2019,2019.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Industry,13.18,13.18,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Transport,36.63,36.63,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Others(2),11.27,11.27,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Electricity Generation,70.32,70.32,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Energy(3),1.05,1.05,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
TOTAL,132.45,132.45,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Sector and Activity,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Industry,0.1%,0.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Transport,3.9%,3.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Others(2),4.5%,4.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Electricity Generation,8.4%,8.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Energy(3),4.7%,4.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
TOTAL,5.9%,5.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
Notes:,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_221_p43.csv,general
