unnamed_0,total_primary_energy_supply_tpes_and_self_sufficiency_level,unnamed_0_numeric,unnamed_0_unit,total_primary_energy_supply_tpes_and_self_sufficiency_level_numeric,source_pdf,detected_category
2019,2014,2019.0,percent,2014.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"30,906","26,606",30906.0,percent,26606.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
523,849,523.0,percent,849.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"3,626","3,036",3626.0,percent,3036.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"7,258","4,012",7258.0,percent,4012.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"1,998","2,275",1998.0,percent,2275.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"9,192","8,863",9192.0,percent,8863.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"7,736","7,356",7736.0,percent,7356.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
90,13,90.0,percent,13.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
107,1,107.0,percent,1.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
178,134,178.0,percent,134.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
199,66,199.0,percent,66.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"28,414","19,833",28414.0,percent,19833.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"18,000","13,021",18000.0,percent,13021.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"10,224","6,630",10224.0,percent,6630.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
190,182,190.0,percent,182.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"59,320","46,439",59320.0,percent,46439.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"19,690","18,891",19690.0,percent,18891.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
"23,316","21,927",23316.0,percent,21927.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
52,57,52.0,percent,57.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
AAGR*,2020,,percent,2020.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
1.6%,"29,676",1.6,percent,29676.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
-11.8%,456,-11.8,percent,456.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
-6.0%,"3,288",-6.0,percent,3288.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
7.7%,"6,836",7.7,percent,6836.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
1.8%,"1,790",1.8,percent,1790.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
0.5%,"9,249",0.5,percent,9249.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
0.7%,"7,563",0.7,percent,7563.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
23.3%,88,23.3,percent,88.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
44.5%,118,44.5,percent,118.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
5.0%,131,5.0,percent,131.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
12.5%,155,12.5,percent,155.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
6.7%,"26,827",6.7,percent,26827.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
4.5%,"15,922",4.5,percent,15922.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
9.4%,"10,710",9.4,percent,10710.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
1.8%,194,1.8,percent,194.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
119.8%,-,119.8,percent,,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
4.0%,"56,502",4.0,percent,56502.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
1.1%,"19,290",1.1,percent,19290.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
0.9%,"22,578",0.9,percent,22578.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_225_p46.csv,general
