in_mb,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Source,2019,2019.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Middle East,"41,521",41521.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Saudi Arabia,"15,498",15498.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Kuwait (b),"15,925",15925.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
UAE,"9,136",9136.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Qatar,-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Oman (c),961,961.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Indonesia (d),-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Malaysia (e),"4,085",4085.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Others**,"15,061",15061.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Total,"60,666",60666.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Source,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Middle East,-1.1%,-1.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Saudi Arabia,-4.5%,-4.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Iraq (a),112.7%,112.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Kuwait (b),-31.7%,-31.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
UAE,8.2%,8.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Qatar,-21.3%,-21.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Oman (c),9.8%,9.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Indonesia (d),-25.3%,-25.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Malaysia (e),-25.2%,-25.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Others**,-21.2%,-21.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
Total,-3.5%,-3.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
*average annual growth rate,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_230_p53.csv,general
