source,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,source_pdf,detected_category
Middle East,"1,966","1,678","6,280","5,272","11,521","8,436",1966.0,1678.0,6280.0,5272.0,11521.0,8436.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Bahrain,-,-,-,-,-,-,,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Iran,-,-,1,3,1,5,,,1.0,3.0,1.0,5.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Iraq,-,-,-,-,163,-,,,,,163.0,,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
KSA,551,"1,085","1,402","1,081","1,204","1,242",551.0,1085.0,1402.0,1081.0,1204.0,1242.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Kuwait,406,228,692,"1,150",443,"1,323",406.0,228.0,692.0,1150.0,443.0,1323.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Oman,-,135,-,90,3,176,,135.0,,90.0,3.0,176.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Qatar,450,-,"1,490","1,263","1,265",657,450.0,,1490.0,1263.0,1265.0,657.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
UAE,559,231,"2,695","1,684","8,442","5,033",559.0,231.0,2695.0,1684.0,8442.0,5033.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
ASEAN,"16,523","19,979","19,556","19,732","18,321","24,697",16523.0,19979.0,19556.0,19732.0,18321.0,24697.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Brunei,-,-,-,-,-,222,,,,,,222.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Indonesia,697,228,"1,610","1,186",539,590,697.0,228.0,1610.0,1186.0,539.0,590.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Malaysia,"1,758","7,523","4,572","7,557","7,661","9,161",1758.0,7523.0,4572.0,7557.0,7661.0,9161.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Philippines,805,-,-,-,-,-,805.0,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Singapore,"9,982","10,323","12,147","10,273","7,910","12,551",9982.0,10323.0,12147.0,10273.0,7910.0,12551.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Thailand,"2,473","1,272",36,377,930,266,2473.0,1272.0,36.0,377.0,930.0,266.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Vietnam,808,633,"1,192",340,"1,281","1,907",808.0,633.0,1192.0,340.0,1281.0,1907.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
OTHER ASIA,"50,335","53,160","58,342","67,305","64,491","73,156",50335.0,53160.0,58342.0,67305.0,64491.0,73156.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
China,"10,504","10,938","24,997","32,460","29,421","45,472",10504.0,10938.0,24997.0,32460.0,29421.0,45472.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Hong Kong,1,-,51,158,-,0,1.0,,51.0,158.0,,0.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
India,"1,064","3,258","2,763","4,686","2,682","3,219",1064.0,3258.0,2763.0,4686.0,2682.0,3219.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Japan,368,"1,824","4,701","4,261","2,673","1,373",368.0,1824.0,4701.0,4261.0,2673.0,1373.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Russia,-,605,-,-,-,-,,605.0,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
South Korea,"21,229","17,886","16,233","22,521","28,083","22,701",21229.0,17886.0,16233.0,22521.0,28083.0,22701.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Sri Lanka,-,-,-,-,271,-,,,,,271.0,,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Taiwan,"16,993","17,674","9,204","2,216","1,028",391,16993.0,17674.0,9204.0,2216.0,1028.0,391.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
Pakistan,177,975,393,"1,002",333,-,177.0,975.0,393.0,1002.0,333.0,,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
OTHERS**,834,"3,117","1,930","5,106","3,240","2,646",834.0,3117.0,1930.0,5106.0,3240.0,2646.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_232_p55.csv,general
