mb,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Destination,2019,2019.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
MIDDLE EAST (a),-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
UAE,-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
ASEAN,"8,572",8572.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Indonesia,19,19.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Malaysia,"1,786",1786.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Singapore,"4,602",4602.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Thailand,"1,818",1818.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Vietnam,347,347.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
OTHER ASIA,"3,037",3037.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
China,"1,802",1802.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Hong Kong,-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Japan,-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
South Korea,907,907.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Taiwan,327,327.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
OTHERS (b),67,67.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Total,"11,676",11676.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Destination,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
MIDDLE EAST,-33.0%,-33.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
UAE,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Iraq,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
ASEAN,-6.5%,-6.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Brunei,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Indonesia,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Malaysia,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Singapore,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Thailand,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Vietnam,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
OTHER ASIA,-1%,-1.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
China,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Hong Kong,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
India,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Japan,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
South Korea,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Taiwan,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
OTHERS (b),-7.3%,-7.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
Total,-4.2%,-4.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
*average annual growth rate,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_234_p57.csv,general
