semirara,13_670,13_670_numeric,13_670_unit,source_pdf,detected_category
Zamboanga,-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Cebu,6,6.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
"Albay, Bicol",9,9.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Surigao del Sur (a),-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Negros (b),0.68,0.68,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Small-scale Mines,65,65.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Total Production,"13,751",13751.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Run of Mine (MMT),"15,274",15274.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Semirara,7.3%,7.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Zamboanga,2.0%,2.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Cebu,-20.8%,-20.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
"Albay, Bicol",-11.4%,-11.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Surigao del Sur (a),-15.0%,-15.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Negros (b),24.1%,24.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
South Cotabato (c),272.3%,272.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Small-scale Mines,-0.8%,-0.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Total Production,7.7%,7.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
Run of Mine (MMT),7.7%,7.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
*average annual growth rate,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_239_p62.csv,general
