in_mmt_at_10_000_btu_lb,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Country,2019,2019.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
China,"9,012",9012.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
India (a),51,51.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Hongkong (b),-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Thailand (c),213,213.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Taiwan (d),65,65.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
S. Korea,-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Others*** (e),-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Total,"9,341",9341.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Country,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Brunei (f),41.7%,41.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
China,5.0%,5.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
India (a),3.7%,3.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Thailand (c),5.8%,5.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Taiwan (d),-2.3%,-2.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Japan (g),,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
S. Korea,12.5%,12.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Others*** (f),-11.3%,-11.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
Total,3.9%,3.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
*average annual growth rate (AAGR),,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_241_p64.csv,general
