hoeholds,30_552,30_552_numeric,30_552_unit,source_pdf,detected_category
Services,"25,476",25476.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Industrial,"28,194",28194.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Others*,"2,897",2897.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Utilities Own Use,"8,929",8929.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Power Losses,"9,994",9994.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Total,"106,041",106041.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
,AAGR**,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Households,7.0%,7.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Services,4.1%,4.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Industrial,3.8%,3.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Others*,5.1%,5.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Utilities Own Use,4.7%,4.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Power Losses,5.5%,5.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
Total,5.1%,5.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_249_p72.csv,general
