96_3,18_700,96_3_numeric,96_3_unit,18_700_numeric,source_pdf,detected_category
100.0%,-,100.0,percent,,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
96.6%,"35,415",96.6,percent,35415.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
100.0%,-,100.0,percent,,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
100.0%,-,100.0,percent,,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
87.8%,"107,916",87.8,percent,107916.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
91.0%,"133,719",91.0,percent,133719.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
98.5%,"61,004",98.5,percent,61004.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
98.8%,"202,483",98.8,percent,202483.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
87.0%,"164,589",87.0,percent,164589.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
96.4%,"46,741",96.4,percent,46741.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
99.8%,"4,402",99.8,percent,4402.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
95.9%,"48,450",95.9,percent,48450.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
95.2%,"264,182",95.2,percent,264182.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
83.3%,"158,990",83.3,percent,158990.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
93.5%,"82,671",93.5,percent,82671.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
89.2%,"159,325",89.2,percent,159325.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
86.2%,"157,400",86.2,percent,157400.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
96.4%,"28,739",96.4,percent,28739.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
43.2%,"491,651",43.2,percent,491651.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
83.4%,"1,078,776",83.4,percent,1078776.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
94.8%,"1,545,441",94.8,percent,1545441.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_250_p73.csv,general
