nan,production,source_pdf,detected_category
Dependable,The capacity that can be relied upon to carry,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
Capacity,system load for a specified time interval and,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,"period, provide assumed reserve, and/or meet",2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,firm power obligations.,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
Electrification,Electrification is either done through grid or off-,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,grid connection.  When a barangay is provided,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,"with electricity through grid connection, it",2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,means that the distribution line has reached the,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,barangay proper.  It may also mean that almost,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,50.0 percent of potential households in the,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,barangay are connected to a distribution utility,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,(DU) (i.e. MERALCO) or at least one is connected,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,to other DUs. Off-grid connection pertains to,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,a barangay having about 20 to 30 households,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,availing the connection.,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
Energy Intensity,Calculated as units of energy (million tons of,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,"oil equivalent, MTOE) per unit of GDP (in billion",2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,pesos).,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
Energy Per Capita,Amount of energy used per person. It is,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,calculated as total primary energy demand (in,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,MTOE) over population (in millions).,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
Energy Self,The ratio of the country's domestic energy,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
Sufficiency,supply to total supply; measures the degree at,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,which domestic energy forms can support total,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,energy demand.,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
Energy to GDP,The percentage change in energy supply to,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
Elasticity,achieve one per cent change in national GDP.,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,Calculated as the ratio of growth of primary,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,energy demand over GDP growth.,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
Gas (or Natural Gas),A naturally occurring mixture of hydrocarbon,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,and non-hydrocarbon gases in porous,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,"formations beneath the earth's surface, often",2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,in association with petroleum. The principal,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
,constituent is methane.,2024_philippine_energy_situationer_and_key_energy_statistics_table_251_p74.csv,general
