source,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Middle East,"5,287","5,864",10.9%,5287.0,5864.0,10.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
Bahrain,5,992,,5.0,992.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
Iraq,44,-,,44.0,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
KSA,"1,092",786,,1092.0,786.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
Kuwait,"1,764",975,,1764.0,975.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
Oman,-,240,,,240.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
Qatar,"1,790","2,364",,1790.0,2364.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
UAE,593,506,,593.0,506.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
ASEAN,"50,053","41,201",-17.7%,50053.0,41201.0,-17.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
Brunei,"3,408","3,176",,3408.0,3176.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
Indonesia,141,26,,141.0,26.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
Malaysia,"16,049","16,611",,16049.0,16611.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
Singapore,"27,323","19,620",,27323.0,19620.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
Thailand,"2,521","1,769",,2521.0,1769.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
Vietnam,612,-,,612.0,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_019_p22.csv,general
