region,potential_hhs,served_hhs,unserved_hhs_actual_per_du_per_province,electrification_rate,potential_hhs_numeric,served_hhs_numeric,unserved_hhs_actual_per_du_per_province_numeric,electrification_rate_numeric,electrification_rate_unit,source_pdf,detected_category
CAR,"504,527","485,827","18,700",96.3%,504527.0,485827.0,18700.0,96.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
I,"1,441,212","1,450,906",-,100.0%,1441212.0,1450906.0,,100.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
II,"1,043,304","1,007,889","35,415",96.6%,1043304.0,1007889.0,35415.0,96.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
III,"3,469,528","3,539,679",-,100.0%,3469528.0,3539679.0,,100.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
IV-A,"4,598,185","4,672,611",-,100.0%,4598185.0,4672611.0,,100.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
IV-B,"887,864","779,948","107,916",87.8%,887864.0,779948.0,107916.0,87.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
V,"1,492,297","1,358,578","133,719",91.0%,1492297.0,1358578.0,133719.0,91.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
NCR,"3,947,966","3,886,962","61,004",98.5%,3947966.0,3886962.0,61004.0,98.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
LUZON,"17,384,883","17,182,400","202,483",98.8%,17384883.0,17182400.0,202483.0,98.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
NIR,"1,261,845","1,097,256","164,589",87.0%,1261845.0,1097256.0,164589.0,87.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
VI,"1,304,302","1,257,561","46,741",96.4%,1304302.0,1257561.0,46741.0,96.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
VII,"1,777,144","1,772,742","4,402",99.8%,1777144.0,1772742.0,4402.0,99.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
VIII,"1,195,646","1,147,196","48,450",95.9%,1195646.0,1147196.0,48450.0,95.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
VISAYAS,"5,538,937","5,274,755","264,182",95.2%,5538937.0,5274755.0,264182.0,95.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_052_p51.csv,general
