table_of_contents,unnamed_1,unnamed_1_numeric,source_pdf,detected_category
Energy-Economy Interaction,4,4.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
Economic Parameters,4,4.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
Energy Intensity,5,5.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
Energy-to-GDP Elasticity,5,5.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
Energy Per Capita,5,5.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
Energy and Environment,6,6.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
"GHG Emission, by Sector and Activity",6,6.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
"GHG Emission, by Fuel Type",7,7.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
Environmental Emission Indicators,8,8.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
Energy,9,9.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
Total Primary Energy Supply Mix,9,9.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
"Total Final Energy Consumption, by Sector and Fuel Type",11,11.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
Oil and Gas,15,15.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
"Oil and Gas Production, by Source",15,15.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
"Crude Oil Importation, by Country of Source",16,16.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
"Petroleum Products Importation, by Fuel Type",18,18.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
"Petroleum Products Importation, by Country of Source",20,20.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
"Petroleum Products Exportation, by Country of Destination",22,22.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
"Petroleum Products Consumption, by Sector and Fuel Type",23,23.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
"Petroleum Products Consumption, by Fuel Type",25,25.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
"Petroleum Products Consumption, by Sector",27,27.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_071_p4.csv,general
