total_final_energy,nan,nan_1,nan_2,nan_numeric,nan_1_numeric,nan_2_numeric,nan_2_unit,source_pdf,detected_category
Consumption,37.02,38.90,5.1%,37.02,38.9,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_073_p6.csv,general
(in MTOE),,,,,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_073_p6.csv,general
Total Primary Energy Supply,,,,,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_073_p6.csv,general
,65.64,69.04,5.2%,65.64,69.04,5.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_073_p6.csv,general
(in MTOE),,,,,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_073_p6.csv,general
Population (in million),111.81,112.78,0.9%,111.81,112.78,0.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_073_p6.csv,general
Forex (in Pesos/USD),55.57,58.01,4.4%,55.57,58.01,4.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_073_p6.csv,general
Average Crude Price,,,,,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_073_p6.csv,general
,82.10,79.61,-3.0%,82.1,79.61,-3.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_073_p6.csv,general
(in USD / barrel),,,,,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_073_p6.csv,general
